Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
11283,Adult Education,Continuing Education Playlist,1hrs 7min,Everyday Yoga Practice: The Yoga Soundtrack,https://www.youtube.com/watch?v=jRslNCbeVIU,Module 1: Everyday Yoga Practice,1,12th,English/Hindi
11284,Adult Education,Continuing Education Playlist,,Bending Tree Yoga Sounds of the Studio,https://www.youtube.com/watch?v=I3q01ccGYpA,Module 1: The Yoga Soundtrack,1,12th,English/Hindi
11285,Adult Education,Continuing Education Playlist,,Bending Tree Yoga -- Sounds of the Jungle,https://www.youtube.com/watch?v=hTAacqRHzFI,Module 1: Bending Tree Yoga Sounds of the Studio,1,12th,English/Hindi
11286,Adult Education,Continuing Education Playlist,,Yoga Soundtrack with Yoga Cats,https://www.youtube.com/watch?v=GFRFaundI0c,Module 1: Bending Tree Yoga -- Sounds of the Jungle,1,12th,English/Hindi
11287,Adult Education,Continuing Education Playlist,,Cotorritas Song La Manzanilla,https://www.youtube.com/watch?v=qZCBpzzEWRs,Module 2: Yoga Soundtrack with Yoga Cats,2,12th,English/Hindi
11288,Adult Education,Continuing Education Playlist,,Unique bird songs in the Arroyo,https://www.youtube.com/watch?v=IDy_Y2K5uz4,Module 2: Cotorritas Song La Manzanilla,2,12th,English/Hindi
11289,Adult Education,Continuing Education Playlist,,8-Minute Sunset La Manzanilla,https://www.youtube.com/watch?v=HJ1-PZ411b4,Module 2: Unique bird songs in the Arroyo,2,12th,English/Hindi
11290,Adult Education,Continuing Education Playlist,,Yoga Dogs and Flock of Birds,https://www.youtube.com/watch?v=VDwjwdFqokI,Module 2: 8-Minute Sunset La Manzanilla,2,12th,English/Hindi
11291,Adult Education,Continuing Education Playlist,,Yoga Cats -- A Cat's Tail2,https://www.youtube.com/watch?v=UqIS3zi3JSw,Module 3: Yoga Dogs and Flock of Birds,3,12th,English/Hindi
11292,Adult Education,Continuing Education Playlist,,Just Breathe,https://www.youtube.com/watch?v=Zgbfja_bF40,Module 3: Yoga Cats -- A Cat's Tail2,3,12th,English/Hindi
11293,Adult Education,Continuing Education Playlist,,Just Breathe -- Part 2,https://www.youtube.com/watch?v=akQvcmnJOyI,Module 3: Just Breathe,3,12th,English/Hindi
11294,Adult Education,Continuing Education Playlist,,Just Breathe -- Part 3,https://www.youtube.com/watch?v=C6D7NH6VlZE,Module 3: Just Breathe -- Part 2,3,12th,English/Hindi
11295,Adult Education,Continuing Education Playlist,,Yoga with Yoga Cats -- A Few Minutes of Relaxation,https://www.youtube.com/watch?v=frVQoP0KQNc,Module 4: Just Breathe -- Part 3,4,12th,English/Hindi
11296,Adult Education,Continuing Education Playlist,,Yoga with Yoga Cats -- A Few Minutes of Relaxation,https://www.youtube.com/watch?v=I56MBSFCeV8,Module 4: Yoga with Yoga Cats -- A Few Minutes of Relaxation,4,12th,English/Hindi
11297,Adult Education,Continuing Education Playlist,,Yoga with Yoga Cats -- A Few Minutes of Relaxation,https://www.youtube.com/watch?v=_WN62ojWB9A,Module 4: Yoga with Yoga Cats -- A Few Minutes of Relaxation,4,12th,English/Hindi
11298,Adult Education,Continuing Education Playlist,,Yoga with Yoga Cats -- A Few Minutes of Relaxation Meditation,https://www.youtube.com/watch?v=ERpTdqPD8_A,Module 4: Yoga with Yoga Cats -- A Few Minutes of Relaxation,4,12th,English/Hindi
11299,Adult Education,Continuing Education Playlist,,Yoga with YogaCats -- A Few Minutes of Relaxation,https://www.youtube.com/watch?v=sS6DTGNSsFg,Module 5: Yoga with Yoga Cats -- A Few Minutes of Relaxation Meditation,5,12th,English/Hindi
11300,Adult Education,Continuing Education Playlist,,Yoga with Yoga Cats -- A Few Minutes of Relaxation,https://www.youtube.com/watch?v=rrnjPnaQEDo,Module 5: Yoga with YogaCats -- A Few Minutes of Relaxation,5,12th,English/Hindi
