Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
1201,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,92hrs 12min,noc18-ae07-Lec01,https://www.youtube.com/watch?v=9c769xiEXn0,Module 1: Introduction to Fixed-Wing UAV Design,1,12th,English/Hindi
1202,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec02,https://www.youtube.com/watch?v=_Tr4VGlRFjo,Module 1: Introduction to Fixed-Wing UAV Design,1,12th,English/Hindi
1203,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec03,https://www.youtube.com/watch?v=Jc0bxj_AU0g,Module 1: Introduction to Fixed-Wing UAV Design,1,12th,English/Hindi
1204,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec4,https://www.youtube.com/watch?v=aRJHvfk8UV0,Module 2: UAV Aerodynamics,2,12th,English/Hindi
1205,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec5,https://www.youtube.com/watch?v=Q1KDWB0h0og,Module 2: UAV Aerodynamics,2,12th,English/Hindi
1206,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec6,https://www.youtube.com/watch?v=q7c9PCkvIOY,Module 2: UAV Aerodynamics,2,12th,English/Hindi
1207,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec7,https://www.youtube.com/watch?v=8-fdW9jyAB4,Module 3: Flight Mechanics and Control,3,12th,English/Hindi
1208,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec 8,https://www.youtube.com/watch?v=9vGF_sFdXMA,Module 3: Flight Mechanics and Control,3,12th,English/Hindi
1209,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec 9,https://www.youtube.com/watch?v=HEUXqX95fFA,Module 3: Flight Mechanics and Control,3,12th,English/Hindi
1210,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec 10,https://www.youtube.com/watch?v=UbxZVWwMbBk,Module 4: UAV Propulsion Systems,4,12th,English/Hindi
1211,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec11,https://www.youtube.com/watch?v=Lip8UTpgNeM,Module 4: UAV Propulsion Systems,4,12th,English/Hindi
1212,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec12,https://www.youtube.com/watch?v=sFtI2AIaG3I,Module 5: UAV Structures and Materials,5,12th,English/Hindi
1213,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07 Lec 13,https://www.youtube.com/watch?v=fjQwMuvZCHQ,Module 5: UAV Structures and Materials,5,12th,English/Hindi
1214,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07 Lec 14,https://www.youtube.com/watch?v=DBJcJFPQIAw,Module 6: UAV Avionics and Sensors,6,12th,English/Hindi
1215,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07 Lec 15,https://www.youtube.com/watch?v=pgK8ax6BqDk,Module 6: UAV Avionics and Sensors,6,12th,English/Hindi
1216,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07 Lec 16,https://www.youtube.com/watch?v=9f4YpgS3Mis,Module 7: UAV Communication Systems,7,12th,English/Hindi
1217,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07 Lec 17,https://www.youtube.com/watch?v=hyGrhRrtWZg,Module 7: UAV Communication Systems,7,12th,English/Hindi
1218,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07 Lec 18,https://www.youtube.com/watch?v=qWhX539IfbQ,Module 8: UAV Design Optimization,8,12th,English/Hindi
1219,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07-Lec 19,https://www.youtube.com/watch?v=6qr3fNTeK4k,Module 8: UAV Design Optimization,8,12th,English/Hindi
1220,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07- Lec 20,https://www.youtube.com/watch?v=DKpw2WUmaSs,Module 9: UAV Regulations and Certification,9,12th,English/Hindi
1221,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07 Lec 21,https://www.youtube.com/watch?v=lMvL1pvgGeY,Module 9: UAV Regulations and Certification,9,12th,English/Hindi
1222,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07 Lec 22,https://www.youtube.com/watch?v=nnjSO8XjIm4,Module 10: UAV Applications,10,12th,English/Hindi
1223,Aerospace Engineering,Design of fixed wing Unmanned Aerial Vehicles,,noc18-ae07 Lec 23,https://www.youtube.com/watch?v=ATN1UMWQKV8,Module 10: UAV Applications,10,12th,English/Hindi
