Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
1348,Aerospace Engineering,Hypersonic Aerodynamics,161hrs 4min,Hypersonic Aerodynamics 12,https://www.youtube.com/watch?v=_oyswpOiN0E,Module 1: Introduction to Hypersonic Aerodynamics,1,12th,English/Hindi
1349,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 11,https://www.youtube.com/watch?v=7pz25g97daw,Module 1: Introduction to Hypersonic Aerodynamics,1,12th,English/Hindi
1350,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 10,https://www.youtube.com/watch?v=hdIZGkxgZiM,Module 1: Introduction to Hypersonic Aerodynamics,1,12th,English/Hindi
1351,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 09,https://www.youtube.com/watch?v=2yyBXu1WPk0,Module 1: Introduction to Hypersonic Aerodynamics,1,12th,English/Hindi
1352,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 07A,https://www.youtube.com/watch?v=9GcjExksX_Y,Module 2: Inviscid Hypersonic Flow,2,12th,English/Hindi
1353,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 08,https://www.youtube.com/watch?v=fh-YLwVINo4,Module 2: Inviscid Hypersonic Flow,2,12th,English/Hindi
1354,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 07,https://www.youtube.com/watch?v=JP6uzz89fXg,Module 2: Inviscid Hypersonic Flow,2,12th,English/Hindi
1355,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 06,https://www.youtube.com/watch?v=FmFnAh6noUw,Module 3: Viscous Hypersonic Flow,3,12th,English/Hindi
1356,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 05,https://www.youtube.com/watch?v=eN2nFt5XBK8,Module 3: Viscous Hypersonic Flow,3,12th,English/Hindi
1357,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 04,https://www.youtube.com/watch?v=anUeoI6Amtk,Module 4: High-Temperature Effects,4,12th,English/Hindi
1358,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 03,https://www.youtube.com/watch?v=qBCLN5xs-qg,Module 4: High-Temperature Effects,4,12th,English/Hindi
1359,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 02,https://www.youtube.com/watch?v=TcdhR46eOvw,Module 5: Experimental Techniques,5,12th,English/Hindi
1360,Aerospace Engineering,Hypersonic Aerodynamics,,Hypersonic Aerodynamics 01,https://www.youtube.com/watch?v=tKGC4JDugQE,Module 6: Applications of Hypersonic Aerodynamics,6,12th,English/Hindi
