Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
1274,Aerospace Engineering,Satellite Communication,27hrs 7min,Satellite & Radar Systems - Course Contents & Course Outcomes,https://www.youtube.com/watch?v=MEtgoFjNCEw,Module 1: Introduction to Satellite Communication,1,12th,English/Hindi
1275,Aerospace Engineering,Satellite Communication,,Satellite Communication - Introduction to Satellite Communication,https://www.youtube.com/watch?v=aC6jSAB-2To,Module 1: Frequency Allocation for Satellite,1,12th,English/Hindi
1276,Aerospace Engineering,Satellite Communication,,Satellite Communication - Frequency Allocation for Satellite,https://www.youtube.com/watch?v=tiagbXwsFFQ,Module 1: Elements of Satellite Communication,1,12th,English/Hindi
1277,Aerospace Engineering,Satellite Communication,,Satellite Communication - Elements of Satellite Communication,https://www.youtube.com/watch?v=FLqQjh9JrZI,Module 1: Satellite Orbits,1,12th,English/Hindi
1278,Aerospace Engineering,Satellite Communication,,Satellite Communication - Satellite Orbits,https://www.youtube.com/watch?v=8D7afGk_OOg,Module 2: Orbital Mechanics,2,12th,English/Hindi
1279,Aerospace Engineering,Satellite Communication,,Satellite Communication - Orbital Mechanics,https://www.youtube.com/watch?v=yC6ak4oI2ao,Module 2: Look Angles,2,12th,English/Hindi
1280,Aerospace Engineering,Satellite Communication,,Satellite Communication - Look Angles,https://www.youtube.com/watch?v=RwPlr_Xgoew,Module 2: Orbital Elements,2,12th,English/Hindi
1281,Aerospace Engineering,Satellite Communication,,Satellite Communication - Orbital Elements,https://www.youtube.com/watch?v=JxihfKou19g,Module 2: Mechanism of Launching a Satellite,2,12th,English/Hindi
1282,Aerospace Engineering,Satellite Communication,,Satellite Communication - Mechanism of Launching a Satellite,https://www.youtube.com/watch?v=8SmP1ebOSdY,Module 3: Orbital Perturbations,3,12th,English/Hindi
1283,Aerospace Engineering,Satellite Communication,,Satellite Communication - Orbital Perturbations,https://www.youtube.com/watch?v=RX-AVPPPsfc,Module 3: Numericals on Orbital Parameters,3,12th,English/Hindi
1284,Aerospace Engineering,Satellite Communication,,Satellite Communication - Numericals on Orbital Parameters,https://www.youtube.com/watch?v=6Yba_vkeU5c,Module 3: Introduction to Satellite Subsystems,3,12th,English/Hindi
1285,Aerospace Engineering,Satellite Communication,,Satellite Communication - Introduction to Satellite Subsystems,https://www.youtube.com/watch?v=p-xUcjGhhmk,Module 4: Attitude & Orbit Control System (AOCS),4,12th,English/Hindi
1286,Aerospace Engineering,Satellite Communication,,Satellite Communication - Attitude & Orbit Control System (AOCS),https://www.youtube.com/watch?v=H0bzc4kOm58,"Module 4: Telemetry, Tracking & Command (TT&C) System",4,12th,English/Hindi
1287,Aerospace Engineering,Satellite Communication,,"Satellite Communication - Telemetry, Tracking & Command (TT&C) System",https://www.youtube.com/watch?v=zaDrAr0Wz74,Module 4: Transponders,4,12th,English/Hindi
1288,Aerospace Engineering,Satellite Communication,,Satellite Communication - Transponders,https://www.youtube.com/watch?v=687660yAp3s,Module 5: Basic Transmission Theory (Communication Satellite Link Design),5,12th,English/Hindi
1289,Aerospace Engineering,Satellite Communication,,Satellite Communication - Basic Transmission Theory (Communication Satellite Link Design),https://www.youtube.com/watch?v=WoRWjZpKj1w,"Module 5: Noise Power,  C/N Ratio and G/T Ratio",5,12th,English/Hindi
1290,Aerospace Engineering,Satellite Communication,,"Satellite Communication - Noise Power,  C/N Ratio and G/T Ratio",https://www.youtube.com/watch?v=p99iiNwHMlk,Module 5: System Noise Temperature,5,12th,English/Hindi
1291,Aerospace Engineering,Satellite Communication,,Satellite Communication - System Noise Temperature,https://www.youtube.com/watch?v=OCiMzOAjJUo,Module 6: Complete Link Design Equation,6,12th,English/Hindi
1292,Aerospace Engineering,Satellite Communication,,Satellite Communication - Complete Link Design Equation,https://www.youtube.com/watch?v=Hdc4IQIbmQQ,Module 6: Uplink Design & Downlink Design,6,12th,English/Hindi
1293,Aerospace Engineering,Satellite Communication,,Satellite Communication - Uplink Design & Downlink Design,https://www.youtube.com/watch?v=LnakgKx5AdY,Module 6: Effect of Rain on Satellite Link Design,6,12th,English/Hindi
1294,Aerospace Engineering,Satellite Communication,,Satellite Communication - Effect of Rain on Satellite Link Design,https://www.youtube.com/watch?v=TmKnR8F2V2k,Module 7: Direct Broadcast Satellite  (DBS) - TV Transmitter,7,12th,English/Hindi
1295,Aerospace Engineering,Satellite Communication,,Satellite Communication - Direct Broadcast Satellite  (DBS) - TV Transmitter,https://www.youtube.com/watch?v=xlBK-nyobQw,Module 7: Direct Broadcast Satellite (DBS) - TV Receiver,7,12th,English/Hindi
1296,Aerospace Engineering,Satellite Communication,,Satellite Communication - Direct Broadcast Satellite (DBS) - TV Receiver,https://www.youtube.com/watch?v=2D-WjayEL60,Module 8: Introduction to Global Positioning System (GPS),8,12th,English/Hindi
1297,Aerospace Engineering,Satellite Communication,,Satellite Communication - Introduction to Global Positioning System (GPS),https://www.youtube.com/watch?v=qezHC-wmUS0,Module 8: GPS Codes,8,12th,English/Hindi
1298,Aerospace Engineering,Satellite Communication,,Satellite Communication - GPS Codes,https://www.youtube.com/watch?v=_HqPJFmQCYE,Module 8: GPS Navigation Message,8,12th,English/Hindi
1299,Aerospace Engineering,Satellite Communication,,Satellite Communication - GPS Navigation Message,https://www.youtube.com/watch?v=zWPy9_ddQOE,Module 9: GPS Receiver,9,12th,English/Hindi
1300,Aerospace Engineering,Satellite Communication,,Satellite Communication - GPS Receiver,https://www.youtube.com/watch?v=6ZRXFg0oYw4,Module 9: Satellite & Radar Systems(REC-083)-University QP & Solution(2019-20)-Multiple Choice Questions(AKTU),9,12th,English/Hindi
1301,Aerospace Engineering,Satellite Communication,,Satellite & Radar Systems(REC-083)-University QP & Solution(2019-20)-Multiple Choice Questions(AKTU),https://www.youtube.com/watch?v=BCAKZACwxcw,Module 10: Global Positioning Satellite (GPS) Systems - Multiple Choice Questions (MCQs) - (AKTU),10,12th,English/Hindi
1302,Aerospace Engineering,Satellite Communication,,Global Positioning Satellite (GPS) Systems - Multiple Choice Questions (MCQs) - (AKTU),https://www.youtube.com/watch?v=VIdcqfFLAqc,Module 10: Direct Broadcast Satellite Television and Radio - Multiple Choice Questions (MCQs) (AKTU),10,12th,English/Hindi
1303,Aerospace Engineering,Satellite Communication,,Direct Broadcast Satellite Television and Radio - Multiple Choice Questions (MCQs) (AKTU),https://www.youtube.com/watch?v=iQfgEfIR6PY,Module 11: Satellite Channel and Link Design - Multiple Choice Questions (MCQs) (AKTU),11,12th,English/Hindi
1304,Aerospace Engineering,Satellite Communication,,Satellite Channel and Link Design - Multiple Choice Questions (MCQs) (AKTU),https://www.youtube.com/watch?v=Mz0VQQ005Pw,Module 11: Satellite Subsystems - Multiple Choice Questions (MCQs)(AKTU),11,12th,English/Hindi
1305,Aerospace Engineering,Satellite Communication,,Satellite Subsystems - Multiple Choice Questions (MCQs)(AKTU),https://www.youtube.com/watch?v=KHipzC2EasI,Module 12: Orbital Mechanism & Look Angles - Multiple Choice Questions (MCQs) (AKTU),12,12th,English/Hindi
