Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
7009,Anthropology,Forensic Science : (P-11. Forensic Anthropology),0hrs 1286min,M-05. Comparative Skeletal Anatomy - Human & Non-Human,https://www.youtube.com/watch?v=YS3wpICq8ps,Module 1: Introduction to Forensic Anthropology,1,12th,English/Hindi
7010,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-17. Structural Variation in Teeth- Human and Non-Human,https://www.youtube.com/watch?v=CHjXiLvJVS8,Module 1: Introduction to Forensic Anthropology,1,12th,English/Hindi
7011,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-22. Chronological Developments in Forensic Facial Reconstruction,https://www.youtube.com/watch?v=AQyqYfatSNQ,Module 1: Introduction to Forensic Anthropology,1,12th,English/Hindi
7012,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-24. Facial Superimposition-I,https://www.youtube.com/watch?v=CwHxz9FmNJ4,Module 1: Introduction to Forensic Anthropology,1,12th,English/Hindi
7013,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-25. Facial Superimposition - II,https://www.youtube.com/watch?v=aEK1Elp4KRk,Module 2: Skeletal Anatomy and Identification,2,12th,English/Hindi
7014,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-02. Human Osteology - Introduction & Principles,https://www.youtube.com/watch?v=gYlPcFIMkf0,Module 2: Skeletal Anatomy and Identification,2,12th,English/Hindi
7015,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-12.Bertillon system of Identification,https://www.youtube.com/watch?v=p5qbo1XHcY0,Module 2: Skeletal Anatomy and Identification,2,12th,English/Hindi
7016,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-20.Forensic Significance of Odontological  studies,https://www.youtube.com/watch?v=hrk2d9K8nvo,Module 2: Skeletal Anatomy and Identification,2,12th,English/Hindi
7017,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-21.Forensic Facial Reconstruction,https://www.youtube.com/watch?v=xg6_2bVm1K4,Module 3: Biological Profiling and Variation,3,12th,English/Hindi
7018,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-11.Anthropometry,https://www.youtube.com/watch?v=TIvCmclW_No,Module 3: Biological Profiling and Variation,3,12th,English/Hindi
7019,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-15.Forensic Odontology-Introduction,https://www.youtube.com/watch?v=g-T9wwTjorM,Module 3: Biological Profiling and Variation,3,12th,English/Hindi
7020,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-19.Dental Anomalies and Their Significance in Personal Identification,https://www.youtube.com/watch?v=BJvPR8lnXeI,Module 3: Biological Profiling and Variation,3,12th,English/Hindi
7021,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-04. Anatomy of Skull,https://www.youtube.com/watch?v=uKctblGptX4,Module 4: Forensic Odontology: Identification and Applications,4,12th,English/Hindi
7022,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,"M-09. Biological Profiling of Skeletal Remains - Demography, Age, Sex, Race, Stature",https://www.youtube.com/watch?v=J-UsywCaLbc,Module 4: Forensic Odontology: Identification and Applications,4,12th,English/Hindi
7023,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-08. Comparison of Skeletal Remains,https://www.youtube.com/watch?v=vnXZVWM1j5Q,Module 4: Forensic Odontology: Identification and Applications,4,12th,English/Hindi
7024,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-07. Skeletal Age and Ossification,https://www.youtube.com/watch?v=ISlZMU-a0UM,Module 4: Forensic Odontology: Identification and Applications,4,12th,English/Hindi
7025,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-06. Identification of Bones and Determination of Side,https://www.youtube.com/watch?v=fN8TmAH8MZg,Module 5: Anthropometry and Facial Reconstruction,5,12th,English/Hindi
7026,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-03. Different Types of Bones,https://www.youtube.com/watch?v=KwM4eblNccE,Module 5: Anthropometry and Facial Reconstruction,5,12th,English/Hindi
7027,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-01. Forensic Anthropology - Definition and Scope,https://www.youtube.com/watch?v=0d_Q_zaCHbA,Module 5: Anthropometry and Facial Reconstruction,5,12th,English/Hindi
7028,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-13. Somatometry and Somatoscopy Observations in Personal Identification and Racial Variations,https://www.youtube.com/watch?v=AATMv381Enc,Module 5: Anthropometry and Facial Reconstruction,5,12th,English/Hindi
7029,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-16. Different Types of Teeth & their Functions,https://www.youtube.com/watch?v=sUW7nSWtc4M,Module 5: Anthropometry and Facial Reconstruction,5,12th,English/Hindi
7030,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-18. Age Estimation from Teeth in Young and Adult Human Beings,https://www.youtube.com/watch?v=EgnUunVPQd4,Module 5: Anthropometry and Facial Reconstruction,5,12th,English/Hindi
7031,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-10. Ethics Involved while Handling Human Bones,https://www.youtube.com/watch?v=wB_S2RAHZ1o,Module 5: Anthropometry and Facial Reconstruction,5,12th,English/Hindi
7032,Anthropology,Forensic Science : (P-11. Forensic Anthropology),,M-14. Anthropometric and Osteometric variation in human population,https://www.youtube.com/watch?v=jYICz-WJCc8,Module 5: Anthropometry and Facial Reconstruction,5,12th,English/Hindi
