Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
11675,Artificial Intelligence,Special topics in ML (Reinforcement Learning),126hrs 9min,Introduction to RL,https://www.youtube.com/watch?v=o1ZqDbTQE6Q,Module 1: Introduction to RL,1,12th,English/Hindi
11676,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Tic-Tac-Toe and TD Learning,https://www.youtube.com/watch?v=wV_WygG-RTs,Module 1: Tic-Tac-Toe and TD Learning,1,12th,English/Hindi
11677,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Immediate RL and Bandits,https://www.youtube.com/watch?v=KMnAXw_WTNw,Module 2: Immediate RL and Bandits,2,12th,English/Hindi
11678,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Regret and PAC Frameworks,https://www.youtube.com/watch?v=zl8jo94fSYY,Module 2: Regret and PAC Frameworks,2,12th,English/Hindi
11679,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,UCB,https://www.youtube.com/watch?v=pmV8a5yfPH8,Module 3: UCB,3,12th,English/Hindi
11680,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Contextual Bandits,https://www.youtube.com/watch?v=p4WAawrMJTo,Module 3: Contextual Bandits,3,12th,English/Hindi
11681,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Full RL Problem,https://www.youtube.com/watch?v=meDFT4hcXtU,Module 4: Full RL Problem,4,12th,English/Hindi
11682,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Markov Decision Process (MDP),https://www.youtube.com/watch?v=faNdiZFKtxQ,Module 4: Markov Decision Process (MDP),4,12th,English/Hindi
11683,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,MDP: Problem to Formulation,https://www.youtube.com/watch?v=884Vmrg3y-Y,Module 5: MDP: Problem to Formulation,5,12th,English/Hindi
11684,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Returns,https://www.youtube.com/watch?v=NZJrSd_LPj0,Module 5: Returns,5,12th,English/Hindi
11685,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Value Functions,https://www.youtube.com/watch?v=l8m7jfFQf08,Module 5: Value Functions,5,12th,English/Hindi
11686,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,MDP recycling robot,https://www.youtube.com/watch?v=CHpR3KVMLzU,Module 6: MDP recycling robot,6,12th,English/Hindi
11687,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,MDP haunted house,https://www.youtube.com/watch?v=gb4Qcz-ilGU,Module 6: MDP haunted house,6,12th,English/Hindi
11688,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Bellman Equations,https://www.youtube.com/watch?v=JxupzRqTbuM,Module 7: Bellman Equations,7,12th,English/Hindi
11689,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Bellman Optimality Equations,https://www.youtube.com/watch?v=HWANu65jwis,Module 7: Bellman Optimality Equations,7,12th,English/Hindi
11690,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,"DP, Policy Iteration (Policy Evaluation)",https://www.youtube.com/watch?v=TzIiK2nv7hw,"Module 8: DP, Policy Iteration (Policy Evaluation)",8,12th,English/Hindi
11691,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,DP: Policy Iteration (Policy Improvement),https://www.youtube.com/watch?v=ZFAIpD2e_pU,Module 8: DP: Policy Iteration (Policy Improvement),8,12th,English/Hindi
11692,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Policy Iteration (tutorial),https://www.youtube.com/watch?v=hKs3OzdI01Y,Module 9: Policy Iteration (tutorial),9,12th,English/Hindi
11693,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,DP: Value Iteration,https://www.youtube.com/watch?v=bQMNscMKGXg,Module 9: DP: Value Iteration,9,12th,English/Hindi
11694,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Value Iteration (tutorial),https://www.youtube.com/watch?v=64RljWXMpko,Module 10: Value Iteration (tutorial),10,12th,English/Hindi
11695,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,More on DP,https://www.youtube.com/watch?v=8ge4wL7CRjw,Module 10: More on DP,10,12th,English/Hindi
11696,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Monte Carlo Methods,https://www.youtube.com/watch?v=P0ZvxeQqv0A,Module 11: Monte Carlo Methods,11,12th,English/Hindi
11697,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,"Comparison of DP, MC and TD",https://www.youtube.com/watch?v=rmhFVp1SHQ4,"Module 11: Comparison of DP, MC and TD",11,12th,English/Hindi
11698,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,Temporal Difference Learning (TD),https://www.youtube.com/watch?v=Udzp_KDLYUo,Module 12: Temporal Difference Learning (TD),12,12th,English/Hindi
11699,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,MC vs TD Updates,https://www.youtube.com/watch?v=JMbUwB2VICU,Module 12: MC vs TD Updates,12,12th,English/Hindi
11700,Artificial Intelligence,Special topics in ML (Reinforcement Learning),,SARSA,https://www.youtube.com/watch?v=Mx2nxKkfwd4,Module 13: SARSA,13,12th,English/Hindi
