Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
1849,Automotive Engineering,Noise Vibration Harshness,63hrs 2min,PicoScope NVH episode 1: An introduction,https://www.youtube.com/watch?v=CLVVFoX1nIE,Module 1: Introduction to NVH,1,12th,English/Hindi
1850,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 2: The theory of NVH,https://www.youtube.com/watch?v=mEGWeym8Q4A,Module 1: NVH Theory,1,12th,English/Hindi
1851,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 3: NVH setup,https://www.youtube.com/watch?v=gQQlhpcmy50,Module 1: NVH Setup,1,12th,English/Hindi
1852,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 4: Working with NVH,https://www.youtube.com/watch?v=gWI4h4rCKdg,Module 1: Working with NVH,1,12th,English/Hindi
1853,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 5: NVH Time Domain,https://www.youtube.com/watch?v=Hb2CAvJ-H6c,Module 2: NVH Time Domain and Analysis,2,12th,English/Hindi
1854,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 6: NVH noise and sound analysis,https://www.youtube.com/watch?v=c47XsGLMGVU,Module 2: NVH Noise and Sound Analysis,2,12th,English/Hindi
1855,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 7: NVH case studies,https://www.youtube.com/watch?v=BYU6tEAJSp8,Module 2: NVH Case Studies,2,12th,English/Hindi
1856,Automotive Engineering,Noise Vibration Harshness,,Finding the cause of a cabin vibration with the PicoScope function generator,https://www.youtube.com/watch?v=SCuwReAWIGw,Module 3:  NVH Practical Applications,3,12th,English/Hindi
1857,Automotive Engineering,Noise Vibration Harshness,,NVH - Noise Vibration and Harshness,https://www.youtube.com/watch?v=XU-g5USWl2s,Module 3: Finding the Cause of Cabin Vibrations,3,12th,English/Hindi
1858,Automotive Engineering,Noise Vibration Harshness,,NVH: Using Multiple Sensor Mode | PicoScope Automotive,https://www.youtube.com/watch?v=kLcSib7TWpM,Module 3: NVH: Using Multiple Sensor Mode,3,12th,English/Hindi
1859,Automotive Engineering,Noise Vibration Harshness,,Pico NVH Cabin noise detection procedure,https://www.youtube.com/watch?v=9XiYl1-LthA,Module 3: NVH Cabin Noise Detection,3,12th,English/Hindi
