Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
5635,Business Administration,Financial Accounting,37hrs 14min,Accounting Basics For Beginners By Dr.Devika Bhatnagar,https://www.youtube.com/watch?v=SUQMUc3Z3vs,Module 1: Introduction to Accounting,1,12th,English/Hindi
5636,Business Administration,Financial Accounting,,Accounting Concepts & Conventions for Beginners By Dr.Devika Bhatnagar,https://www.youtube.com/watch?v=9Q6uvow8Cnk,Module 1: Introduction to Accounting,1,12th,English/Hindi
5637,Business Administration,Financial Accounting,,"Accounting Rules -  ""Classification of Accounts"" By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=MoRuuh4k6A0,Module 1: Introduction to Accounting,1,12th,English/Hindi
5638,Business Administration,Financial Accounting,,"How to prepare ""Journal Entries"" - The Best Explanation  In English",https://www.youtube.com/watch?v=J7ntz3YSzY0,Module 1: Introduction to Accounting,1,12th,English/Hindi
5639,Business Administration,Financial Accounting,,"Posting  ""Ledger Accounts"" from Journal Entries",https://www.youtube.com/watch?v=9r22nu4pFCA,Module 2: Journaling and Ledger Posting,2,12th,English/Hindi
5640,Business Administration,Financial Accounting,,"20 Important  ""Accounting Terms"" - In English",https://www.youtube.com/watch?v=68Bew3SflWc,Module 2: Journaling and Ledger Posting,2,12th,English/Hindi
5641,Business Administration,Financial Accounting,,8 Types of Subsidiary Books - In English,https://www.youtube.com/watch?v=cic-MD6uj8w,Module 2: Journaling and Ledger Posting,2,12th,English/Hindi
5642,Business Administration,Financial Accounting,,Single Column Cash Book Preparation - In English,https://www.youtube.com/watch?v=e5WLw6zpmAc,Module 2: Journaling and Ledger Posting,2,12th,English/Hindi
5643,Business Administration,Financial Accounting,,Triple Column Cash Book in Financial Accounting,https://www.youtube.com/watch?v=0QHLmu_SlMk,Module 3: Subsidiary Books and Cash Books,3,12th,English/Hindi
5644,Business Administration,Financial Accounting,,Petty Cash Book Preparation in Financial Accouting,https://www.youtube.com/watch?v=7Z3CyaDXxkY,Module 3: Subsidiary Books and Cash Books,3,12th,English/Hindi
5645,Business Administration,Financial Accounting,,How to Prepare Opening Entries in Financial Accounting,https://www.youtube.com/watch?v=EwLw0T2XzDo,Module 3: Subsidiary Books and Cash Books,3,12th,English/Hindi
5646,Business Administration,Financial Accounting,,""" Trial Balance"" Preparation in Financial Accounting",https://www.youtube.com/watch?v=ZWLrCvLBjls,Module 4: Trial Balance and BRS,4,12th,English/Hindi
5647,Business Administration,Financial Accounting,,BRS Introduction in Financial Accouting,https://www.youtube.com/watch?v=m8ahJ25e4Lk,Module 4: Trial Balance and BRS,4,12th,English/Hindi
5648,Business Administration,Financial Accounting,,BRS Practical Problems & Solutions PART - II in Financial Accounting,https://www.youtube.com/watch?v=w-_qFqPMWpw,Module 4: Trial Balance and BRS,4,12th,English/Hindi
5649,Business Administration,Financial Accounting,,BRS Overdraft Balance Problems & Solutions,https://www.youtube.com/watch?v=y40HMX7da1g,Module 4: Trial Balance and BRS,4,12th,English/Hindi
5650,Business Administration,Financial Accounting,,"""Final Accounts Introduction"" In Financial Accounting",https://www.youtube.com/watch?v=wtNWOuLsUJk,Module 5: Introduction to Final Accounts,5,12th,English/Hindi
5651,Business Administration,Financial Accounting,,"""Trading Account"" - Introduction & Proforma in Final Accounts",https://www.youtube.com/watch?v=4dG7JXdkQ34,Module 5: Introduction to Final Accounts,5,12th,English/Hindi
5652,Business Administration,Financial Accounting,,""" Trading Account"" Problems & Solutions By Dr Devika Bhatnagar",https://www.youtube.com/watch?v=Tas_k7ay32g,Module 5: Introduction to Final Accounts,5,12th,English/Hindi
5653,Business Administration,Financial Accounting,,"Introduction of ""P& L Account"" in Final Accounts By Dr Devika Bhatnagar",https://www.youtube.com/watch?v=U22HMUIByOw,Module 6: Trading Account,6,12th,English/Hindi
5654,Business Administration,Financial Accounting,,P & L account Problems & Solutions in Financial Accounting By Dr.Devika Bhatnagar,https://www.youtube.com/watch?v=GqKnrlXLdHg,Module 6: Trading Account,6,12th,English/Hindi
5655,Business Administration,Financial Accounting,,Balance Sheet Introduction - Problems & Solutions,https://www.youtube.com/watch?v=VcsoFdDChdo,Module 7: Profit and Loss Account,7,12th,English/Hindi
5656,Business Administration,Financial Accounting,,"""15 Adjustments "" in Final Accounts By Dr Devika Bhatnagar",https://www.youtube.com/watch?v=LzVZuBIsusU,Module 7: Profit and Loss Account,7,12th,English/Hindi
5657,Business Administration,Financial Accounting,,Final Accounts Problems With Adjustments,https://www.youtube.com/watch?v=8I4F3UE-bbA,Module 8: Balance Sheet,8,12th,English/Hindi
5658,Business Administration,Financial Accounting,,"""Bad Debts Adjustment"" in Final Accounts By Dr Devika  Bhatnagar",https://www.youtube.com/watch?v=UhmHcmK0LCI,Module 9: Adjustments in Final Accounts,9,12th,English/Hindi
5659,Business Administration,Financial Accounting,,BRS Practical Problems:PART - I - In Financial Accounting,https://www.youtube.com/watch?v=jCoZRZHVu2Q,Module 9: Adjustments in Final Accounts,9,12th,English/Hindi
5660,Business Administration,Financial Accounting,,"1. ""Rectification Of Errors"" Chapter Introduction By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=zCZoqINp5P0,Module 9: Adjustments in Final Accounts,9,12th,English/Hindi
5661,Business Administration,Financial Accounting,,"""Suspence Account"" Must learn before Final Accounts & Recitification of Errors",https://www.youtube.com/watch?v=6kkWaFbD1eA,Module 10: Rectification of Errors,10,12th,English/Hindi
5662,Business Administration,Financial Accounting,,"""A Complete Information of CMA Course"" By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=l-z0zrJUTFA,Module 10: Rectification of Errors,10,12th,English/Hindi
5663,Business Administration,Financial Accounting,,Complete Information on CS (Company Secretaries) Course,https://www.youtube.com/watch?v=N3hvIDR5AZ0,Module 10: Rectification of Errors,10,12th,English/Hindi
5664,Business Administration,Financial Accounting,,10 Commandments For Any Competitive Exams,https://www.youtube.com/watch?v=SdIkXE9URlQ,Module 11: Career Paths in Accounting,11,12th,English/Hindi
5665,Business Administration,Financial Accounting,,"""Capital Budgeting"" Introduction in Financial Management By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=1WFYjEppsSo,Module 11: Career Paths in Accounting,11,12th,English/Hindi
5666,Business Administration,Financial Accounting,,"""Pay back period Method"" Practical Problems & Theory in Capital Budgeting",https://www.youtube.com/watch?v=G-TuVG7Ji5Q,Module 11: Career Paths in Accounting,11,12th,English/Hindi
5667,Business Administration,Financial Accounting,,"""Accounting/ Average Rate Of Return (ARR)"" Practical Problems & Solutions fromCapital Budgeting",https://www.youtube.com/watch?v=BaPWesZftT0,Module 12: Capital Budgeting Techniques,12,12th,English/Hindi
5668,Business Administration,Financial Accounting,,"Capital Budgeting ""Net Present Value (NPV)"" Problems & Solutions",https://www.youtube.com/watch?v=Pcc9GLK60YI,Module 12: Capital Budgeting Techniques,12,12th,English/Hindi
5669,Business Administration,Financial Accounting,,"Capital Budgeting ""Internal Rate of Return (IRR)"" Problems & Solutions",https://www.youtube.com/watch?v=n5hc5Q0wyoY,Module 12: Capital Budgeting Techniques,12,12th,English/Hindi
5670,Business Administration,Financial Accounting,,"""Proftability Index (P.I)"" Problems & Solutions in Capital Budgeting",https://www.youtube.com/watch?v=xY0Jq7aXyNU,Module 12: Capital Budgeting Techniques,12,12th,English/Hindi
5671,Business Administration,Financial Accounting,,"""Ratio Analysis -  Introduction"" By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=CnhU3duai-c,Module 12: Capital Budgeting Techniques,12,12th,English/Hindi
5672,Business Administration,Financial Accounting,,"""Liquidity Ratios"" Problems & Solutions By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=RH0N_6Y_fFs,Module 12: Capital Budgeting Techniques,12,12th,English/Hindi
5673,Business Administration,Financial Accounting,,"""Profitability Ratios  - Introduction"" By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=ToOEICRlwNg,Module 13: Ratio Analysis - An Overview,13,12th,English/Hindi
5674,Business Administration,Financial Accounting,,"""Profitability Ratios"" - Problems & Solutions By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=NcFekaoE8Jw,Module 14: Liquidity Ratios,14,12th,English/Hindi
5675,Business Administration,Financial Accounting,,"""Solvency/ Capital Structure Ratios"" - Introduction By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=2AXSEsJmePU,Module 14: Liquidity Ratios,14,12th,English/Hindi
5676,Business Administration,Financial Accounting,,"""Activity/ Turnover Ratios Problems & Solutions "" By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=WonF0sqz0_U,Module 15: Profitability Ratios,15,12th,English/Hindi
5677,Business Administration,Financial Accounting,,"""Activity/ Turnover Ratios"" By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=1niEBOlvKf0,Module 15: Profitability Ratios,15,12th,English/Hindi
5678,Business Administration,Financial Accounting,,"""Solvency/ Capital Structure Ratios"" - Problems & Solutions",https://www.youtube.com/watch?v=Y21CfgUVHaw,Module 16: Solvency and Capital Structure Ratios,16,12th,English/Hindi
5679,Business Administration,Financial Accounting,,"""Financial Statements"" Chapter Introduction By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=VhW8I4aS-Yk,Module 16: Solvency and Capital Structure Ratios,16,12th,English/Hindi
5680,Business Administration,Financial Accounting,,"""Comparative Income Statement"" Problem NO - 1 in Financial Statement By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=uJYeuB0XODA,Module 17: Activity/Turnover Ratios,17,12th,English/Hindi
5681,Business Administration,Financial Accounting,,"""Comparative Balance Sheet Statement""- Problem No: 2 In Financial Statements Chapter",https://www.youtube.com/watch?v=5CEKO-6J4lM,Module 17: Activity/Turnover Ratios,17,12th,English/Hindi
5682,Business Administration,Financial Accounting,,"""Comparative Common Size Income Statement"" in Financial Statement Chapter By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=3tTFnHKS4eA,Module 18: Financial Statements Analysis,18,12th,English/Hindi
5683,Business Administration,Financial Accounting,,"""Comparative Common Size Balance Sheet"" in Financial Statement Analysis Chapter",https://www.youtube.com/watch?v=SLL9a_thMro,Module 18: Financial Statements Analysis,18,12th,English/Hindi
5684,Business Administration,Financial Accounting,,"""Trend Ratios/ Analysis"" in Financial Statements Analysis Chapter By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=ORVBdtwd2i8,Module 18: Financial Statements Analysis,18,12th,English/Hindi
5685,Business Administration,Financial Accounting,,1. Introduction of Partnership Accounts - In Financial Accounting,https://www.youtube.com/watch?v=69yMm8NLUlo,Module 18: Financial Statements Analysis,18,12th,English/Hindi
5686,Business Administration,Financial Accounting,,2. Partnership Accounts - Adjusted Profit & Loss Account Problem - 1,https://www.youtube.com/watch?v=kKKfRJVTZt4,Module 18: Financial Statements Analysis,18,12th,English/Hindi
5687,Business Administration,Financial Accounting,,"3. Partnership Accounts - ""Adjusted Profit & Loss A/c Problem with Fixed Capital Accounts""",https://www.youtube.com/watch?v=DVpe8l2MmiM,Module 19: Introduction to Partnership Accounts,19,12th,English/Hindi
5688,Business Administration,Financial Accounting,,4. Partnership Accounts - Adjusted Profit & Loss A/c With Fluctuating Capital Accounts,https://www.youtube.com/watch?v=UsKoKme9mWk,Module 19: Introduction to Partnership Accounts,19,12th,English/Hindi
5689,Business Administration,Financial Accounting,,How to identify Important Questions From Any Subject?,https://www.youtube.com/watch?v=x4FWaD8zQHA,Module 19: Introduction to Partnership Accounts,19,12th,English/Hindi
5690,Business Administration,Financial Accounting,,"""Rectification Of Trial Balance - In Vertical Format"" - 100% You Will Become Perfect With This Video",https://www.youtube.com/watch?v=fePHCbYWtE0,Module 19: Introduction to Partnership Accounts,19,12th,English/Hindi
5691,Business Administration,Financial Accounting,,"21. Final Accounts - Treatment of Insurance Claims , Reserve Fund & Goods Distributed as Sample",https://www.youtube.com/watch?v=Su3VVaMYJK4,Module 20: Exam Strategies and Techniques,20,12th,English/Hindi
