Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
1341,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,477hrs 18min,Fundamentals of Marketing Full Course | Marketing Basics for Beginners | Umar Tazkeer,https://www.youtube.com/watch?v=qwnw1qfPU4Y,Module 1: Introduction to Marketing,1,12th,English/Hindi
1342,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,What is Marketing?  | Understanding Marketing Concepts | Marketing Fundamentals | #1,https://www.youtube.com/watch?v=vlRm8tqAYCs,Module 1: Introduction to Marketing,1,12th,English/Hindi
1343,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,What are 4' Ps of Marketing | 4 Ps of Marketing Concept | Marketing Fundamentals | #2,https://www.youtube.com/watch?v=BXQaKugfw0g,Module 1: Introduction to Marketing,1,12th,English/Hindi
1344,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,7 Ps of Marketing Explained | Marketing Mix Concept | Marketing Fundamentals | #3,https://www.youtube.com/watch?v=frHe0ntAqf4,Module 1: Introduction to Marketing,1,12th,English/Hindi
1345,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,What is SWOT Analysis? | How to Perform SWOT  Analysis? | Marketing Fundaments | #4,https://www.youtube.com/watch?v=gg00x3tV92A,Module 2: Marketing Mix and Pricing,2,12th,English/Hindi
1346,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,What is price Elasticity | Pricing Strategy/Models in Marketing | Marketing Fundamentals | #5,https://www.youtube.com/watch?v=cIFJEorp7rc,Module 2: Marketing Mix and Pricing,2,12th,English/Hindi
1347,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Different Pricing Models in Marketing | Pricing Models and Strategies | Marketing Fundamentals | #6,https://www.youtube.com/watch?v=xKcWUkGbrkc,Module 2: Marketing Mix and Pricing,2,12th,English/Hindi
1348,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Different Types of Pricing Strategies According to Business Types | Marketing Fundamentals | #7,https://www.youtube.com/watch?v=8pJBzh0tmMA,Module 3: Sales and Product Life Cycle,3,12th,English/Hindi
1349,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Difference between Sales and Marketing | Sales vs Marketing in Hindi | Marketing Fundamentals | #8,https://www.youtube.com/watch?v=voloYU8kaBI,Module 3: Sales and Product Life Cycle,3,12th,English/Hindi
1350,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,What is Product Life Cycle | Stages of Product Life Cycle in Marketing | Marketing Fundamentals | #9,https://www.youtube.com/watch?v=Yc5h8PA7WiI,Module 4: Marketing Analysis and Lead Scoring,4,12th,English/Hindi
1351,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,5Cs of Marketing | Marketing Analysis | Marketing Fundamentals| #10,https://www.youtube.com/watch?v=HjW6qtzH46I,Module 4: Marketing Analysis and Lead Scoring,4,12th,English/Hindi
1352,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,What is Lead Score | Lead Scoring Model Explained | Marketing Fundamentals |#11,https://www.youtube.com/watch?v=iaxbjJ4VQ4A,"Module 5: Segmentation, Targeting, and Positioning",5,12th,English/Hindi
1353,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,STP Framework in Marketing | Segmentation Targeting and Positioning |  Marketing Fundamentals | #12,https://www.youtube.com/watch?v=EaMc55oeIwc,"Module 5: Segmentation, Targeting, and Positioning",5,12th,English/Hindi
1354,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,What is Consumer Adoption Process | Consumer Adoption | Marketing Fundamentals | #13,https://www.youtube.com/watch?v=SjLdOymp6Dw,Module 6: Consumer Adoption and Product Market Expansion,6,12th,English/Hindi
1355,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,What is Ansoff Matrix | Product Market Expansion Grid | Marketing Fundamentals | #14,https://www.youtube.com/watch?v=9b-9M8KOakU,Module 6: Consumer Adoption and Product Market Expansion,6,12th,English/Hindi
1356,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,BCG Metrix Explained | BCG Metrix in Hindi | Marketing Fundamentals Course | #15,https://www.youtube.com/watch?v=GsZBmSEfMfk,Module 7: BCG Matrix and Service Marketing,7,12th,English/Hindi
1357,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Service Triangle in Service Marketing | Service Triangle in Hindi | Marketing Fundamentals | #16,https://www.youtube.com/watch?v=IC_A5CIir_k,Module 7: BCG Matrix and Service Marketing,7,12th,English/Hindi
1358,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Ambush Marketing Explained | Ambush Marketing in Hindi | Marketing Fundamentals | #17,https://www.youtube.com/watch?v=Hz1JfMi1IE4,Module 8: Ambush Marketing and Agile Marketing,8,12th,English/Hindi
1359,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Agile Marketing | Agile Marketing Methodology to Grow Business| Marketing Fundamentals |  #18,https://www.youtube.com/watch?v=dQOjqK4DwDk,Module 8: Ambush Marketing and Agile Marketing,8,12th,English/Hindi
1360,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,5 A's of Marketing in Hindi | 5 A’s Marketing | Marketing Fundamentals | #19,https://www.youtube.com/watch?v=nMzpoZSF7WE,Module 9: Porter's Strategies and Marketing vs. Advertising,9,12th,English/Hindi
1361,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Porter's Generic Strategies | Porter's Model of Marketing | Marketing Fundamentals |#20,https://www.youtube.com/watch?v=-KEDFG5k8SE,Module 9: Porter's Strategies and Marketing vs. Advertising,9,12th,English/Hindi
1362,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Difference Between Marketing and Advertising| Marketing vs Advertising | Marketing Fundamentals |#21,https://www.youtube.com/watch?v=moseqXZkrXE,Module 10: Guerrilla Marketing and Moment Marketing,10,12th,English/Hindi
1363,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Guerrilla Marketing | Guerrilla Marketing in Hindi with Example | Marketing Fundamentals | #22,https://www.youtube.com/watch?v=h5G6cV4JP04,Module 10: Guerrilla Marketing and Moment Marketing,10,12th,English/Hindi
1364,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,What is Moment Marketing | Moment Marketing  in Hindi with Examples | Marketing Fundamentals | #23,https://www.youtube.com/watch?v=it7gyX-oEHA,Module 10: Guerrilla Marketing and Moment Marketing,10,12th,English/Hindi
1365,Business Administration,Marketing Fundamentals & Basics - Concept of Marketing to Make you understand about Basics of Marketing,,Surrogate Advertising Kaise hoti hai? | Surrogate Advertising  | Marketing Fundamentals | #24,https://www.youtube.com/watch?v=yWNAvHnMlUA,Module 10: Guerrilla Marketing and Moment Marketing,10,12th,English/Hindi
