Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
1507,Business Administration,Operations Management,80hrs 19min,Lecture 01 Operations Management: Basics,https://www.youtube.com/watch?v=_VJkKZFuRvE,Module 1: Introduction to Operations Management,1,12th,English/Hindi
1508,Business Administration,Operations Management,,Lecture 02 Operations Management: Objectives,https://www.youtube.com/watch?v=6fssYwsXVfI,Module 1: Introduction to Operations Management,1,12th,English/Hindi
1509,Business Administration,Operations Management,,Lecture 03 Operations Management: Functions and Scope,https://www.youtube.com/watch?v=EmGz8POpzN8,Module 1: Introduction to Operations Management,1,12th,English/Hindi
1510,Business Administration,Operations Management,,Lecture 04 Types of Production Systems,https://www.youtube.com/watch?v=BoUDrZPrt8c,Module 1: Introduction to Operations Management,1,12th,English/Hindi
1511,Business Administration,Operations Management,,Lecture 05 Operations Strategy,https://www.youtube.com/watch?v=VozCAXEAdoo,Module 2: Product Design & Development,2,12th,English/Hindi
1512,Business Administration,Operations Management,,Lecture 06 Product Life-Cycle,https://www.youtube.com/watch?v=m-OMvTWf9mE,Module 2: Product Design & Development,2,12th,English/Hindi
1513,Business Administration,Operations Management,,Lecture 07 Value Engineering Concepts,https://www.youtube.com/watch?v=mJoaZ4GewyI,Module 2: Product Design & Development,2,12th,English/Hindi
1514,Business Administration,Operations Management,,Lecture 08 Design for X (DFX),https://www.youtube.com/watch?v=k0X3ybfqPbQ,Module 2: Product Design & Development,2,12th,English/Hindi
1515,Business Administration,Operations Management,,Lecture 09 Ergonomics in Product Design,https://www.youtube.com/watch?v=vSwH8-MFkKc,Module 3: Forecasting,3,12th,English/Hindi
1516,Business Administration,Operations Management,,"Lecture 10 Rapid Prototyping: Concept, Advantages",https://www.youtube.com/watch?v=6XSsf47CuYs,Module 3: Forecasting,3,12th,English/Hindi
1517,Business Administration,Operations Management,,lecture 11 Sales Forecasting,https://www.youtube.com/watch?v=bH94eTQLs5g,Module 3: Forecasting,3,12th,English/Hindi
1518,Business Administration,Operations Management,,Lecture 12 Forecasting System,https://www.youtube.com/watch?v=30Z7f7dpGYU,Module 3: Forecasting,3,12th,English/Hindi
1519,Business Administration,Operations Management,,Lecture 13 Qualitative Methods of Forecasting,https://www.youtube.com/watch?v=7Hphv79OZJY,Module 4: Facility Location & Planning,4,12th,English/Hindi
