Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,Minimum Education,Language
4987,Civil Engineering,Transportation Engineering  | Pratik Mishra,191hrs 7min,Introduction to Transportation Engineering | Target 2022-23  | Pratik Mishra Sir,https://www.youtube.com/watch?v=WYGS9CYlxho,Module 1: Introduction to Geometric Design,12th,English/Hindi
4988,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Cross sectional Elements | Target - 2022-23 | Transport Engineering | GATE Exam | Pratik Mishra Sir,https://www.youtube.com/watch?v=Jj13licRKVM,Module 1: Introduction to Geometric Design,12th,English/Hindi
4989,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Camber | Target - 2022-23 | Transport Engineering | GATE Exam | Pratik Mishra Sir,https://www.youtube.com/watch?v=MSYzXOlUe-M,Module 1: Introduction to Geometric Design,12th,English/Hindi
4990,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Camber | Target - 2022-23 | L:3 | Transport Engineering | GATE Exam | Pratik Mishra Sir,https://www.youtube.com/watch?v=nLOcVon5pLw,Module 1: Introduction to Geometric Design,12th,English/Hindi
4991,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Camber | Target - 2022-23 | L:5 | Transport Engineering | Pratik Mishra Sir,https://www.youtube.com/watch?v=-5jdVoryygE,Module 1: Introduction to Geometric Design,12th,English/Hindi
4992,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Stopping Sight Distance | Target - 2022-23 | L:6 | Transport Engineering  | Pratik Mishra Sir,https://www.youtube.com/watch?v=7skhgGlwALQ,Module 1: Introduction to Geometric Design,12th,English/Hindi
4993,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Stopping Sight Distance | TARGET 2022-23 | Transport Engineering | Pratik Mishra Sir,https://www.youtube.com/watch?v=_v__2VI0O_k,Module 1: Introduction to Geometric Design,12th,English/Hindi
4994,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Revision Marathon of Transportation | Transport Engineering | Pratik Mishra Sir,https://www.youtube.com/watch?v=a3U6X9mE-mc,Module 2: Geometric Design of Highways,12th,English/Hindi
4995,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Overtaking Sight Distance  | Target - 2022-23 | L:9 | Transport Engineering  | Pratik Mishra Sir,https://www.youtube.com/watch?v=_gIKebGkkUE,Module 2: Geometric Design of Highways,12th,English/Hindi
4996,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Intermediate Sight Distance | Target - 2022-23 | L:11 | Transport Engineering  | Pratik Mishra Sir,https://www.youtube.com/watch?v=Fq7BEIrb_LI,Module 2: Geometric Design of Highways,12th,English/Hindi
4997,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Basics Of Horizontal Alignment | Target -2022-23 | L:12 | Transport Engineering  | Pratik Mishra Sir,https://www.youtube.com/watch?v=cgNu8fCwC2c,Module 2: Geometric Design of Highways,12th,English/Hindi
4998,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Superelevation | Target -2022-23 | L:13 | Transport Engineering  | Pratik Mishra Sir,https://www.youtube.com/watch?v=QJTGHbnnlEI,Module 2: Geometric Design of Highways,12th,English/Hindi
4999,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Complete Revision for the whole week | Target -2022-23 | L:14 | Transport Engineering | Pratik Sir,https://www.youtube.com/watch?v=LmEK-oPKsmI,Module 2: Geometric Design of Highways,12th,English/Hindi
5000,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Transition Curve Introduction  | Target -2022-23 | L:15 | Transport Engineering | Pratik Sir,https://www.youtube.com/watch?v=yWxCYnHrl9A,Module 2: Geometric Design of Highways,12th,English/Hindi
5001,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Special Concept on Transition Curve  | Target -2022-23 | L:16 | Transport Engineering | Pratik Sir,https://www.youtube.com/watch?v=eV7w90bFs7I,Module 2: Geometric Design of Highways,12th,English/Hindi
5002,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Transition curve | Target 2022-23 | L:17 | Transport Engineering | Prateek Sir,https://www.youtube.com/watch?v=2_ZTmUZXlZ4,Module 2: Geometric Design of Highways,12th,English/Hindi
5003,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Curve Resistance | Target 2022-23 | L:18 | Transport Engineering | Prateek Sir,https://www.youtube.com/watch?v=eh4Jb5YsQ6Q,Module 2: Geometric Design of Highways,12th,English/Hindi
5004,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Set-Back Distance - 1 | Target 2022-23 | L:19 | Transport Engineering | Prateek Sir,https://www.youtube.com/watch?v=ESuie1e78vU,Module 2: Geometric Design of Highways,12th,English/Hindi
5005,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Compensated Gradient / Summit Curve | Target 2022-23 | L:21 | Transport Engineering | Prateek Sir,https://www.youtube.com/watch?v=DKnXBBJoX9Y,Module 3: Traffic Engineering,12th,English/Hindi
5006,Civil Engineering,Transportation Engineering  | Pratik Mishra,,Summit Curve | Target 2022-23 | L:22 | Transport Engineering | Prateek Sir,https://www.youtube.com/watch?v=1XHlTV0mL5s,Module 3: Traffic Engineering,12th,English/Hindi
