Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,Minimum Education,Language
153,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",315hrs 0min,HTML Tutorial for Beginners | Complete HTML with Notes & Code,https://www.youtube.com/watch?v=HcOc7P5BMi4,Module 1: HTML for Beginners,12th,English/Hindi
154,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,"CSS Tutorial for Beginners | Complete CSS with Project, Notes & Code",https://www.youtube.com/watch?v=ESnrn1kAD4E,Module 1: HTML for Beginners,12th,English/Hindi
155,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Building AMAZON Clone for Beginners | Project using HTML & CSS,https://www.youtube.com/watch?v=nGhKIC_7Mkk,Module 1: HTML for Beginners,12th,English/Hindi
156,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Complete Git and GitHub Tutorial for Beginners,https://www.youtube.com/watch?v=Ez8F0nW6S-w,Module 2: CSS for Beginners,12th,English/Hindi
157,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,JavaScript Full Course ❤️ | Variables & Data Types | Lecture 1,https://www.youtube.com/watch?v=ajdRvxDWH4w,Module 2: CSS for Beginners,12th,English/Hindi
158,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Lecture 2 : Operators and Conditional Statements | JavaScript Full Course,https://www.youtube.com/watch?v=Zg4-uSjxosE,Module 3: Building an E-commerce Clone,12th,English/Hindi
159,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Lecture 3: Loops and Strings | JavaScript Full Course,https://www.youtube.com/watch?v=UmRtFFSDSFo,Module 3: Building an E-commerce Clone,12th,English/Hindi
160,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Lecture 4: Arrays | JavaScript Full Course,https://www.youtube.com/watch?v=gFWhbjzowrM,Module 4: Version Control with Git and GitHub,12th,English/Hindi
161,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Lecture 5: Functions & Methods | JavaScript Full Course,https://www.youtube.com/watch?v=P0XMXqDGttU,Module 5: JavaScript Fundamentals,12th,English/Hindi
162,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Lecture 6 : DOM - Document Object Model | JavaScript Full Course | Part 1,https://www.youtube.com/watch?v=7zcXPCt8Ck0,Module 5: JavaScript Fundamentals,12th,English/Hindi
163,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Lecture 7 : DOM (Part 2) | Document Object Model | JavaScript Full Course,https://www.youtube.com/watch?v=fXAGTOZ25H8,Module 5: JavaScript Fundamentals,12th,English/Hindi
164,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Lecture 8 : Events in JavaScript | JavaScript Full Course,https://www.youtube.com/watch?v=_i-uLJAh79U,Module 6: JavaScript in the Browser,12th,English/Hindi
165,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Lecture 9 : Tic Tac Toe Game in JavaScript | JS Project | JavaScript Full Course,https://www.youtube.com/watch?v=SqrppLEljkY,Module 6: JavaScript in the Browser,12th,English/Hindi
166,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,"Lecture 10 : MiniProject - Stone, Paper & Scissors Game | JavaScript Full Course",https://www.youtube.com/watch?v=_V33HCZWLDQ,Module 6: JavaScript in the Browser,12th,English/Hindi
167,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Lecture 11 : Classes & Objects | JavaScript Full Course,https://www.youtube.com/watch?v=N-O4w6PynGY,Module 7: Advanced JavaScript and Projects,12th,English/Hindi
168,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,"Lecture 12 : Callbacks, Promises & Async Await | JavaScript Full Course",https://www.youtube.com/watch?v=d3jXofmQm44,Module 7: Advanced JavaScript and Projects,12th,English/Hindi
169,Computer Science Engineering,"HTML,CSS,JavaScript, Project, Git & GitHub",,Last Lecture : Fetch API with Project | JavaScript Full Course,https://www.youtube.com/watch?v=CyGodpqcid4,Module 7: Advanced JavaScript and Projects,12th,English/Hindi
