Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
10707,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,325hrs 1min,Professional Education Test Study Flash Cards,https://www.youtube.com/watch?v=Xl74CmXeeCM,Module 1: Introduction to Special Education Law & IEPs,1,12th,English/Hindi
10708,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,What Every Educator Should Know About Special Education Law,https://www.youtube.com/watch?v=mP-ukH4mcVk,Module 1: Introduction to Special Education Law & IEPs,1,12th,English/Hindi
10709,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,IDEA: Understanding Measurable Goals on the IEP,https://www.youtube.com/watch?v=dbsZ4IjQ5e8,Module 1: Introduction to Special Education Law & IEPs,1,12th,English/Hindi
10710,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,Federally Mandated Elements / IEP: Accommodations on State & District Wide Assessments,https://www.youtube.com/watch?v=hwhyji-3oVE,Module 1: Introduction to Special Education Law & IEPs,1,12th,English/Hindi
10711,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,IEP 101: Who are the required IEP Team Members? A Special Education Teacher,https://www.youtube.com/watch?v=8yAVC96pWH4,Module 2: IDEA & IEP Deep Dive,2,12th,English/Hindi
10712,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,IDEA Basics: (504 Plan) How is an IEP Different from a 504 Plan?,https://www.youtube.com/watch?v=sJ2KlmG5OV0,Module 2: IDEA & IEP Deep Dive,2,12th,English/Hindi
10713,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,The IEP Process Made Simple,https://www.youtube.com/watch?v=FU3dGQWZzx8,Module 2: IDEA & IEP Deep Dive,2,12th,English/Hindi
10714,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,SERP 500/403/503: Basics of Special Education and Key Terms,https://www.youtube.com/watch?v=BZIj6lT6w4M,Module 2: IDEA & IEP Deep Dive,2,12th,English/Hindi
10715,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,Bloom's Taxonomy - Simplest explanation ever,https://www.youtube.com/watch?v=zj6CrMthNG8,Module 3: Understanding Assessments in Special Education,3,12th,English/Hindi
10716,Early Childhood Education,Study Playlist for SpEd 5354 Praxis,,PLT Praxis Study Guide - Students As Learners,https://www.youtube.com/watch?v=wgtKuGBr3Gc,Module 3: Understanding Assessments in Special Education,3,12th,English/Hindi
