Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,Minimum Education,Language
13200,Education,School counselor playlist,12hrs 7min,Don't Worry Be Happy,https://www.youtube.com/watch?v=AFDOSq6Wxa0,Module 1: Finding Your Beat,12th,English/Hindi
13201,Education,School counselor playlist,,Friend Like Me,https://www.youtube.com/watch?v=mp01r_1g7tE,Module 1: Finding Your Beat,12th,English/Hindi
13202,Education,School counselor playlist,,"Happy (From ""Despicable Me 2"")",https://www.youtube.com/watch?v=dJqxQzxLbHM,Module 1: Finding Your Beat,12th,English/Hindi
13203,Education,School counselor playlist,,You've Got a Friend in Me,https://www.youtube.com/watch?v=0hG-2tQtdlE,Module 1: Finding Your Beat,12th,English/Hindi
13204,Education,School counselor playlist,,I Like To Move It,https://www.youtube.com/watch?v=PLEQRIisP_Q,Module 2:  Friendship Fuels,12th,English/Hindi
13205,Education,School counselor playlist,,Roar,https://www.youtube.com/watch?v=9VcDnWMOBtw,Module 2:  Friendship Fuels,12th,English/Hindi
13206,Education,School counselor playlist,,Believer,https://www.youtube.com/watch?v=Kx7B-XvmFtE,Module 2:  Friendship Fuels,12th,English/Hindi
13207,Education,School counselor playlist,,Life is a Highway,https://www.youtube.com/watch?v=Zh-ZUrc-aLI,Module 3:  Embrace the Journey ,12th,English/Hindi
13208,Education,School counselor playlist,,Thunder,https://www.youtube.com/watch?v=9ssQKlLxBdQ,Module 3:  Embrace the Journey ,12th,English/Hindi
13209,Education,School counselor playlist,,Magic Dance,https://www.youtube.com/watch?v=j6NqnYYmSVE,Module 3:  Embrace the Journey ,12th,English/Hindi
13210,Education,School counselor playlist,,Stronger (What Doesn't Kill You),https://www.youtube.com/watch?v=ffmOr4-bbbA,Module 3:  Embrace the Journey ,12th,English/Hindi
13211,Education,School counselor playlist,,Hakuna Matata,https://www.youtube.com/watch?v=K73sVyAtMwE,Module 4:  Inner Strength,12th,English/Hindi
13212,Education,School counselor playlist,,Ain't No Mountain High Enough,https://www.youtube.com/watch?v=ABfQuZqq8wg,Module 4:  Inner Strength,12th,English/Hindi
13213,Education,School counselor playlist,,All Star,https://www.youtube.com/watch?v=8ay_BkRuv-o,Module 4:  Inner Strength,12th,English/Hindi
13214,Education,School counselor playlist,,Fight Song,https://www.youtube.com/watch?v=y5h_dukaB1I,Module 5:  Finding Your Voice,12th,English/Hindi
13215,Education,School counselor playlist,,Uptown Funk,https://www.youtube.com/watch?v=hJ5JU2DtLlA,Module 5:  Finding Your Voice,12th,English/Hindi
13216,Education,School counselor playlist,,"I'm A Believer (From ""Shrek"" Motion Picture Soundtrack)",https://www.youtube.com/watch?v=xCP7bCJxxm8,Module 5:  Finding Your Voice,12th,English/Hindi
