Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
7852,Entrepreneurship,Entrepreneurial Marketing,3hrs 13min,Entrepreneurial Marketing: Introduction,https://www.youtube.com/watch?v=KwjtFgn-TEU,Module 1: Introduction to Entrepreneurial Marketing,1,12th,English/Hindi
7853,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Quad Marketing Approach,https://www.youtube.com/watch?v=J0WXUbBJ7Ug,Module 1: The Quad Marketing Approach,1,12th,English/Hindi
7854,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Modern Marketing Strategy,https://www.youtube.com/watch?v=yeIM5IxvY-o,Module 1: Modern Marketing Strategy,1,12th,English/Hindi
7855,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Content and Objectives,https://www.youtube.com/watch?v=ZbmKtfZGnbk,Module 1: Content and Objectives in Entrepreneurial Marketing,1,12th,English/Hindi
7856,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Marketing Mix Management,https://www.youtube.com/watch?v=wY8aVBCANk4,Module 2: Managing the Marketing Mix,2,12th,English/Hindi
7857,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Growth Hacking,https://www.youtube.com/watch?v=wLNEllZMotc,Module 2: Growth Hacking for Entrepreneurs,2,12th,English/Hindi
7858,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Consolidate & Codify Learning,https://www.youtube.com/watch?v=N2plHl9zNlw,Module 2: Consolidate & Codify Your Learning,2,12th,English/Hindi
7859,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Insights from Neil Patel / Online Marketing,https://www.youtube.com/watch?v=C3D3GtaGeEI,Module 3: Insights from Neil Patel - Online Marketing,3,12th,English/Hindi
7860,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Insights from Neil Patel / Email Marketing,https://www.youtube.com/watch?v=BdGRUaOeMO8,Module 3: Insights from Neil Patel - Email Marketing,3,12th,English/Hindi
7861,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Insights from Neil Patel / SEO,https://www.youtube.com/watch?v=amP8CSKwBZ4,Module 4: Insights from Neil Patel - SEO,4,12th,English/Hindi
7862,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Insights from Neil Patel / Marketing Tactics,https://www.youtube.com/watch?v=cHb0Yts-IEY,Module 4: Insights from Neil Patel - Marketing Tactics,4,12th,English/Hindi
7863,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Insights from Neil Patel / Content Marketing,https://www.youtube.com/watch?v=4zcydwhYS48,Module 5: Insights from Neil Patel - Content Marketing,5,12th,English/Hindi
7864,Entrepreneurship,Entrepreneurial Marketing,,Entrepreneurial Marketing: Insights from Neil Patel / Neil's Tips,https://www.youtube.com/watch?v=xeZPUvSm83A,Module 5: Insights from Neil Patel - Neil's Tips,5,12th,English/Hindi
