Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
6217,Environmental Engineering,Soil remediation,2hrs 13min,Soil Remediation Technology_Solidification/Stabilization Methods,https://www.youtube.com/watch?v=WHApqr6cyYs,Module 1: Introduction to Soil Remediation,1,12th,English/Hindi
6218,Environmental Engineering,Soil remediation,,Soil Remediation Technology_Solidification/Stabilization Methods,https://www.youtube.com/watch?v=WHApqr6cyYs,Module 1: Introduction to Soil Remediation,1,12th,English/Hindi
6219,Environmental Engineering,Soil remediation,,Soil Remediation Technology_Electrokinetic Separation Method,https://www.youtube.com/watch?v=medIM7ZPODo,Module 2: Solidification/Stabilization Methods,2,12th,English/Hindi
6220,Environmental Engineering,Soil remediation,,Soil Remediation Technology_Soil Washing Method,https://www.youtube.com/watch?v=wpin4FqnJJU,Module 2: Solidification/Stabilization Methods,2,12th,English/Hindi
6221,Environmental Engineering,Soil remediation,,Soil Remediation Technology_Soil Flushing Method,https://www.youtube.com/watch?v=cPXnGHLlZuY,Module 3: Electrokinetic & Soil Washing Methods,3,12th,English/Hindi
6222,Environmental Engineering,Soil remediation,,Soil Remediation Technology_Soil Vapor Extraction Method,https://www.youtube.com/watch?v=QGoXMh5a9p8,Module 3: Electrokinetic & Soil Washing Methods,3,12th,English/Hindi
6223,Environmental Engineering,Soil remediation,,Soil Remediation Technology_Chemical Oxidation/Reduction Method,https://www.youtube.com/watch?v=2iATMtoEkYs,Module 4: Soil Flushing & Vapor Extraction,4,12th,English/Hindi
6224,Environmental Engineering,Soil remediation,,Soil Remediation Technology_Landfarming,https://www.youtube.com/watch?v=luvAZArHmtc,Module 4: Soil Flushing & Vapor Extraction,4,12th,English/Hindi
6225,Environmental Engineering,Soil remediation,,Soil Remediation Technology_Thermal Desorption,https://www.youtube.com/watch?v=RnE9APMVtU8,Module 5: Chemical Oxidation/Reduction & Landfarming,5,12th,English/Hindi
6226,Environmental Engineering,Soil remediation,,Soil Remediation Technology_Phytoremediation,https://www.youtube.com/watch?v=viPzxZ8vCIk,Module 5: Chemical Oxidation/Reduction & Landfarming,5,12th,English/Hindi
6227,Environmental Engineering,Soil remediation,,Soil remediation technology_Solvent extraction,https://www.youtube.com/watch?v=BwZbMWYCDFs,Module 6: Thermal Desorption & Phytoremediation,6,12th,English/Hindi
6228,Environmental Engineering,Soil remediation,,"Soil remediation technologies_Pyrolysis, incineration, and vitrification",https://www.youtube.com/watch?v=JMe4wYbO8ac,Module 6: Thermal Desorption & Phytoremediation,6,12th,English/Hindi
6229,Environmental Engineering,Soil remediation,,"Soil remediation technologies_Biodegradation, Bioventing, Composting",https://www.youtube.com/watch?v=6hrctQfAWyg,Module 7: Solvent Extraction & Pyrolysis,7,12th,English/Hindi
6230,Environmental Engineering,Soil remediation,,Groundwater remediation technology_Pump and Treat,https://www.youtube.com/watch?v=75n43JYq0Dk,Module 7: Solvent Extraction & Pyrolysis,7,12th,English/Hindi
6231,Environmental Engineering,Soil remediation,,Groundwater remediation technology_Multi-phase extraction (Dual-phase extraction),https://www.youtube.com/watch?v=K3Ni7-F_ceQ,Module 8: Biodegradation & Composting,8,12th,English/Hindi
6232,Environmental Engineering,Soil remediation,,Groundwater remediation technology_Air sparging & Soil vapor extraction,https://www.youtube.com/watch?v=nizuV0NuJXY,Module 9: Groundwater Remediation Techniques,9,12th,English/Hindi
6233,Environmental Engineering,Soil remediation,,مباراة كرة الطائرة بالدور قبل النهائي بين الأهلي والزمالك - أنسات قسم أول,https://www.youtube.com/watch?v=DgK4htPqBHQ,Module 9: Groundwater Remediation Techniques,9,12th,English/Hindi
