Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,Minimum Education,Language
9044,Environmental Science,Conservation Biology Lectures,34hrs 11min,Conservation Biology: Introduction,https://www.youtube.com/watch?v=1xYgzb9u2lY,Module 1: Introduction to Conservation Biology,12th,English/Hindi
9045,Environmental Science,Conservation Biology Lectures,,Lecture 2: History of Conservation Biology,https://www.youtube.com/watch?v=s9fIKI-5Y_4,Module 1: History and Biodiversity,12th,English/Hindi
9046,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Ecosystem Services,https://www.youtube.com/watch?v=RFFEYVV725Y,Module 1:  Biodiversity ,12th,English/Hindi
9047,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Diversity part 1: Species Concepts,https://www.youtube.com/watch?v=GNtguoizm8M,Module 1: Biodiversity Loss,12th,English/Hindi
9048,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Diversity part 2: Diversity across space and time,https://www.youtube.com/watch?v=ul-cYLRVCUc,Module 2: Habitat Loss and Fragmentation,12th,English/Hindi
9049,Environmental Science,Conservation Biology Lectures,,"Conservation Biology: Diversity Part 3: Local diversity, measurement, dynamics",https://www.youtube.com/watch?v=uzSbCe9l3GM,Module 2: Overexploitation and Urbanization,12th,English/Hindi
9050,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Contemporary Extinctions,https://www.youtube.com/watch?v=mA4sSthcoVg,Module 2: Invasive Species and Diseases,12th,English/Hindi
9051,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Pollution,https://www.youtube.com/watch?v=EdxiJLnk-08,Module 3: Climate Change and Genetics,12th,English/Hindi
9052,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Habitat Loss,https://www.youtube.com/watch?v=Y7cib_pBDaw,Module 3: Conservation Strategies,12th,English/Hindi
9053,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Threats to Tropical Forests,https://www.youtube.com/watch?v=HJ2DApxzz5s,Module 3: Conservation Strategies,12th,English/Hindi
9054,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Habitat Fragmentation Part 1,https://www.youtube.com/watch?v=AxnaSJIVf3w,Module 3: Conservation Strategies,12th,English/Hindi
9055,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Habitat fragmentation and edge effects,https://www.youtube.com/watch?v=twRuUaK_4W4,Module 3: Conservation Strategies,12th,English/Hindi
9056,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Over-exploitation,https://www.youtube.com/watch?v=Uf2L-wDDoGc,Module 3: Conservation Strategies,12th,English/Hindi
9057,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Urbanization,https://www.youtube.com/watch?v=jOwFMFDNoHA,Module 3: Conservation Strategies,12th,English/Hindi
9058,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Conservation and Invasive Species,https://www.youtube.com/watch?v=GZKAnTWEt0E,Module 3: Conservation Strategies,12th,English/Hindi
9059,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Diseases of Conservation Concern,https://www.youtube.com/watch?v=UQMZgBBibZc,Module 3: Conservation Strategies,12th,English/Hindi
9060,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Climate Change and Conservation,https://www.youtube.com/watch?v=qDcOhQEXDT4,Module 3: Conservation Strategies,12th,English/Hindi
9061,Environmental Science,Conservation Biology Lectures,,Conservation Biology: Genetics,https://www.youtube.com/watch?v=k1dVjgwsYKk,Module 3: Conservation Strategies,12th,English/Hindi
