Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,Minimum Education,Language
9094,Environmental Science,Environmental Impact Assessment,14hrs 2min,Environmental Impact Assessment,https://www.youtube.com/watch?v=9-MEVIXr3Ko,Module 1: Global Environment and EIA Introduction,12th,English/Hindi
9095,Environmental Science,Environmental Impact Assessment,,Lecture 1: State of Global Environment (Air),https://www.youtube.com/watch?v=xCff_WC6se4,Module 1: Global Environment and EIA Introduction,12th,English/Hindi
9096,Environmental Science,Environmental Impact Assessment,,Lecture 2: State of Global Environment (Biodiversity),https://www.youtube.com/watch?v=BciLqcUOIRo,Module 1: Global Environment and EIA Introduction,12th,English/Hindi
9097,Environmental Science,Environmental Impact Assessment,,Lecture 3: State of Global Environment (Oceans and Coasts),https://www.youtube.com/watch?v=eIs4M__2QG0,Module 1: Global Environment and EIA Introduction,12th,English/Hindi
9098,Environmental Science,Environmental Impact Assessment,,Lecture 4: State of Global Environment (Land and Soil),https://www.youtube.com/watch?v=IVYKnOmnhCI,Module 1: Global Environment and EIA Introduction,12th,English/Hindi
9099,Environmental Science,Environmental Impact Assessment,,Lecture 5: State of Global Environment (Freshwater),https://www.youtube.com/watch?v=ZDROuj1-lB8,Module 1: Global Environment and EIA Introduction,12th,English/Hindi
9100,Environmental Science,Environmental Impact Assessment,,"Lecture 6: Definition, Process and Purpose of EIA",https://www.youtube.com/watch?v=8vymfIfip2w,Module 2: EIA in a Global Context,12th,English/Hindi
9101,Environmental Science,Environmental Impact Assessment,,"Lecture 7: EIA Impact Areas, Current and Emerging (Part 1)",https://www.youtube.com/watch?v=E_oRwSRdgcQ,Module 2: EIA in a Global Context,12th,English/Hindi
9102,Environmental Science,Environmental Impact Assessment,,"Lecture 8: EIA Impact Areas, Current and Emerging (Part II)",https://www.youtube.com/watch?v=PrFskfLGHG8,Module 2: EIA in a Global Context,12th,English/Hindi
9103,Environmental Science,Environmental Impact Assessment,,Lecture 9: EIA Origin in USA and World-Wide Development,https://www.youtube.com/watch?v=GyyyKMH-NhI,Module 2: EIA in a Global Context,12th,English/Hindi
9104,Environmental Science,Environmental Impact Assessment,,Lecture 10: EIA in India,https://www.youtube.com/watch?v=7RXBhYPqoNM,Module 2: EIA in a Global Context,12th,English/Hindi
9105,Environmental Science,Environmental Impact Assessment,,Lecture 11: World Sustainable Development Timeline (1970-1999),https://www.youtube.com/watch?v=4pR877ZFzyE,Module 3: Sustainable Development and EIA Law,12th,English/Hindi
9106,Environmental Science,Environmental Impact Assessment,,Lecture 12: World Sustainable Development Timeline (2000-2021),https://www.youtube.com/watch?v=N8h3ej5FpsE,Module 3: Sustainable Development and EIA Law,12th,English/Hindi
9107,Environmental Science,Environmental Impact Assessment,,"Lecture 13: EIA – Law, Policy and Institutional arrangements for EIA system",https://www.youtube.com/watch?v=7EdIFK15M48,Module 3: Sustainable Development and EIA Law,12th,English/Hindi
9108,Environmental Science,Environmental Impact Assessment,,"Lecture 15: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-III) - Air",https://www.youtube.com/watch?v=_mLdjd7WqU4,Module 4: EIA Law and Policy (Air and Water),12th,English/Hindi
9109,Environmental Science,Environmental Impact Assessment,,"Lecture 14: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-II)- Air",https://www.youtube.com/watch?v=Rit2V0hI5Q8,Module 4: EIA Law and Policy (Air and Water),12th,English/Hindi
9110,Environmental Science,Environmental Impact Assessment,,"Lecture 16: EIA- Law, Policy and Institutional arrangements for EIA System (Part-IV) Water & Geology",https://www.youtube.com/watch?v=KcY_ejDrQeQ,Module 4: EIA Law and Policy (Air and Water),12th,English/Hindi
9111,Environmental Science,Environmental Impact Assessment,,"Lecture 17: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part - V) Ecology",https://www.youtube.com/watch?v=aInnQTUOK9c,Module 4: EIA Law and Policy (Air and Water),12th,English/Hindi
9112,Environmental Science,Environmental Impact Assessment,,"Lecture 18: EIA- Law, Policy & Institutional Arrangements (Part-VI)  Coastal Ecology & Geomorphology",https://www.youtube.com/watch?v=JDj4lZtQGuo,Module 5: EIA Law and Policy (Ecology and More),12th,English/Hindi
9113,Environmental Science,Environmental Impact Assessment,,"Lecture 19: EIA – Law, Policy and Institutional arrangements for EIA Systems (Part-VII) - Noise",https://www.youtube.com/watch?v=KnIKQ2R2b7w,Module 5: EIA Law and Policy (Ecology and More),12th,English/Hindi
9114,Environmental Science,Environmental Impact Assessment,,"Lecture 20:EIA–Law, Policy & Institutional arrangement for EIA System (Part-VIII) Ecosystem Services",https://www.youtube.com/watch?v=rF51muqjKVY,Module 5: EIA Law and Policy (Ecology and More),12th,English/Hindi
9115,Environmental Science,Environmental Impact Assessment,,"Lecture 21: EIA – Law, Policy and Institutional Arrangements (Part - IX) Cultural Heritage & Health",https://www.youtube.com/watch?v=NR2N57wFOog,Module 5: EIA Law and Policy (Ecology and More),12th,English/Hindi
9116,Environmental Science,Environmental Impact Assessment,,"Lecture 22: EIA - Law, Policy and Institutional Arrangements for EIA Systems (Part X)",https://www.youtube.com/watch?v=6Kd8SszxIcM,Module 5: EIA Law and Policy (Ecology and More),12th,English/Hindi
9117,Environmental Science,Environmental Impact Assessment,,"Lecture 23: EIA - Law, Policy and Institutional Arrangements for EIA Systems (Part XI)",https://www.youtube.com/watch?v=3A9jh7IxjIs,Module 5: EIA Law and Policy (Ecology and More),12th,English/Hindi
9118,Environmental Science,Environmental Impact Assessment,,"Lecture 24: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part – XII)",https://www.youtube.com/watch?v=Rd75otsU0ig,Module 6: EIA Process and Methods,12th,English/Hindi
9119,Environmental Science,Environmental Impact Assessment,,"Lecture 25: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-XIII)",https://www.youtube.com/watch?v=Qy3xdD2zQOE,Module 6: EIA Process and Methods,12th,English/Hindi
9120,Environmental Science,Environmental Impact Assessment,,Lecture 26: EIA Process - Starting and Initial Stage,https://www.youtube.com/watch?v=LEWdIbgM_wo,Module 6: EIA Process and Methods,12th,English/Hindi
9121,Environmental Science,Environmental Impact Assessment,,Lecture 27: EIA Process – Impact Prediction,https://www.youtube.com/watch?v=XwEscOBSTV8,Module 6: EIA Process and Methods,12th,English/Hindi
9122,Environmental Science,Environmental Impact Assessment,,"Lecture 28: EIA Process– Impact Evaluation, Mitigation and Enhancement",https://www.youtube.com/watch?v=VlyqdbH-GbQ,Module 6: EIA Process and Methods,12th,English/Hindi
9123,Environmental Science,Environmental Impact Assessment,,"Lecture 29: EIA Process – Participation, Presentation and Review",https://www.youtube.com/watch?v=kjxpjzlT5mY,Module 7: EIA Methods for Specific Areas,12th,English/Hindi
9124,Environmental Science,Environmental Impact Assessment,,Lecture 30: EIA Process – Follow-Up (Monitoring and Auditing),https://www.youtube.com/watch?v=qrXQICBYLgw,Module 7: EIA Methods for Specific Areas,12th,English/Hindi
9125,Environmental Science,Environmental Impact Assessment,,Lecture 31: EIA Methods - Air Assessment (Part I),https://www.youtube.com/watch?v=QlekFREMcEo,Module 7: EIA Methods for Specific Areas,12th,English/Hindi
9126,Environmental Science,Environmental Impact Assessment,,Lecture 32: EIA Methods - Air Assessment (Part II),https://www.youtube.com/watch?v=tTtSZ66u0U8,Module 7: EIA Methods for Specific Areas,12th,English/Hindi
9127,Environmental Science,Environmental Impact Assessment,,Lecture 33: EIA Methods - Water Assessment,https://www.youtube.com/watch?v=IESJafmMXFg,Module 7: EIA Methods for Specific Areas,12th,English/Hindi
9128,Environmental Science,Environmental Impact Assessment,,"Lecture 34: EIA - Methods: Soil, Land and Geology",https://www.youtube.com/watch?v=_VADt0EzGno,Module 7: EIA Methods for Specific Areas,12th,English/Hindi
9129,Environmental Science,Environmental Impact Assessment,,Lecture 35: EIA  Methods  – Climate and Climate Change - Part I,https://www.youtube.com/watch?v=GgPMIH5jVbY,Module 8: EIA Methods for Ecology and Ecosystems,12th,English/Hindi
9130,Environmental Science,Environmental Impact Assessment,,Lecture 36: EIA Methods - Climate and Climate Change - Part II,https://www.youtube.com/watch?v=YvwAoL0sUok,Module 8: EIA Methods for Ecology and Ecosystems,12th,English/Hindi
9131,Environmental Science,Environmental Impact Assessment,,Lecture 37: EIA Methods for Ecology (Definitions and Concepts),https://www.youtube.com/watch?v=JccYUuMn6hk,Module 8: EIA Methods for Ecology and Ecosystems,12th,English/Hindi
9132,Environmental Science,Environmental Impact Assessment,,Lecture 38: EIA Methods for Ecology (Baseline Study),https://www.youtube.com/watch?v=eNjEdyxgh6U,Module 8: EIA Methods for Ecology and Ecosystems,12th,English/Hindi
9133,Environmental Science,Environmental Impact Assessment,,Lecture 39: EIA Methods for Ecology (Impact Prediction and Evaluation),https://www.youtube.com/watch?v=ZJ8xTZKves4,Module 9: EIA Methods for Specialized Areas,12th,English/Hindi
9134,Environmental Science,Environmental Impact Assessment,,Lecture 40: EIA Methods - Ecosystem Services- Part I,https://www.youtube.com/watch?v=eHgkTS7TDVg,Module 9: EIA Methods for Specialized Areas,12th,English/Hindi
9135,Environmental Science,Environmental Impact Assessment,,Lecture 41: EIA Methods - Ecosystem Services - Part II,https://www.youtube.com/watch?v=gtmIC2UZFUY,Module 9: EIA Methods for Specialized Areas,12th,English/Hindi
9136,Environmental Science,Environmental Impact Assessment,,Lecture 42: EIA Methods - Coastal Ecology and Geomorphology - Part I,https://www.youtube.com/watch?v=3iaNadkT3TY,Module 9: EIA Methods for Specialized Areas,12th,English/Hindi
9137,Environmental Science,Environmental Impact Assessment,,Lecture 43: EIA Methods - Coastal Ecology and Geomorphology - Part II,https://www.youtube.com/watch?v=EZrGqYd2z6A,Module 9: EIA Methods for Specialized Areas,12th,English/Hindi
