Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
9728,Fashion Design,Fashion  Communication,9hrs 13min,Elements and Principles of Design,https://www.youtube.com/watch?v=0oaqIJGwCOI,Module 1: Introduction to Design Principles,1,12th,English/Hindi
9729,Fashion Design,Fashion  Communication,,Principles of Design,https://www.youtube.com/watch?v=ZDcd5PdrttQ,Module 1: Elements of Design,1,12th,English/Hindi
9730,Fashion Design,Fashion  Communication,,Fashion elements and principles Movie,https://www.youtube.com/watch?v=yel-H9eBIz0,Module 1: Line in Fashion Design,1,12th,English/Hindi
9731,Fashion Design,Fashion  Communication,,Elements and Principles of Design PowerPoint,https://www.youtube.com/watch?v=Wxq4Hnw0Ukw,Module 1: Material and Form,1,12th,English/Hindi
9732,Fashion Design,Fashion  Communication,,Apparel designing fundamentals   Principles of Design,https://www.youtube.com/watch?v=UM0zLZwr50M,Module 2: Principles of Design in Fashion,2,12th,English/Hindi
9733,Fashion Design,Fashion  Communication,,Elements of Design - Line Direction Jayne Gwyne M. Gonzales,https://www.youtube.com/watch?v=WgQM7ySG-f8,Module 2: Fashion Elements in Film,2,12th,English/Hindi
9734,Fashion Design,Fashion  Communication,,How lines are used in Fashion Design,https://www.youtube.com/watch?v=EMg08NXPQVQ,Module 2: Design Principles in Apparel,2,12th,English/Hindi
9735,Fashion Design,Fashion  Communication,,Design Elements | Material & Form,https://www.youtube.com/watch?v=wMtfWj8vt68,Module 3: Elements and Principles - PowerPoint,3,12th,English/Hindi
9736,Fashion Design,Fashion  Communication,,Elements & Principles of Design By Alicia Meyer,https://www.youtube.com/watch?v=YeeFPCkSMuc,Module 3: Design Elements by Alicia Meyer,3,12th,English/Hindi
9737,Fashion Design,Fashion  Communication,,"Introduction To Fashion Elements, Principles And Illustration…",https://www.youtube.com/watch?v=I9dicM_2pr8,Module 4: Fashion Illustration and its Elements,4,12th,English/Hindi
