Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
13906,Fine Arts,Art Conservation,6hrs 20min,The Mummification Process,https://www.youtube.com/watch?v=-MQ5dL9cQX0,Module 1: Ancient Art Conservation,1,12th,English/Hindi
13907,Fine Arts,Art Conservation,,Making a Spanish Polychrome Sculpture,https://www.youtube.com/watch?v=9Wb-T1F033Q,Module 1: Ancient Art Conservation,1,12th,English/Hindi
13908,Fine Arts,Art Conservation,,Construction of an 18th-century French Mechanical Table,https://www.youtube.com/watch?v=m5OxVgH-T1I,Module 1: Ancient Art Conservation,1,12th,English/Hindi
13909,Fine Arts,Art Conservation,,Unlocking an 18th-century French Mechanical Table,https://www.youtube.com/watch?v=EblnaLMjdNg,Module 1: Ancient Art Conservation,1,12th,English/Hindi
13910,Fine Arts,Art Conservation,,Conserving Old Master Drawings: A Balancing Act,https://www.youtube.com/watch?v=Qw6NOFJCI8Q,Module 2: Renaissance and Baroque Art Conservation,2,12th,English/Hindi
13911,Fine Arts,Art Conservation,,Conserving Bronze: The Lamp with Erotes from Vani,https://www.youtube.com/watch?v=WSLad3lN6Jc,Module 2: Renaissance and Baroque Art Conservation,2,12th,English/Hindi
13912,Fine Arts,Art Conservation,,A Renaissance Cabinet Rediscovered,https://www.youtube.com/watch?v=3c7kv8SkxTs,Module 2: Renaissance and Baroque Art Conservation,2,12th,English/Hindi
13913,Fine Arts,Art Conservation,,A Brief History of Photography: Innovations in Chemistry - Bytesize Science,https://www.youtube.com/watch?v=Mh42xZQL6-k,Module 3: 18th Century Art and Mechanics,3,12th,English/Hindi
13914,Fine Arts,Art Conservation,,Protecting Art in an Earthquake: Seismic Isolator Technology,https://www.youtube.com/watch?v=IFFxSBx-P0U,Module 3: 18th Century Art and Mechanics,3,12th,English/Hindi
13915,Fine Arts,Art Conservation,,Conservation of Mosaics in Roman North Africa,https://www.youtube.com/watch?v=JdqT5j6CFbE,Module 3: 18th Century Art and Mechanics,3,12th,English/Hindi
13916,Fine Arts,Art Conservation,,Paint Analysis of Jackson Pollock's Mural,https://www.youtube.com/watch?v=rTF_WrVSPPQ,Module 4: Conserving Drawings and Paintings,4,12th,English/Hindi
13917,Fine Arts,Art Conservation,,Statue of an Emperor: A Conservation Partnership,https://www.youtube.com/watch?v=xyhaEvNdwrQ,Module 4: Conserving Drawings and Paintings,4,12th,English/Hindi
13918,Fine Arts,Art Conservation,,Paint Application Studies of Jackson Pollock's Mural,https://www.youtube.com/watch?v=ECdR_W3Fk4Q,Module 4: Conserving Drawings and Paintings,4,12th,English/Hindi
13919,Fine Arts,Art Conservation,,Conservation of Paintings,https://www.youtube.com/watch?v=Goi6mjtB5oE,Module 5: Modern Art and Conservation Science,5,12th,English/Hindi
13920,Fine Arts,Art Conservation,,Conservation of Jackson Pollock's Mural,https://www.youtube.com/watch?v=C_mKAFpLY74,Module 5: Modern Art and Conservation Science,5,12th,English/Hindi
13921,Fine Arts,Art Conservation,,Conservation of Antiquities,https://www.youtube.com/watch?v=3gPINuYv1T8,Module 5: Modern Art and Conservation Science,5,12th,English/Hindi
13922,Fine Arts,Art Conservation,,Conservation of the Apollo Saettante,https://www.youtube.com/watch?v=E97Ez4lCBYc,Module 5: Modern Art and Conservation Science,5,12th,English/Hindi
13923,Fine Arts,Art Conservation,,Conservation of Sculpture & Decorative Arts,https://www.youtube.com/watch?v=HBJSxi9Pgo8,Module 6: Jackson Pollock's Mural: A Case Study,6,12th,English/Hindi
13924,Fine Arts,Art Conservation,,Conserving de Kooning: Theft and Recovery,https://www.youtube.com/watch?v=2p5h4Wyubio,Module 6: Jackson Pollock's Mural: A Case Study,6,12th,English/Hindi
13925,Fine Arts,Art Conservation,,Conservation of Works on Paper,https://www.youtube.com/watch?v=XskxuDSG7mA,Module 6: Jackson Pollock's Mural: A Case Study,6,12th,English/Hindi
13926,Fine Arts,Art Conservation,,"The Conservation and Technical Examination of Barbara Hepworth's ""Figure for Landscape"" (1960)",https://www.youtube.com/watch?v=6cabldrCw2g,Module 7: Sculpture and Material Studies,7,12th,English/Hindi
13927,Fine Arts,Art Conservation,,De Wain Valentine and Polyester Resin,https://www.youtube.com/watch?v=fXyDY6ah7k4,Module 7: Sculpture and Material Studies,7,12th,English/Hindi
13928,Fine Arts,Art Conservation,,Hands Making Hands,https://www.youtube.com/watch?v=gENgl03uPVI,Module 7: Sculpture and Material Studies,7,12th,English/Hindi
13929,Fine Arts,Art Conservation,,De Wain Valentine's Gray Column and the Getty Conservation Institute,https://www.youtube.com/watch?v=eVnwEIvwmCE,Module 8: De Wain Valentine and Resin,8,12th,English/Hindi
13930,Fine Arts,Art Conservation,,De Wain Valentine: Surface Matters,https://www.youtube.com/watch?v=w217s1c8EOg,Module 8: De Wain Valentine and Resin,8,12th,English/Hindi
13931,Fine Arts,Art Conservation,,Uncovering an Ancient Bronze Statuette from Albania,https://www.youtube.com/watch?v=uS8GVwfw55c,Module 8: De Wain Valentine and Resin,8,12th,English/Hindi
