Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
13256,Fine Arts,Sculpture Playlist,39hrs 22min,Art Lesson :  How to Sculpt A Triceratops in Polymer Clay,https://www.youtube.com/watch?v=PjF5bnU49Og,Module 1: Polymer Clay Dinosaurs,1,12th,English/Hindi
13257,Fine Arts,Sculpture Playlist,,How to Custom Sculpt a Mattel Sinoceratops Jurassic World,https://www.youtube.com/watch?v=4n81ByqlIvs,Module 1: Polymer Clay Dinosaurs,1,12th,English/Hindi
13258,Fine Arts,Sculpture Playlist,,3D Printing: 13 Things I Wish I Knew When I Got Started,https://www.youtube.com/watch?v=Sqh3FM12KVg,Module 2: Intro to 3D Printing,2,12th,English/Hindi
13259,Fine Arts,Sculpture Playlist,,The Ultimate Beginner's Guide to 3D Printing - Part 1,https://www.youtube.com/watch?v=3LBTkLsjHGQ,Module 2: Intro to 3D Printing,2,12th,English/Hindi
13260,Fine Arts,Sculpture Playlist,,How 3-D-Printed Prosthetic Hands Are Changing These Kids’ Lives | Short Film Showcase,https://www.youtube.com/watch?v=Cl8ijPGEKO8,Module 2: Intro to 3D Printing,2,12th,English/Hindi
13261,Fine Arts,Sculpture Playlist,,Mattel Spinosaurus Repaint,https://www.youtube.com/watch?v=dfalmXEYyMI,Module 3: Painting Jurassic World Dinosaurs,3,12th,English/Hindi
13262,Fine Arts,Sculpture Playlist,,Sinoceratops Repaint,https://www.youtube.com/watch?v=FqRy0UjZf0w,Module 3: Painting Jurassic World Dinosaurs,3,12th,English/Hindi
13263,Fine Arts,Sculpture Playlist,,Jurassic World Alpha Sinoceratops Custom & Repaint Deutsch/German,https://www.youtube.com/watch?v=ospw_zH81oc,Module 3: Painting Jurassic World Dinosaurs,3,12th,English/Hindi
13264,Fine Arts,Sculpture Playlist,,Camp Cretaceous Para Repaint,https://www.youtube.com/watch?v=yHn1wh7YXkM,Module 3: Painting Jurassic World Dinosaurs,3,12th,English/Hindi
13265,Fine Arts,Sculpture Playlist,,Mattel Ankylosaurus Repaint,https://www.youtube.com/watch?v=bwIyvo0Qfys,Module 3: Painting Jurassic World Dinosaurs,3,12th,English/Hindi
13266,Fine Arts,Sculpture Playlist,,🦖 Amber Collection Repaint - Alpha Male Raptor JP/// - Jurassic Repaints,https://www.youtube.com/watch?v=P18GlP2vNKM,Module 4: Dinosaur Dioramas & Sculptures,4,12th,English/Hindi
13267,Fine Arts,Sculpture Playlist,,"""Jurassic World: Fallen Kingdom"" Colossal T-Rex Makeover- Chris' Custom Collectables!",https://www.youtube.com/watch?v=NQeSCDOSAxY,Module 4: Dinosaur Dioramas & Sculptures,4,12th,English/Hindi
13268,Fine Arts,Sculpture Playlist,,Carving a Bear out of Epoxy Resin and Wood,https://www.youtube.com/watch?v=vDrrUfpYSiw,Module 4: Dinosaur Dioramas & Sculptures,4,12th,English/Hindi
13269,Fine Arts,Sculpture Playlist,,CUSTOM MATTEL E750 SCORPIUS REX MAX LEVEL 40 GLOW IN THE DARK | OB TOYS JURASSIC WORLD TOY DINOSAUR,https://www.youtube.com/watch?v=n3BxAZxQkt4,Module 5: Sculpting with Wood,5,12th,English/Hindi
13270,Fine Arts,Sculpture Playlist,,I carved 500 wood pieces into a whale,https://www.youtube.com/watch?v=1H0csMbKaaI,Module 5: Sculpting with Wood,5,12th,English/Hindi
13271,Fine Arts,Sculpture Playlist,,How to Make Action Figure Joints,https://www.youtube.com/watch?v=IS68pM9jmUY,Module 6: Action Figure Joints,6,12th,English/Hindi
13272,Fine Arts,Sculpture Playlist,,3D Printing Action Figures: Understanding The Swivel Hinge Joint,https://www.youtube.com/watch?v=fY7pwHtGQTE,Module 6: Action Figure Joints,6,12th,English/Hindi
13273,Fine Arts,Sculpture Playlist,,Mold and cast an action figure ( or anything ) // How-To | I Like To Make Stuff,https://www.youtube.com/watch?v=jZSMWmevFBo,Module 6: Action Figure Joints,6,12th,English/Hindi
