Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
10112,Graphic Design,Basic Principles of Design (Course),3hrs 10min,Design Principles Course Trailer | Adobe Design Principles Course,https://www.youtube.com/watch?v=4Fb3czArLNw,Module 1: Introduction to Design Principles,1,12th,English/Hindi
10113,Graphic Design,Basic Principles of Design (Course),,Why Design is Important for Educators | Adobe Design Course,https://www.youtube.com/watch?v=-dtOutW0XGA,Module 1: Introduction to Design Principles,1,12th,English/Hindi
10114,Graphic Design,Basic Principles of Design (Course),,Learn From the Experts | Adobe Design Course,https://www.youtube.com/watch?v=lknpztA7csI,Module 1: Introduction to Design Principles,1,12th,English/Hindi
10115,Graphic Design,Basic Principles of Design (Course),,Understanding Emphasis & Contrast | Adobe Design Principles Course,https://www.youtube.com/watch?v=aGVgEk6N-jo,Module 1: Introduction to Design Principles,1,12th,English/Hindi
10116,Graphic Design,Basic Principles of Design (Course),,Emphasis & Contrast in Action | Adobe Design Principles Course,https://www.youtube.com/watch?v=KjAARYTTxHk,Module 2: Emphasis and Contrast,2,12th,English/Hindi
10117,Graphic Design,Basic Principles of Design (Course),,Understanding Color | Adobe Design Principles Course,https://www.youtube.com/watch?v=KTAMvYwGmyw,Module 2: Emphasis and Contrast,2,12th,English/Hindi
10118,Graphic Design,Basic Principles of Design (Course),,Color in Action | Adobe Design Principles Course,https://www.youtube.com/watch?v=fCzqOvD8Gdo,Module 2: Emphasis and Contrast,2,12th,English/Hindi
10119,Graphic Design,Basic Principles of Design (Course),,Understanding Visual Balance | Adobe Design Principles Course,https://www.youtube.com/watch?v=o1T-Zlvag-g,Module 3: Color Theory and Application,3,12th,English/Hindi
10120,Graphic Design,Basic Principles of Design (Course),,Visual Balance in Action | Adobe Design Principles Course,https://www.youtube.com/watch?v=-Ah-Hv60z-s,Module 3: Color Theory and Application,3,12th,English/Hindi
10121,Graphic Design,Basic Principles of Design (Course),,Understanding Proportion | Adobe Design Principles Course,https://www.youtube.com/watch?v=d2WzbF32r5Q,Module 3: Color Theory and Application,3,12th,English/Hindi
10122,Graphic Design,Basic Principles of Design (Course),,The Principles of Proportion in Action | Adobe Design Principles Course,https://www.youtube.com/watch?v=j9FspICoiro,Module 4: Balance and Proportion,4,12th,English/Hindi
10123,Graphic Design,Basic Principles of Design (Course),,Understanding the Rule of Thirds | Adobe Design Principles Course,https://www.youtube.com/watch?v=7v3wt__ZHWQ,Module 4: Balance and Proportion,4,12th,English/Hindi
10124,Graphic Design,Basic Principles of Design (Course),,The Rule of Thirds in Action | Adobe Design Principles Course,https://www.youtube.com/watch?v=vBAhNsfinxU,Module 4: Balance and Proportion,4,12th,English/Hindi
10125,Graphic Design,Basic Principles of Design (Course),,Understanding Alignment & Proximity | Adobe Design Principles Course,https://www.youtube.com/watch?v=s80-_fOD078,Module 5: Rule of Thirds and Composition,5,12th,English/Hindi
10126,Graphic Design,Basic Principles of Design (Course),,Visual Alignment in Action | Adobe Design Principles Course,https://www.youtube.com/watch?v=A5WzeVC085o,Module 5: Rule of Thirds and Composition,5,12th,English/Hindi
10127,Graphic Design,Basic Principles of Design (Course),,Understanding Repetition | Adobe Design Principles Course,https://www.youtube.com/watch?v=tdNUl4CQjj4,Module 5: Rule of Thirds and Composition,5,12th,English/Hindi
10128,Graphic Design,Basic Principles of Design (Course),,The Principles of Repetition in Action | Adobe Design Principles Course,https://www.youtube.com/watch?v=5fS9FwUvonE,"Module 6: Alignment, Proximity, Repetition",6,12th,English/Hindi
10129,Graphic Design,Basic Principles of Design (Course),,Understanding Consistency | Adobe Design Principles Course,https://www.youtube.com/watch?v=TODh7sRG3V0,"Module 6: Alignment, Proximity, Repetition",6,12th,English/Hindi
10130,Graphic Design,Basic Principles of Design (Course),,Visual Consistency in Action | Adobe Design Principles Course,https://www.youtube.com/watch?v=EFIp4_VpEGw,"Module 6: Alignment, Proximity, Repetition",6,12th,English/Hindi
10131,Graphic Design,Basic Principles of Design (Course),,Design a Poster in Your Class | Adobe Design Principles Course,https://www.youtube.com/watch?v=VSO247xquoM,Module 7: Consistency and Design Application,7,12th,English/Hindi
10132,Graphic Design,Basic Principles of Design (Course),,Photoshop Design Project in Your Class | Adobe Design Principles Course,https://www.youtube.com/watch?v=N4yWl1EIwlw,Module 7: Consistency and Design Application,7,12th,English/Hindi
10133,Graphic Design,Basic Principles of Design (Course),,Visualizing Idioms Project in Your Class | Adobe Design Principles Course,https://www.youtube.com/watch?v=q4b93ryojeo,Module 7: Consistency and Design Application,7,12th,English/Hindi
10134,Graphic Design,Basic Principles of Design (Course),,Public Service Announcement Class Project | Adobe Design Principles Course,https://www.youtube.com/watch?v=5TAQrmVAeAg,Module 8: Design Projects and Inspiration,8,12th,English/Hindi
10135,Graphic Design,Basic Principles of Design (Course),,Jazz Animation Class Project | Adobe Design Principles Course,https://www.youtube.com/watch?v=l67iHA1SuKk,Module 8: Design Projects and Inspiration,8,12th,English/Hindi
10136,Graphic Design,Basic Principles of Design (Course),,Book Design Class Project | Adobe Design Principles Course,https://www.youtube.com/watch?v=SJguo8zroek,Module 8: Design Projects and Inspiration,8,12th,English/Hindi
10137,Graphic Design,Basic Principles of Design (Course),,Social Impact Class Video Project | Adobe Design Principles Course,https://www.youtube.com/watch?v=_9tilaPmuP0,Module 8: Design Projects and Inspiration,8,12th,English/Hindi
10138,Graphic Design,Basic Principles of Design (Course),,Creating Zoetropes in Your Class with After Effects | Adobe Design Principles Course,https://www.youtube.com/watch?v=chOEZq7E79w,Module 8: Design Projects and Inspiration,8,12th,English/Hindi
