Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
11011,Graphic Design,Interaction Design in Digital Games Course,39hrs 9min,Lecture 1: History to Interaction Design in Games,https://www.youtube.com/watch?v=NueA_uIh7cU,Module 1: Introduction to Interaction Design in Games,1,12th,English/Hindi
11012,Graphic Design,Interaction Design in Digital Games Course,,Lecture 2: Interaction Design Basics,https://www.youtube.com/watch?v=asSEpdSmdoA,Module 1: Interaction Design Fundamentals,1,12th,English/Hindi
11013,Graphic Design,Interaction Design in Digital Games Course,,Lecture 3: Retention and Onboarding,https://www.youtube.com/watch?v=XGPUcIr4jfk,Module 1: Player Engagement and Experience,1,12th,English/Hindi
11014,Graphic Design,Interaction Design in Digital Games Course,,Lecture 4: Feedback Design,https://www.youtube.com/watch?v=aS1lvsE9utc,Module 1: Core Design Principles,1,12th,English/Hindi
11015,Graphic Design,Interaction Design in Digital Games Course,,Lecture 5: Control Design,https://www.youtube.com/watch?v=DhNcJ0Q32uA,Module 2: Narrative and Worldbuilding,2,12th,English/Hindi
11016,Graphic Design,Interaction Design in Digital Games Course,,Lecture 6: Narrative Design,https://www.youtube.com/watch?v=SXtpRITwjao,Module 2: Immersive Technologies,2,12th,English/Hindi
11017,Graphic Design,Interaction Design in Digital Games Course,,Lecture 7: Virtual Reality,https://www.youtube.com/watch?v=CMVWKgpE7bY,Module 2: Game Development and AI,2,12th,English/Hindi
11018,Graphic Design,Interaction Design in Digital Games Course,,Lecture 8: Streaming,https://www.youtube.com/watch?v=3MpWq8ozvVs,Module 3: The Game Development Pipeline,3,12th,English/Hindi
11019,Graphic Design,Interaction Design in Digital Games Course,,Lecture 9: Artificial Intelligence in Games,https://www.youtube.com/watch?v=U4gwPU4cbCI,Module 3: Quality Assurance and Testing,3,12th,English/Hindi
11020,Graphic Design,Interaction Design in Digital Games Course,,Lecture 10: The Game Dev Process,https://www.youtube.com/watch?v=bJ98KQukce8,Module 3: Future Trends in Interaction Design,3,12th,English/Hindi
11021,Graphic Design,Interaction Design in Digital Games Course,,Lecture 11: Game Testing,https://www.youtube.com/watch?v=CDXPXifv5Ac,Module 3: Careers and Portfolio Development,3,12th,English/Hindi
11022,Graphic Design,Interaction Design in Digital Games Course,,Lecture 12: What Comes Next in Game Interaction Design?,https://www.youtube.com/watch?v=Pm0JxtsggWM,Module 3: Conclusion and Beyond,3,12th,English/Hindi
