Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
6914,Information Technology,Web Technology,25hrs 20min,Internet history  | Web Technology | Lec-1 | Bhanu Priya,https://www.youtube.com/watch?v=Oh93xiKv-Jg,Module 1: Internet History & Web Technology Basics,1,12th,English/Hindi
6915,Information Technology,Web Technology,,Internet services | basic | Web Technology | Lec-2 | Bhanu Priya,https://www.youtube.com/watch?v=72z8C9WM8x0,Module 1: Internet Services and Fundamentals,1,12th,English/Hindi
6916,Information Technology,Web Technology,,World Wide Web(WWW) | Web Technology | Lec-3 | Bhanu Priya,https://www.youtube.com/watch?v=yoJPysX1xzU,Module 1: Introduction to World Wide Web (WWW),1,12th,English/Hindi
6917,Information Technology,Web Technology,,HTML tutorial | Introduction  | Web Technology | Lec-4 | Bhanu Priya,https://www.youtube.com/watch?v=4bg2AUp6Y8w,Module 1: HTML Tutorial: Introduction,1,12th,English/Hindi
6918,Information Technology,Web Technology,,HTML tags | Part-1/3 | Web Technology | Lec-5 | Bhanu Priya,https://www.youtube.com/watch?v=GMun4-g5Y6E,Module 2: HTML Tags: Part 1/3,2,12th,English/Hindi
6919,Information Technology,Web Technology,,HTML tags | Part-2/3 | Web Technology | Lec-6 | Bhanu Priya,https://www.youtube.com/watch?v=rTYhLG7PgCM,Module 2: HTML Tags: Part 2/3,2,12th,English/Hindi
6920,Information Technology,Web Technology,,HTML tags | Part-3/3 | Web Technology | Lec-7 | Bhanu Priya,https://www.youtube.com/watch?v=iO2X3D9jFfM,Module 2: HTML Tags: Part 3/3,2,12th,English/Hindi
6921,Information Technology,Web Technology,,HTML tables | Web Technology | Lec-8 | Bhanu Priya,https://www.youtube.com/watch?v=A3NIKULhZls,Module 2: HTML Tables,2,12th,English/Hindi
6922,Information Technology,Web Technology,,Anchor &  Image tags | Web Technology | Lec-9 | Bhanu Priya,https://www.youtube.com/watch?v=cJ7CM8rvqgU,Module 3: Anchor & Image Tags in HTML,3,12th,English/Hindi
6923,Information Technology,Web Technology,,frames in html | Web Technology | Lec-10 | Bhanu Priya,https://www.youtube.com/watch?v=A1XlIDDXgwg,Module 3: Frames in HTML,3,12th,English/Hindi
6924,Information Technology,Web Technology,,form tags in html | Web Technology | Lec-11 | Bhanu Priya,https://www.youtube.com/watch?v=4zj9OAHxb5E,Module 3: Form Tags in HTML,3,12th,English/Hindi
6925,Information Technology,Web Technology,,form tag attributes in html | Web Technology | Lec-12 | Bhanu Priya,https://www.youtube.com/watch?v=LfYIwJN2n-I,Module 3: Form Tag Attributes in HTML,3,12th,English/Hindi
6926,Information Technology,Web Technology,,CSS Introduction | Web Technology | Lec-13 | Bhanu Priya,https://www.youtube.com/watch?v=kk_pfNxU1AM,Module 4: CSS Introduction,4,12th,English/Hindi
6927,Information Technology,Web Technology,,Internal style sheet in html | Web Technology | Lec-14 | Bhanu Priya,https://www.youtube.com/watch?v=G15RysPpvu8,Module 4: Internal Style Sheet in HTML,4,12th,English/Hindi
6928,Information Technology,Web Technology,,external css in html | Web Technology | Lec-15 | Bhanu Priya,https://www.youtube.com/watch?v=smhfn8xoqW8,Module 4: External CSS in HTML,4,12th,English/Hindi
6929,Information Technology,Web Technology,,external css in html example | Web Technology | Lec-16 | Bhanu Priya,https://www.youtube.com/watch?v=VEZ7CT6w4FY,Module 4: External CSS Example,4,12th,English/Hindi
6930,Information Technology,Web Technology,,Inline style sheet html | Imported | Web Technology | Lec-17 | Bhanu Priya,https://www.youtube.com/watch?v=tXdf6MPGPpk,Module 5: Inline Style Sheet in HTML (Imported),5,12th,English/Hindi
6931,Information Technology,Web Technology,,CSS box model | Web Technology | Lec-18 | Bhanu Priya,https://www.youtube.com/watch?v=70zTtCEaCG8,Module 5: CSS Box Model,5,12th,English/Hindi
6932,Information Technology,Web Technology,,CSS lists | Web Technology | Lec-19 | Bhanu Priya,https://www.youtube.com/watch?v=kJaJNjNzjqc,Module 5: CSS Lists,5,12th,English/Hindi
6933,Information Technology,Web Technology,,DHTML | Web Technology | Lec-20 | Bhanu Priya,https://www.youtube.com/watch?v=a-_SKo17FKA,Module 5: DHTML (Dynamic HTML),5,12th,English/Hindi
6934,Information Technology,Web Technology,,Extensible Markup Language (XML) | Web Technology | Lec-21 | Bhanu Priya,https://www.youtube.com/watch?v=pCmPduLzD0k,Module 6: Extensible Markup Language (XML),6,12th,English/Hindi
6935,Information Technology,Web Technology,,XML Declaration & Documentation | Web Technology | Lec-22 | Bhanu Priya,https://www.youtube.com/watch?v=iLC12EinND0,Module 6: XML Declaration and Documentation,6,12th,English/Hindi
6936,Information Technology,Web Technology,,Wireless Markup Language (WML) | Web Technology | Lec-23 | Bhanu Priya,https://www.youtube.com/watch?v=sN1usZH00C4,Module 6: Wireless Markup Language (WML),6,12th,English/Hindi
6937,Information Technology,Web Technology,,Javascript | Introduction | Web Technology | Lec-24 | Bhanu Priya,https://www.youtube.com/watch?v=J2q0x70YDPk,Module 7: JavaScript Introduction,7,12th,English/Hindi
6938,Information Technology,Web Technology,,JavaScript syntax | Web Technology | Lec-25 | Bhanu Priya,https://www.youtube.com/watch?v=YGOhbWBcOPE,Module 7: JavaScript Syntax,7,12th,English/Hindi
6939,Information Technology,Web Technology,,how to implement javascript | Web Technology | Lec-26 | Bhanu Priya,https://www.youtube.com/watch?v=Ia09ZN2-_e8,Module 7: Implementing JavaScript,7,12th,English/Hindi
6940,Information Technology,Web Technology,,Variables and Scope | Javascript | Web Technology | Lec-27 | Bhanu Priya,https://www.youtube.com/watch?v=DwWtu7VLTwg,Module 7: Variables and Scope in JavaScript,7,12th,English/Hindi
6941,Information Technology,Web Technology,,Javascript functions | Web Technology | Lec-28 | Bhanu Priya,https://www.youtube.com/watch?v=rmvnFH_obhE,Module 8: JavaScript Functions,8,12th,English/Hindi
6942,Information Technology,Web Technology,,Javascript Arrays | Part-1/2 | Web Technology | Lec-29 | Bhanu Priya,https://www.youtube.com/watch?v=nyhRPNOE1X8,Module 8: JavaScript Arrays: Part 1/2,8,12th,English/Hindi
6943,Information Technology,Web Technology,,Javascript arrays | Methods | Part-2/2 | Web Technology | Lec-30 | Bhanu Priya,https://www.youtube.com/watch?v=XMY5j-ZE238,Module 8: JavaScript Arrays: Methods (Part 2/2),8,12th,English/Hindi
6944,Information Technology,Web Technology,,Javascript Objects | Math | Part-1/2 | Web Technology | Lec-31 | Bhanu Priya,https://www.youtube.com/watch?v=1YEJS1mMMhA,Module 9: JavaScript Objects: Math (Part 1/2),9,12th,English/Hindi
6945,Information Technology,Web Technology,,Javascript Objects | Data | Part-2/2 | Web Technology | Lec-32 | Bhanu Priya,https://www.youtube.com/watch?v=JMHRlvrAa1A,Module 9: JavaScript Objects: Data (Part 2/2),9,12th,English/Hindi
6946,Information Technology,Web Technology,,Javascript Functions | Builtin & User defined | Web Technology | Lec-33 | Bhanu Priya,https://www.youtube.com/watch?v=LBKNGrPNZSE,Module 9: JavaScript Functions: Built-in & User-Defined,9,12th,English/Hindi
6947,Information Technology,Web Technology,,Javascript event handling  | Web Technology | Lec-34 | Bhanu Priya,https://www.youtube.com/watch?v=2vKBqzl6zAU,Module 9: JavaScript Event Handling,9,12th,English/Hindi
6948,Information Technology,Web Technology,,servlets tutorial | Web Technology | Lec-35 | Bhanu Priya,https://www.youtube.com/watch?v=UoG9kH5BoBY,Module 10: Servlets Tutorial,10,12th,English/Hindi
6949,Information Technology,Web Technology,,Servlet architecture  | Web Technology | Lec-36 | Bhanu Priya,https://www.youtube.com/watch?v=Dt9zvPeRPjU,Module 10: Servlet Architecture,10,12th,English/Hindi
