Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
2640,Law,Law and Medicine. Handwritten Notes,30hrs 6min,Law and Medicine. Handwritten notes. Part 1 || right to health ||,https://www.youtube.com/watch?v=OrrK0n5xmqU,Module 1: Introduction to Law and Medicine,1,12th,English/Hindi
2641,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. Handwritten notes. Part 2 || public health & negligent conduct ||,https://www.youtube.com/watch?v=Z9UAgcKRykA,Module 1: Introduction to Law and Medicine,1,12th,English/Hindi
2642,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. Handwritten notes. Part 3 || medical consent ||,https://www.youtube.com/watch?v=jPVWk7v_zN4,Module 1: Introduction to Law and Medicine,1,12th,English/Hindi
2643,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. Handwritten notes. Part 4 || Helsinki Principle ||,https://www.youtube.com/watch?v=jy3VYPjoSo8,Module 1: Introduction to Law and Medicine,1,12th,English/Hindi
2644,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. Handwritten notes. Part 5 || varieties of medical profession ||,https://www.youtube.com/watch?v=8x7sCnWiYyQ,Module 2: Consent and Medical Negligence,2,12th,English/Hindi
2645,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. Handwritten notes. Part 6 || privelegedcommunication ||,https://www.youtube.com/watch?v=QjaoZiT4Nsk,Module 2: Consent and Medical Negligence,2,12th,English/Hindi
2646,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. Handwritten notes. Part 7 || doctorpatientcontract || dutiesofpateint ||,https://www.youtube.com/watch?v=HtgaalAdbOI,Module 2: Consent and Medical Negligence,2,12th,English/Hindi
2647,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. Handwritten notes. Part 8 || medical confidentiality || law and medicine ||,https://www.youtube.com/watch?v=POfCoHY_JFE,Module 3: Doctor-Patient Relationship & Confidentiality,3,12th,English/Hindi
2648,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. Handwritten notes. Part 9. || medical negligence || llb notes ||,https://www.youtube.com/watch?v=oq-35PXxCHo,Module 3: Doctor-Patient Relationship & Confidentiality,3,12th,English/Hindi
2649,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. Handwritten notes. Part 10. doctorpatientrelationship || informedconsent ||,https://www.youtube.com/watch?v=D57RXaAPgQs,Module 3: Doctor-Patient Relationship & Confidentiality,3,12th,English/Hindi
2650,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. || Handwritten notes.|| Part 11. Important Questions - 1||,https://www.youtube.com/watch?v=ySQy5xrsiig,Module 4: Important Legal Questions,4,12th,English/Hindi
2651,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. || Handwritten notes.|| Part 12. Important Questions - 2||,https://www.youtube.com/watch?v=ylwwBW_ClSA,Module 4: Important Legal Questions,4,12th,English/Hindi
2652,Law,Law and Medicine. Handwritten Notes,,Law and Medicine. || Handwritten notes.|| Part 13. Important Questions - 3||,https://www.youtube.com/watch?v=oMwGBf7nOvo,Module 4: Important Legal Questions,4,12th,English/Hindi
