Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
12109,Library Science,Academic Libraries and Youtube,5hrs 21min,2009 ACRL National Conference,https://www.youtube.com/watch?v=ayIOqedBk7I,Module 1: Youtube and Libraries,1,12th,English/Hindi
12110,Library Science,Academic Libraries and Youtube,,Did You Know 2.0,https://www.youtube.com/watch?v=pMcfrLYDm2U,Module 1: Youtube and Libraries,1,12th,English/Hindi
12111,Library Science,Academic Libraries and Youtube,,Nylink BBL: Free Tools for Libraries,https://www.youtube.com/watch?v=NUvA_0wil6Y,Module 1: Youtube and Libraries,1,12th,English/Hindi
12112,Library Science,Academic Libraries and Youtube,,Stephen Abrams' talk at Web 2.You - Part 1 of 7,https://www.youtube.com/watch?v=5TsfNyUQSto,Module 2: Library 2.0,2,12th,English/Hindi
12113,Library Science,Academic Libraries and Youtube,,Birmingham Public Library Social Software,https://www.youtube.com/watch?v=a3ylfi43N8g,Module 2: Library 2.0,2,12th,English/Hindi
12114,Library Science,Academic Libraries and Youtube,,A Librarian's 2.0 Manifesto,https://www.youtube.com/watch?v=ZblrRs3fkSU,Module 2: Library 2.0,2,12th,English/Hindi
12115,Library Science,Academic Libraries and Youtube,,ANGRY LIBRARIAN,https://www.youtube.com/watch?v=7XvAakX__cQ,Module 3: Social Software & Libraries,3,12th,English/Hindi
12116,Library Science,Academic Libraries and Youtube,,Archive Madness,https://www.youtube.com/watch?v=SiEmhN-Fe08,Module 3: Social Software & Libraries,3,12th,English/Hindi
12117,Library Science,Academic Libraries and Youtube,,Archives of Dissent,https://www.youtube.com/watch?v=TvRu_6qkAmA,Module 4: Archiving the Web,4,12th,English/Hindi
12118,Library Science,Academic Libraries and Youtube,,Voices from the Lodz Ghetto,https://www.youtube.com/watch?v=gWoNckPxBPo,Module 4: Archiving the Web,4,12th,English/Hindi
12119,Library Science,Academic Libraries and Youtube,,Building Academic Library 2.0,https://www.youtube.com/watch?v=q_uOKFhoznI,Module 5: Digital Literacy & Libraries,5,12th,English/Hindi
12120,Library Science,Academic Libraries and Youtube,,Children's Literature by the McLoughlin Brothers (Part 1),https://www.youtube.com/watch?v=rkEVaM_UL2E,Module 5: Digital Literacy & Libraries,5,12th,English/Hindi
12121,Library Science,Academic Libraries and Youtube,,"Home Economics Story, part 1",https://www.youtube.com/watch?v=0X8Is4UbBpE,Module 6: Library History on Youtube,6,12th,English/Hindi
12122,Library Science,Academic Libraries and Youtube,,Web 2.0 ... The Machine is Us/ing Us,https://www.youtube.com/watch?v=6gmP4nk0EOE,Module 6: Library History on Youtube,6,12th,English/Hindi
12123,Library Science,Academic Libraries and Youtube,,Information R/evolution,https://www.youtube.com/watch?v=-4CV05HyAbM,Module 7: Library Outreach and Advocacy,7,12th,English/Hindi
12124,Library Science,Academic Libraries and Youtube,,A Portal to Media Literacy,https://www.youtube.com/watch?v=J4yApagnr0s,Module 7: Library Outreach and Advocacy,7,12th,English/Hindi
12125,Library Science,Academic Libraries and Youtube,,Tour The Library,https://www.youtube.com/watch?v=JHljR4LYmOA,Module 8: Copyright and Fair Use,8,12th,English/Hindi
12126,Library Science,Academic Libraries and Youtube,,The Brave and Bold Dime Novels with Arwen Main,https://www.youtube.com/watch?v=_qdZtG72-iE,Module 8: Copyright and Fair Use,8,12th,English/Hindi
12127,Library Science,Academic Libraries and Youtube,,The L-Team,https://www.youtube.com/watch?v=YwCUtpbUWgk,Module 9: Digital Collections,9,12th,English/Hindi
12128,Library Science,Academic Libraries and Youtube,,Building Academic Library 2.0,https://www.youtube.com/watch?v=q_uOKFhoznI,Module 9: Digital Collections,9,12th,English/Hindi
12129,Library Science,Academic Libraries and Youtube,,OVERDUE - The librarian doo-wap number,https://www.youtube.com/watch?v=DYZEn8j1AMk,Module 10: Libraries and Technology,10,12th,English/Hindi
12130,Library Science,Academic Libraries and Youtube,,The Dewey Decimal Rap,https://www.youtube.com/watch?v=NHiUQb5xg7A,Module 10: Libraries and Technology,10,12th,English/Hindi
