Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
5807,Linguistics,Discourse Analysis / Critical Discourse Analysis,0hrs 1856min,"CDA -- Critical Discourse Analysis -- Saussurean & Derridean Linguistics, Origin, History, Formalism",https://www.youtube.com/watch?v=FNwUAtLbEBo,Module 1: Introduction to Discourse Analysis,1,12th,English/Hindi
5808,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Van Dijk's Socio-Cognitive Model/Approach to CDA, Cognitive & Semantic Models & Representations",https://www.youtube.com/watch?v=zRf3AuRvFEM,Module 1: Introduction to Discourse Analysis,1,12th,English/Hindi
5809,Linguistics,Discourse Analysis / Critical Discourse Analysis,,What is Discourse Analysis? -- Introduction & Definitions,https://www.youtube.com/watch?v=BVrxiHSIxrg,Module 1: Introduction to Discourse Analysis,1,12th,English/Hindi
5810,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Explaining Critical Discourse Analysis, Newspapers/Media",https://www.youtube.com/watch?v=BYqj8QXZS1M,Module 1: Introduction to Discourse Analysis,1,12th,English/Hindi
5811,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Principles of Critical Discourse Analysis -- Power, Ideology, Muslims, Fairclough's 3 D Model",https://www.youtube.com/watch?v=Wnn4erXTdR8,Module 2: Critical Discourse Analysis,2,12th,English/Hindi
5812,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Fairclough's Dialectical-Relational Approach to Critical Discourse Analysis, Reasoning, 3D Model CDA",https://www.youtube.com/watch?v=Hdp9rsbeJNg,Module 2: Critical Discourse Analysis,2,12th,English/Hindi
5813,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Discourse and Identity -- Identity in Spoken & Written Discourse, Online Identity",https://www.youtube.com/watch?v=pCHQsyjYU1Y,Module 2: Critical Discourse Analysis,2,12th,English/Hindi
5814,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Discourse, Ideology in Media/Newspapers -- Print Media, Discourse, TV Commercials, Dramas, Films",https://www.youtube.com/watch?v=wxMy9rVMBxk,Module 2: Critical Discourse Analysis,2,12th,English/Hindi
5815,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Discourse, Ideology, Newspaper part 2 -- Framing, Fairclough's 3D Model of Analysis",https://www.youtube.com/watch?v=SxtBmg3DB9s,Module 3: Discourse and Identity,3,12th,English/Hindi
5816,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Differentiating Spoken & Written Discourse -- Nominalization, Lexical Density, Grammatical Intricacy",https://www.youtube.com/watch?v=vIzckPdA0CE,Module 3: Discourse and Identity,3,12th,English/Hindi
5817,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Conversation Analysis in Discourse Analysis -- Structure, Opening, Closing, Feedback & Repair",https://www.youtube.com/watch?v=0TxraPIsxoM,Module 3: Discourse and Identity,3,12th,English/Hindi
5818,Linguistics,Discourse Analysis / Critical Discourse Analysis,,Introduction to Critical Discourse Analysis -- Principles of Power Relations & Social Construction,https://www.youtube.com/watch?v=9QUSwz8zlss,Module 4: Approaches to Discourse Analysis,4,12th,English/Hindi
5819,Linguistics,Discourse Analysis / Critical Discourse Analysis,,Discourse Historical Approach (DHA) to Critical Discourse Analysis (CDA) -- Ruth Wodak's DH Approach,https://www.youtube.com/watch?v=FV1LqcnUqPA,Module 4: Approaches to Discourse Analysis,4,12th,English/Hindi
5820,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Discourse & Context/ Kinds of Context -- Language & Context, Linguistic, Social, Cultural, Cognitive",https://www.youtube.com/watch?v=HpTsJk4WreU,Module 4: Approaches to Discourse Analysis,4,12th,English/Hindi
5821,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Multimodal Discourse Analysis -- Kress & Leeuwen's Modal of CDA -- Images, Films, Posters & Text",https://www.youtube.com/watch?v=cDavzCz6fCc,Module 5: Discourse and Power,5,12th,English/Hindi
5822,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Introduction to Foucault -- Concepts of Power, Knowledge, Truth, Institution, Body, Panopticon",https://www.youtube.com/watch?v=87MaHK7AOzA,Module 5: Discourse and Power,5,12th,English/Hindi
5823,Linguistics,Discourse Analysis / Critical Discourse Analysis,,Difference b/w Text & Discourse. Features Or Characteristics of Discourse,https://www.youtube.com/watch?v=v_84zQm_Qnw,Module 5: Discourse and Power,5,12th,English/Hindi
5824,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Discourse Grammar -- Unity of Structure & Texture, Reference, Substitution & Ellipsis",https://www.youtube.com/watch?v=jMKFCXANerQ,Module 6: Analyzing Discourse,6,12th,English/Hindi
5825,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Lexical Cohesion in Discourse Analysis -- Synonyms, Antonyms, Collocations, Lexical Bundles",https://www.youtube.com/watch?v=aryR4LD4SnQ,Module 6: Analyzing Discourse,6,12th,English/Hindi
5826,Linguistics,Discourse Analysis / Critical Discourse Analysis,,Theme & Rheme in Discourse Analysis,https://www.youtube.com/watch?v=WKRjho363No,Module 6: Analyzing Discourse,6,12th,English/Hindi
5827,Linguistics,Discourse Analysis / Critical Discourse Analysis,,"Thematic Progression in Discourse Analysis -- Constant, Zigzag, Split",https://www.youtube.com/watch?v=2RwWqQJKL1E,Module 6: Analyzing Discourse,6,12th,English/Hindi
5828,Linguistics,Discourse Analysis / Critical Discourse Analysis,,Implicature in Pragmatics/Discourse -- Conversational and Particularized,https://www.youtube.com/watch?v=FJr9EfJmlYs,Module 6: Analyzing Discourse,6,12th,English/Hindi
5829,Linguistics,Discourse Analysis / Critical Discourse Analysis,,Genre Studies / Analysis -- An Introduction,https://www.youtube.com/watch?v=faUqCXVujl4,Module 6: Analyzing Discourse,6,12th,English/Hindi
