Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
5581,Linguistics,Semantics in Linguistics,0hrs 749min,Semantics: Entailment,https://www.youtube.com/watch?v=hzgFSvgfUIY,Module 1: Introduction to Semantics,1,12th,English/Hindi
5582,Linguistics,Semantics in Linguistics,,Pragmatics: Implicature,https://www.youtube.com/watch?v=FwkpqcpRqSk,Module 1: Introduction to Semantics,1,12th,English/Hindi
5583,Linguistics,Semantics in Linguistics,,Pragmatics: Presupposition,https://www.youtube.com/watch?v=eY-0DhoUceY,Module 1: Introduction to Semantics,1,12th,English/Hindi
5584,Linguistics,Semantics in Linguistics,,Semantics: Set Theory,https://www.youtube.com/watch?v=8Fcsnk_-jzk,Module 1: Introduction to Semantics,1,12th,English/Hindi
5585,Linguistics,Semantics in Linguistics,,Semantics: Relations and Functions,https://www.youtube.com/watch?v=qxRIcuHWX4U,Module 2: Formal Semantics: Foundations,2,12th,English/Hindi
5586,Linguistics,Semantics in Linguistics,,Semantics: Propositional Logic,https://www.youtube.com/watch?v=IUCrnyI5BIY,Module 2: Formal Semantics: Foundations,2,12th,English/Hindi
5587,Linguistics,Semantics in Linguistics,,Semantics: Truth-Conditional Meaning In Model Theory F1,https://www.youtube.com/watch?v=7r9FoZZ01Fg,Module 2: Formal Semantics: Foundations,2,12th,English/Hindi
5588,Linguistics,Semantics in Linguistics,,Semantics: Predicate Logic,https://www.youtube.com/watch?v=X8natBCRgAg,Module 2: Formal Semantics: Foundations,2,12th,English/Hindi
5589,Linguistics,Semantics in Linguistics,,Semantics: Scope Ambiguity,https://www.youtube.com/watch?v=Go2_0n0oAMA,Module 3: Model Theory and Truth Conditions,3,12th,English/Hindi
5590,Linguistics,Semantics in Linguistics,,Semantics: Quantifiers In Model Theory: Truth-conditional Meaning F2,https://www.youtube.com/watch?v=RBWCI06qbkw,Module 3: Model Theory and Truth Conditions,3,12th,English/Hindi
5591,Linguistics,Semantics in Linguistics,,Pronoun Semantics In Model Theory: Truth-conditional Meaning Of Fragment F2,https://www.youtube.com/watch?v=-7gPyf_ZMRU,Module 3: Model Theory and Truth Conditions,3,12th,English/Hindi
5592,Linguistics,Semantics in Linguistics,,Semantics: Lambda Calculus and Types,https://www.youtube.com/watch?v=0pYjX13QsKY,Module 4: Lambda Calculus and Compositionality,4,12th,English/Hindi
5593,Linguistics,Semantics in Linguistics,,Semantics: Declarative Sentences with Lambda Calculus,https://www.youtube.com/watch?v=83mmRqk0uL8,Module 4: Lambda Calculus and Compositionality,4,12th,English/Hindi
5594,Linguistics,Semantics in Linguistics,,Semantics: The Copula with Lambda Calculus,https://www.youtube.com/watch?v=yuukFr3ejWc,Module 4: Lambda Calculus and Compositionality,4,12th,English/Hindi
5595,Linguistics,Semantics in Linguistics,,Semantics: Negation with Lambda Calculus,https://www.youtube.com/watch?v=bdNuKWc_DDY,Module 4: Lambda Calculus and Compositionality,4,12th,English/Hindi
5596,Linguistics,Semantics in Linguistics,,Semantics: Reflexive Pronouns with Lambda Calculus,https://www.youtube.com/watch?v=gxeVPqOfSmc,Module 4: Lambda Calculus and Compositionality,4,12th,English/Hindi
5597,Linguistics,Semantics in Linguistics,,Semantics: Conjunctions with Lambda Calculus,https://www.youtube.com/watch?v=_Prm3aW2QZ4,Module 5: Advanced Lambda Calculus Applications,5,12th,English/Hindi
5598,Linguistics,Semantics in Linguistics,,Semantics: Quantificational Pronouns with Lambda Calculus,https://www.youtube.com/watch?v=r8d_t9618s0,Module 5: Advanced Lambda Calculus Applications,5,12th,English/Hindi
5599,Linguistics,Semantics in Linguistics,,Semantics: Quantificational Determiners with Lambda Calculus,https://www.youtube.com/watch?v=Liz4t09s7XQ,Module 5: Advanced Lambda Calculus Applications,5,12th,English/Hindi
5600,Linguistics,Semantics in Linguistics,,Semantics: Intersective Adjectives with Type Shifting,https://www.youtube.com/watch?v=Xj6YU1ESPlM,Module 5: Advanced Lambda Calculus Applications,5,12th,English/Hindi
5601,Linguistics,Semantics in Linguistics,,Semantics: Predicate Modification with Lambda Calculus,https://www.youtube.com/watch?v=OIqJUec3TXA,Module 5: Advanced Lambda Calculus Applications,5,12th,English/Hindi
5602,Linguistics,Semantics in Linguistics,,Semantics: Relative Clauses with Lambda Calculus,https://www.youtube.com/watch?v=g3NpiJ3S1Pw,Module 5: Advanced Lambda Calculus Applications,5,12th,English/Hindi
5603,Linguistics,Semantics in Linguistics,,Senantics. Quantifier Raising with Lambda Calculus,https://www.youtube.com/watch?v=-ZM0pNW8OuM,Module 5: Advanced Lambda Calculus Applications,5,12th,English/Hindi
