Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
2208,Mechanical Engineering,CAD/CAM Tutorials (Theory),51hrs 7min,Introduction of CAD/CAM | CAD/CAM Tutorials | Chapter 01,https://www.youtube.com/watch?v=vO1lc75jtiM,Module 1: Introduction & Product Lifecycle,1,12th,English/Hindi
2209,Mechanical Engineering,CAD/CAM Tutorials (Theory),,PRODUCT LIFECYCLE | CAD/CAM Tutorials | Chapter 02,https://www.youtube.com/watch?v=U0QbBY4JPvw,Module 1: Introduction & Product Lifecycle,1,12th,English/Hindi
2210,Mechanical Engineering,CAD/CAM Tutorials (Theory),,WIREFRAME MODELLING | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 01,https://www.youtube.com/watch?v=sF7SNDd5aX0,Module 2: Geometric Modelling,2,12th,English/Hindi
2211,Mechanical Engineering,CAD/CAM Tutorials (Theory),,SURFACE MODELLING | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 02,https://www.youtube.com/watch?v=ONj8HDP4PYw,Module 2: Geometric Modelling,2,12th,English/Hindi
2212,Mechanical Engineering,CAD/CAM Tutorials (Theory),,SOLID MODELLING (Section-A) | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 03,https://www.youtube.com/watch?v=ldqvKzc3NRU,Module 2: Geometric Modelling,2,12th,English/Hindi
2213,Mechanical Engineering,CAD/CAM Tutorials (Theory),,SOLID MODELLING (Section-B) | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 03,https://www.youtube.com/watch?v=t-KRZJqJD-o,Module 2: Geometric Modelling,2,12th,English/Hindi
2214,Mechanical Engineering,CAD/CAM Tutorials (Theory),,SOLID MODELLING (Section-C) | Geometric Modelling | CAD/CAM Tutorials | Chapter 03 Part 03,https://www.youtube.com/watch?v=RSJARgxthf0,Module 2: Geometric Modelling,2,12th,English/Hindi
2215,Mechanical Engineering,CAD/CAM Tutorials (Theory),,2D TRANSFORMATIONS (Introduction) | TRANSFORMATIONS | CAD/CAM Tutorials | Chapter 04 Part 01,https://www.youtube.com/watch?v=gNBPW_9D23w,Module 2: Geometric Modelling,2,12th,English/Hindi
2216,Mechanical Engineering,CAD/CAM Tutorials (Theory),,2D TRANSFORMATIONS (Problems Solving) | TRANSFORMATIONS | CAD/CAM Tutorials | Chapter 04 Part 02,https://www.youtube.com/watch?v=7mbRn2AXw9g,Module 3: Transformations,3,12th,English/Hindi
2217,Mechanical Engineering,CAD/CAM Tutorials (Theory),,HOMOGENEOUS TRANSFORMATIONS | TRANSFORMATIONS | CAD/CAM Tutorials | Chapter 04 Part 03,https://www.youtube.com/watch?v=kDoi1OBOeyo,Module 3: Transformations,3,12th,English/Hindi
