Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
3737,Medicine,Dermatology,24hrs 20min,Overview of Psoriasis | What Causes It? What Makes It Worse? | Subtypes and Treatment,https://www.youtube.com/watch?v=lIzO4ku68fc,Module 1: Introduction to Common Skin Conditions,1,12th,English/Hindi
3738,Medicine,Dermatology,,Overview of Skin Warts (Verrucae) | What Causes Them? Who Gets Them? | Subtypes and Treatment,https://www.youtube.com/watch?v=qBbujl8k33Q,"Module 1: Psoriasis: Causes, Types & Treatment",1,12th,English/Hindi
3739,Medicine,Dermatology,,"Introduction to Impetigo | Infection, Subtypes and Treatment",https://www.youtube.com/watch?v=sfOemMpokdA,Module 1: Skin Warts and Impetigo,1,12th,English/Hindi
3740,Medicine,Dermatology,,Vesiculobullous Skin Diseases | Pemphigus Vulgaris vs. Bullous Pemphigoid,https://www.youtube.com/watch?v=4sP2t3KqCoQ,Module 1: Vesiculobullous Diseases & Fungal Infections,1,12th,English/Hindi
3741,Medicine,Dermatology,,Overview of Fungal Skin Infections | Tinea Infections,https://www.youtube.com/watch?v=qAjfOuTIWCI,Module 2: Common Viral Skin Infections,2,12th,English/Hindi
3742,Medicine,Dermatology,,"Introduction to Pityriasis Rosea | Possible Causes, Symptoms and Treatment",https://www.youtube.com/watch?v=XnmcawRFYjs,Module 2: Cold Sores and Albinism,2,12th,English/Hindi
3743,Medicine,Dermatology,,"Cold Sores | Oral Herpes | Causes, Signs & Symptoms, Treatment",https://www.youtube.com/watch?v=hFcGzBdsnvc,Module 2: Eczema and Shingles,2,12th,English/Hindi
3744,Medicine,Dermatology,,"Albinism | Genetics, Different Types, and What You Need to Know",https://www.youtube.com/watch?v=YatHpLAiYl0,"Module 2: Cellulitis, Erysipelas, and Acne",2,12th,English/Hindi
3745,Medicine,Dermatology,,"Eczema (Atopic Dermatitis) | Atopic Triad, Triggers, Who gets it, Why does it happen, & Treatment",https://www.youtube.com/watch?v=nQfGPoUcgvU,Module 3: Parasitic and Fungal Skin Infections,3,12th,English/Hindi
3746,Medicine,Dermatology,,"Shingles (Herpes Zoster): Pathophysiology, Risk Factors, Phases of Infection, Symptoms, Treatment",https://www.youtube.com/watch?v=F7077se_T_k,Module 3: Scabies and Tinea Versicolor,3,12th,English/Hindi
3747,Medicine,Dermatology,,"Cellulitis vs Erysipelas | Bacterial Causes, Risk Factors, Signs and Symptoms, Treatment",https://www.youtube.com/watch?v=szUf9ka9qHA,Module 3: Molluscum Contagiosum and Chickenpox,3,12th,English/Hindi
3748,Medicine,Dermatology,,"Acne Vulgaris | Causes, Pathogenesis, Influencing Factors, Diagnosis, Treatment and Complications",https://www.youtube.com/watch?v=JPz1v_TrC0o,Module 3: Folliculitis and Ringworm,3,12th,English/Hindi
3749,Medicine,Dermatology,,"Scabies (Skin Condition) | What Is It, Classic vs. Crusted Types, Signs & Symptoms, Treatment",https://www.youtube.com/watch?v=5Kul_ft72GE,Module 4: Fungal Infections: Types and Treatments,4,12th,English/Hindi
3750,Medicine,Dermatology,,"“Fungal Skin Infection of Many Colors” (Tinea Versicolor) | Pathogenesis, Symptoms and Treatment",https://www.youtube.com/watch?v=rWPiNMTCDRY,Module 4: Jock Itch and Athlete's Foot,4,12th,English/Hindi
3751,Medicine,Dermatology,,"Molluscum Contagiosum (“Papules with Belly Buttons”): Risk factors, Symptoms, Diagnosis,  Treatment",https://www.youtube.com/watch?v=F-dmnqj193E,Module 4: Tinea Capitis and Hidradenitis Suppurativa,4,12th,English/Hindi
3752,Medicine,Dermatology,,"Chickenpox | Varicella Zoster Virus | Pathogenesis, Signs and Symptoms, Diagnosis, and Treatment",https://www.youtube.com/watch?v=AdWRofoc1JM,Module 4: Ichthyosis Vulgaris,4,12th,English/Hindi
3753,Medicine,Dermatology,,"Folliculitis | Causes (Bacterial, Fungal, Viral), Risk Factors, Symptoms, Diagnosis, Treatment",https://www.youtube.com/watch?v=5zH6KoQ__bI,Module 5: Understanding Skin Lesions,5,12th,English/Hindi
3754,Medicine,Dermatology,,"Ringworm (Tinea Corporis) | Causes, Risk Factors, Signs & Symptoms, Diagnosis and Treatment",https://www.youtube.com/watch?v=GpG22UKhMNw,Module 5: Introduction to Dermatology & Skin Morphology,5,12th,English/Hindi
3755,Medicine,Dermatology,,"Jock Itch (Tinea Cruris) | Causes, Risk Factors, Signs & Symptoms, Diagnosis and Treatment",https://www.youtube.com/watch?v=Q6XGUa8BYVQ,Module 5: Seborrheic Keratosis and Lichen Planus,5,12th,English/Hindi
3756,Medicine,Dermatology,,"Athlete’s Foot (Tinea Pedis)| Causes, Risk Factors, Signs & Symptoms, Diagnosis and Treatment",https://www.youtube.com/watch?v=9Nzt8cc66LU,Module 5: Vitiligo and Seborrheic Dermatitis,5,12th,English/Hindi
3757,Medicine,Dermatology,,"Fungal Infection of the Scalp (Tinea Capitis) | Causes, Risk Factors, Symptoms, Diagnosis, Treatment",https://www.youtube.com/watch?v=Yu_QE2JqJxk,Module 6: Common Skin Conditions: Rosacea and Skin Tags,6,12th,English/Hindi
3758,Medicine,Dermatology,,"Hidradenitis Suppurativa (HS) | Pathophysiology, Triggers, Signs & Symptoms, Diagnosis, Treatment",https://www.youtube.com/watch?v=QRc8sEd46lg,"Module 6: Rosacea: Causes, Triggers, Symptoms & Diagnosis",6,12th,English/Hindi
3759,Medicine,Dermatology,,"Ichthyosis Vulgaris | Causes, Signs & Symptoms, Diagnosis, Treatment",https://www.youtube.com/watch?v=q3BqAmpKx3s,Module 6: Skin Tags and Brittle Nail Syndrome,6,12th,English/Hindi
3760,Medicine,Dermatology,,Introduction to Dermatology | The Basics | Describing Skin Lesions (Primary & Secondary Morphology),https://www.youtube.com/watch?v=Ijae4iURrDI,Module 6: Onychogryphosis and Ingrown Toenail,6,12th,English/Hindi
