Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
13256,Nonprofit Management,Fundraising Ideas and Strategies,32hrs 16min,Fundraiser ideas: How teens raised $200K at their fundraising event,https://www.youtube.com/watch?v=SdiU9YW6Nok,Module 1: Introduction to Nonprofit Fundraising,1,12th,English/Hindi
13257,Nonprofit Management,Fundraising Ideas and Strategies,,Grant Writing for Nonprofits: Top 5 Questions and Answers,https://www.youtube.com/watch?v=ljnsym3emxw,Module 1: Introduction to Nonprofit Fundraising,1,12th,English/Hindi
13258,Nonprofit Management,Fundraising Ideas and Strategies,,How to Raise a Lot of Money (based on Psychology!),https://www.youtube.com/watch?v=cE3ruuT6IPk,Module 1: Introduction to Nonprofit Fundraising,1,12th,English/Hindi
13259,Nonprofit Management,Fundraising Ideas and Strategies,,6 Nonprofit Organization pandemic survival tips,https://www.youtube.com/watch?v=ktirQgMtJYA,Module 1: Introduction to Nonprofit Fundraising,1,12th,English/Hindi
13260,Nonprofit Management,Fundraising Ideas and Strategies,,Best ONLINE Fundraising Ideas for Nonprofits,https://www.youtube.com/watch?v=QggcoOQmXVU,Module 2: Basic Fundraising Strategies,2,12th,English/Hindi
13261,Nonprofit Management,Fundraising Ideas and Strategies,,9 MYTHS about Starting a Nonprofit Organization,https://www.youtube.com/watch?v=h-1_VlS5ciM,Module 2: Basic Fundraising Strategies,2,12th,English/Hindi
13262,Nonprofit Management,Fundraising Ideas and Strategies,,Nonprofit Fundraising Basics: Q & A with a Pro - LAPA Fundraising,https://www.youtube.com/watch?v=m-MFDszVHtA,Module 2: Basic Fundraising Strategies,2,12th,English/Hindi
13263,Nonprofit Management,Fundraising Ideas and Strategies,,Fundraising for Nonprofits: How To Start Raising Money (Step by Step),https://www.youtube.com/watch?v=9z3X4hZfGDs,Module 2: Basic Fundraising Strategies,2,12th,English/Hindi
13264,Nonprofit Management,Fundraising Ideas and Strategies,,Nonprofit Fundraising Ideas: How to get Corporate Sponsorships,https://www.youtube.com/watch?v=BIvCC7I7aWY,Module 3: Grant Writing Fundamentals,3,12th,English/Hindi
13265,Nonprofit Management,Fundraising Ideas and Strategies,,10 Fundraising Ideas to START UP a Nonprofit,https://www.youtube.com/watch?v=oljOdvyv1Z8,Module 3: Grant Writing Fundamentals,3,12th,English/Hindi
13266,Nonprofit Management,Fundraising Ideas and Strategies,,6 Types of Grants for Nonprofits (and how to find them),https://www.youtube.com/watch?v=smIfTdId-4c,Module 3: Grant Writing Fundamentals,3,12th,English/Hindi
13267,Nonprofit Management,Fundraising Ideas and Strategies,,Avoid These 5 Nonprofit Fundraising Mistakes,https://www.youtube.com/watch?v=kQMR9qqipjU,Module 4: Online Fundraising Techniques,4,12th,English/Hindi
13268,Nonprofit Management,Fundraising Ideas and Strategies,,Getting Grants for Nonprofits: How to increase your chances,https://www.youtube.com/watch?v=c2a6mOt4bts,Module 4: Online Fundraising Techniques,4,12th,English/Hindi
13269,Nonprofit Management,Fundraising Ideas and Strategies,,Starting a Nonprofit: 9 Questions Funders Will Ask You,https://www.youtube.com/watch?v=I2qmvJ9pWCI,Module 4: Online Fundraising Techniques,4,12th,English/Hindi
13270,Nonprofit Management,Fundraising Ideas and Strategies,,Nonprofit Fundraising Ideas: 15 Earned Income Strategies,https://www.youtube.com/watch?v=93ftoz5K47o,Module 4: Online Fundraising Techniques,4,12th,English/Hindi
13271,Nonprofit Management,Fundraising Ideas and Strategies,,Nonprofit Fundraising Ideas: How to Get Cryptocurrency Donations,https://www.youtube.com/watch?v=6NxUYrcqO68,Module 5: Event Fundraising,5,12th,English/Hindi
13272,Nonprofit Management,Fundraising Ideas and Strategies,,Best Socially-Distanced Fundraising Ideas for Nonprofits,https://www.youtube.com/watch?v=AcDC533shrc,Module 5: Event Fundraising,5,12th,English/Hindi
