Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
13346,Nonprofit Management,Nonprofit Financial Management Webinars,95hrs 18min,How to build nonprofit financial health and balance money with mission,https://www.youtube.com/watch?v=YL4VDjnr2IM,Module 1: Building a Strong Financial Foundation,1,12th,English/Hindi
13347,Nonprofit Management,Nonprofit Financial Management Webinars,,"How to assess your nonprofit's financial position, set priorities, communicate needs, and plan ahead",https://www.youtube.com/watch?v=mWuhBawu25E,Module 1: Building a Strong Financial Foundation,1,12th,English/Hindi
13348,Nonprofit Management,Nonprofit Financial Management Webinars,,"Understanding your nonprofit's income statements, profit/loss statements, revenue, and expenses",https://www.youtube.com/watch?v=2dtw8MsRTVo,Module 1: Building a Strong Financial Foundation,1,12th,English/Hindi
13349,Nonprofit Management,Nonprofit Financial Management Webinars,,"The balance sheet: How assets, liabilities, and net assets influence nonprofit budgeting goals",https://www.youtube.com/watch?v=pKp5n5ollA4,Module 1: Building a Strong Financial Foundation,1,12th,English/Hindi
13350,Nonprofit Management,Nonprofit Financial Management Webinars,,How to create a cash flow projection to manage cash flow for optimal nonprofit financial health,https://www.youtube.com/watch?v=CnV5ujDCBsw,Module 2: Strategic Financial Planning and Forecasting,2,12th,English/Hindi
13351,Nonprofit Management,Nonprofit Financial Management Webinars,,How to craft a compelling financial story for your nonprofit organization,https://www.youtube.com/watch?v=ztUfdnfQvsA,Module 2: Strategic Financial Planning and Forecasting,2,12th,English/Hindi
13352,Nonprofit Management,Nonprofit Financial Management Webinars,,How to create a strategic budget and scenario plan for your nonprofit's financial future,https://www.youtube.com/watch?v=JBhC9Epqw9M,Module 2: Strategic Financial Planning and Forecasting,2,12th,English/Hindi
13353,Nonprofit Management,Nonprofit Financial Management Webinars,,How to use money and mission to maximize your nonprofit’s impact,https://www.youtube.com/watch?v=0GpjqCKjONg,Module 3: Maximizing Impact and Sustainability,3,12th,English/Hindi
13354,Nonprofit Management,Nonprofit Financial Management Webinars,,How to manage risks and opportunities to build long-term financial sustainability and adaptability,https://www.youtube.com/watch?v=7zGKFTVot0g,Module 3: Maximizing Impact and Sustainability,3,12th,English/Hindi
13355,Nonprofit Management,Nonprofit Financial Management Webinars,,Understanding and communicating the full costs of running a nonprofit organization,https://www.youtube.com/watch?v=25f3oKrkrrI,Module 3: Maximizing Impact and Sustainability,3,12th,English/Hindi
13356,Nonprofit Management,Nonprofit Financial Management Webinars,,When to partner and collaborate with other nonprofit organizations,https://www.youtube.com/watch?v=y6pEdWM8F7Y,Module 4: Financial Leadership and Collaboration,4,12th,English/Hindi
13357,Nonprofit Management,Nonprofit Financial Management Webinars,,Financial leadership strategies for nonprofit boards,https://www.youtube.com/watch?v=zRLH1N80VO4,Module 4: Financial Leadership and Collaboration,4,12th,English/Hindi
