Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
4571,Nursing,nursing management,7hrs 10min,Staff development Programme/Nursing Management/Important Questions and answers/Nclex in hindi,https://www.youtube.com/watch?v=ec4KcjbOhmM,Module 1: Introduction to Nursing Management,1,12th,English/Hindi
4572,Nursing,nursing management,,Nursing Management- 1/Important Questions and Answers/Nclex in Hindi,https://www.youtube.com/watch?v=gryysP4vQPk,Module 1: Introduction to Nursing Management,1,12th,English/Hindi
4573,Nursing,nursing management,,Nursing Theories/ Important questions and Answers /Nclex  in hindi,https://www.youtube.com/watch?v=rGQSJONLj8Y,Module 1: Introduction to Nursing Management,1,12th,English/Hindi
4574,Nursing,nursing management,,OREM SELF CARE NURSING THEORY/NURSING NOTES/NCLEX IN HINDI,https://www.youtube.com/watch?v=i7ETashVTNs,Module 1: Introduction to Nursing Management,1,12th,English/Hindi
4575,Nursing,nursing management,,INSERVICE EDUCATION/NURSING NOTES#@AnitaSharmaGyan NCLEX IN HINDI#norcet#nursing management,https://www.youtube.com/watch?v=RhZ9aqaycF8,Module 2: Fundamentals of Administration,2,12th,English/Hindi
4576,Nursing,nursing management,,STAFF DEVELOPMENT PROGRAMME/NURSING NOTES/NCLEX IN HINDI,https://www.youtube.com/watch?v=Fkv-oqKfSNg,Module 2: Fundamentals of Administration,2,12th,English/Hindi
4577,Nursing,nursing management,,"Definition,nature and philosophy of administration",https://www.youtube.com/watch?v=vHfApC4RpWo,Module 2: Fundamentals of Administration,2,12th,English/Hindi
4578,Nursing,nursing management,,FUNCTIONS /COMPONENTS/ELEMENTS OF ADMINISTRATION/NURSING NOTES/NCLEX IN HINDI,https://www.youtube.com/watch?v=yvRp2g085k4,Module 3: Nursing Audit and Quality Assurance,3,12th,English/Hindi
4579,Nursing,nursing management,,DIFFERENCE between ADMINISTRATION and MANAGEMENT,https://www.youtube.com/watch?v=A0rOYC38okY,Module 3: Nursing Audit and Quality Assurance,3,12th,English/Hindi
4580,Nursing,nursing management,,Nursing Audit/Nursing Management/Nursing Notes/Nclex in Hindi,https://www.youtube.com/watch?v=rDnr5-XOhrA,Module 3: Nursing Audit and Quality Assurance,3,12th,English/Hindi
4581,Nursing,nursing management,,INVENTORY CONTROL#STOCK CONTROL#NURSING MANAGEMENT#@AnitaSharmaGyan NCLEX IN HINDI#NURSING NOTES,https://www.youtube.com/watch?v=YAUSEmSu0hk,Module 4: Budgeting and Financial Planning,4,12th,English/Hindi
4582,Nursing,nursing management,,QUALITY ASSURANCE#NURSING MANAGEMENT#@AnitaSharmaGyan NCLEX IN HINDI,https://www.youtube.com/watch?v=ktu2FUJC1B8,Module 4: Budgeting and Financial Planning,4,12th,English/Hindi
4583,Nursing,nursing management,,BUDGETING# FISCAL PLANNING#NURSING MANAGEMENT//@AnitaSharmaGyan NCLEX IN HINDI#nursing #budget,https://www.youtube.com/watch?v=jqZtSkJ4ryk,Module 4: Budgeting and Financial Planning,4,12th,English/Hindi
4584,Nursing,nursing management,,NURSING STANDARD#NURSING MANAGEMENT//@AnitaSharmaGyan NCLEX IN HINDI,https://www.youtube.com/watch?v=ufJvvcQNKks,Module 5: Nursing Standards and Telemedicine,5,12th,English/Hindi
4585,Nursing,nursing management,,TELEMEDICINE/NURSING NOTES/NCLEX IN HINDI,https://www.youtube.com/watch?v=9z7zznNO-nU,Module 5: Nursing Standards and Telemedicine,5,12th,English/Hindi
4586,Nursing,nursing management,,PRINCIPLE OF ADMINISTRATION/MANAGEMENT/NURSING ADMINISTRATION/NCLEX IN HINDI,https://www.youtube.com/watch?v=XbAQ1TpvkYo,Module 6: Principles and Theories of Management,6,12th,English/Hindi
4587,Nursing,nursing management,,ZERO BASED BUDGETING/NURSING NOTES/NCLEX IN HINDI,https://www.youtube.com/watch?v=Kcix4Sm6c68,Module 6: Principles and Theories of Management,6,12th,English/Hindi
