Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
5343,Pharmacy,Pharmacokinetics,40hrs 14min,"Pharmacokinetics for Students: Absorption, Distribution, Metabolism, and Elimination -Lect 1",https://www.youtube.com/watch?v=CMRZqdrkCZw,Module 1: Introduction to Pharmacokinetics,1,12th,English/Hindi
5344,Pharmacy,Pharmacokinetics,,Absorption of Drugs - Pharmacokinetics - Pharmacology Lect 2,https://www.youtube.com/watch?v=eya9jR3v7i8,Module 1: Absorption of Drugs,1,12th,English/Hindi
5345,Pharmacy,Pharmacokinetics,,Drug Bioavailability Overview - Pharmacology Lect 3,https://www.youtube.com/watch?v=rv2Rpdi7OHM,Module 1: Drug Bioavailability,1,12th,English/Hindi
5346,Pharmacy,Pharmacokinetics,,Distribution - Pharmacokinetics  - Pharmacology Lect 4,https://www.youtube.com/watch?v=DH2WGUd7MBs,Module 1: Distribution of Drugs,1,12th,English/Hindi
5347,Pharmacy,Pharmacokinetics,,Volume of Distribution - Pharmacology Lect 5,https://www.youtube.com/watch?v=B63sqUfvFQQ,Module 2: Volume of Distribution and Metabolism,2,12th,English/Hindi
5348,Pharmacy,Pharmacokinetics,,First Pass Metabolism - Pharmacology Lect 6,https://www.youtube.com/watch?v=5AB8WkCbz4k,Module 2: First Pass Metabolism,2,12th,English/Hindi
5349,Pharmacy,Pharmacokinetics,,Phase I Metabolism - Pharmacology Lect 7,https://www.youtube.com/watch?v=GGLddVpVg9M,Module 2: Phase I Metabolism,2,12th,English/Hindi
5350,Pharmacy,Pharmacokinetics,,Phase II Metabolism - Pharmacology Lect 8,https://www.youtube.com/watch?v=iIWAUo05GFE,Module 2: Phase II Metabolism,2,12th,English/Hindi
5351,Pharmacy,Pharmacokinetics,,First Order & Zero Order Elimination - Pharm Lect 9,https://www.youtube.com/watch?v=XEotDfKhNTw,Module 3: Elimination Kinetics,3,12th,English/Hindi
5352,Pharmacy,Pharmacokinetics,,Drug Half-life | An Overview - Pharm Lect 10,https://www.youtube.com/watch?v=eTqPsqnbwoc,Module 3: First Order & Zero Order Elimination,3,12th,English/Hindi
5353,Pharmacy,Pharmacokinetics,,First Order Elimination Rate Constant and Half-life | A closer look - Lect 11,https://www.youtube.com/watch?v=De9999Jj-5Q,Module 3: Drug Half-life,3,12th,English/Hindi
5354,Pharmacy,Pharmacokinetics,,Clearance and Rate of Elimination - Pharmacokinetics - Pharmacology Lect 12,https://www.youtube.com/watch?v=csywV3MYHDg,Module 3: First Order Elimination Rate Constant and Half-life,3,12th,English/Hindi
5355,Pharmacy,Pharmacokinetics,,Renal Excretion of Drugs | Pharmacokinetics Lect 13,https://www.youtube.com/watch?v=8c3gqI6R-Vw,Module 4: Clearance and Excretion,4,12th,English/Hindi
5356,Pharmacy,Pharmacokinetics,,Steady state concentration and dosage regimens - Lect 15  - Pharmacology,https://www.youtube.com/watch?v=3V6ktRZE7jg,Module 4: Clearance and Rate of Elimination,4,12th,English/Hindi
5357,Pharmacy,Pharmacokinetics,,Enzyme Induction - Pharmacokinetics Lect 16,https://www.youtube.com/watch?v=Dtbkc8F_ff0,Module 4: Renal Excretion of Drugs,4,12th,English/Hindi
5358,Pharmacy,Pharmacokinetics,,Competitive Inhibition Overview - Pharmacokinetics  Lect 17,https://www.youtube.com/watch?v=iNIxMuHuL3w,Module 5: Steady State and Drug Interactions,5,12th,English/Hindi
5359,Pharmacy,Pharmacokinetics,,Competitive Inhibition & Statins - Pharmacokinetics Lect 18,https://www.youtube.com/watch?v=Lt1-mjMFniE,Module 5: Steady state concentration and dosage regimens,5,12th,English/Hindi
5360,Pharmacy,Pharmacokinetics,,The Asian Flush Part 2 -,https://www.youtube.com/watch?v=PzKA9H_Sm_8,Module 5: Enzyme Induction,5,12th,English/Hindi
5361,Pharmacy,Pharmacokinetics,,Pharmacogenomics | Asian Flush Part 1 - pharm lecture 20,https://www.youtube.com/watch?v=3vZxbX5P9TU,Module 5: Competitive Inhibition Overview,5,12th,English/Hindi
5362,Pharmacy,Pharmacokinetics,,Acetaminophen or Tylenol Toxicity - Lect 19 - Pharmacology,https://www.youtube.com/watch?v=F9i8lLRty3o,Module 5: Competitive Inhibition & Statins,5,12th,English/Hindi
