Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
5385,Pharmacy,Principles of Drug Discovery,41hrs 5min,Important Terminologies used in Drug Discovery - M.Pharm-Pharmacology-Series-1.,https://www.youtube.com/watch?v=8G1RtFLyoSU,Module 1: Introduction to Drug Discovery,1,12th,English/Hindi
5386,Pharmacy,Principles of Drug Discovery,,Target Identification in Drug Discovery - M.Pharm-Pharmacology-Series-2,https://www.youtube.com/watch?v=jkmE9QIb0MQ,Module 1: Introduction to Drug Discovery,1,12th,English/Hindi
5387,Pharmacy,Principles of Drug Discovery,,Target Validation - Series3,https://www.youtube.com/watch?v=5_HZKSanwJ8,Module 1: Introduction to Drug Discovery,1,12th,English/Hindi
5388,Pharmacy,Principles of Drug Discovery,,Lead identification Series4,https://www.youtube.com/watch?v=Ijl-KIGaC9I,Module 1: Introduction to Drug Discovery,1,12th,English/Hindi
5389,Pharmacy,Principles of Drug Discovery,,Lead Optimization - Series 5,https://www.youtube.com/watch?v=QqrPdvILXL8,Module 2: Target Identification and Validation,2,12th,English/Hindi
5390,Pharmacy,Principles of Drug Discovery,,Economics of drug discovery - Series 6,https://www.youtube.com/watch?v=b5hB0pT0fbc,Module 2: Target Identification and Validation,2,12th,English/Hindi
5391,Pharmacy,Principles of Drug Discovery,,Role of Genomics in Target discovery and validation - Series 7,https://www.youtube.com/watch?v=ssh-sJODmpk,Module 2: Target Identification and Validation,2,12th,English/Hindi
5392,Pharmacy,Principles of Drug Discovery,,Role of Proteomics in Target discovery and validation - Series 8,https://www.youtube.com/watch?v=X4gehyDoSeY,Module 2: Target Identification and Validation,2,12th,English/Hindi
5393,Pharmacy,Principles of Drug Discovery,,Bioinformatics in Target Identification and Validation in Drug Discovery,https://www.youtube.com/watch?v=rKWXLAvSn7k,Module 3: Target Identification and Validation,3,12th,English/Hindi
5394,Pharmacy,Principles of Drug Discovery,,Role of DNA and Protein Microarray in Target discovery and validation - Series 10,https://www.youtube.com/watch?v=9_xRVFsmFGg,Module 3: Target Identification and Validation,3,12th,English/Hindi
5395,Pharmacy,Principles of Drug Discovery,,Role of Antisense Oligonucleotides in Target discovery and validation - Series 11,https://www.youtube.com/watch?v=QozmHbGweps,Module 3: Target Identification and Validation,3,12th,English/Hindi
5396,Pharmacy,Principles of Drug Discovery,,Role of siRNA in Target discovery and validation - Series 12,https://www.youtube.com/watch?v=eZTcKNLeOpk,Module 4: Target Identification and Validation,4,12th,English/Hindi
5397,Pharmacy,Principles of Drug Discovery,,Role of Zinc finger proteins in Target discovery and validation - Series 13,https://www.youtube.com/watch?v=fbOjzoZ36Pw,Module 4: Target Identification and Validation,4,12th,English/Hindi
5398,Pharmacy,Principles of Drug Discovery,,Role of Transgenic animals in Target discovery and validation - Series 14,https://www.youtube.com/watch?v=cbpAkMxGhj8,Module 4: Target Identification and Validation,4,12th,English/Hindi
5399,Pharmacy,Principles of Drug Discovery,,Combinatorial Chemistry in Hit or Lead Identification - Series 15,https://www.youtube.com/watch?v=RFbAtC9gxTA,Module 5: Hit and Lead Identification,5,12th,English/Hindi
5400,Pharmacy,Principles of Drug Discovery,,Assay development for Hit or Lead Identification - Series 16,https://www.youtube.com/watch?v=F4byopbJKiw,Module 5: Hit and Lead Identification,5,12th,English/Hindi
5401,Pharmacy,Principles of Drug Discovery,,High Throughput Screening HTS for Hit or Lead Identification - Series 17,https://www.youtube.com/watch?v=NuB0ZJWahYg,Module 5: Hit and Lead Identification,5,12th,English/Hindi
5402,Pharmacy,Principles of Drug Discovery,,In silico methods of Hit or Lead Identification - Series 18,https://www.youtube.com/watch?v=ng1d2j-o2rI,Module 5: Hit and Lead Identification,5,12th,English/Hindi
5403,Pharmacy,Principles of Drug Discovery,,Levels of Protein Structure - Series 19,https://www.youtube.com/watch?v=W1AlhP8kjFI,Module 6: Protein Structure,6,12th,English/Hindi
5404,Pharmacy,Principles of Drug Discovery,,Protein Domains - Series 20,https://www.youtube.com/watch?v=R4QBTaQp7ns,Module 6: Protein Structure,6,12th,English/Hindi
5405,Pharmacy,Principles of Drug Discovery,,Protein Motifs - Series 21,https://www.youtube.com/watch?v=Iv3fmudQFtk,Module 6: Protein Structure,6,12th,English/Hindi
5406,Pharmacy,Principles of Drug Discovery,,Protein folds - Series 22,https://www.youtube.com/watch?v=ZAmlObdXNhc,Module 6: Protein Structure,6,12th,English/Hindi
5407,Pharmacy,Principles of Drug Discovery,,Protein Structure Determination - Series 23,https://www.youtube.com/watch?v=8qo50-Jrd-o,Module 7: Protein Structure Determination and Prediction,7,12th,English/Hindi
5408,Pharmacy,Principles of Drug Discovery,,Homology Modeling - Series 24,https://www.youtube.com/watch?v=uT4JrqxXugE,Module 7: Protein Structure Determination and Prediction,7,12th,English/Hindi
5409,Pharmacy,Principles of Drug Discovery,,25th Series - Protein Structure Prediction - Threading,https://www.youtube.com/watch?v=Ga-bU8K6lXA,Module 7: Protein Structure Determination and Prediction,7,12th,English/Hindi
5410,Pharmacy,Principles of Drug Discovery,,26th Series - Protein Structure Prediction by Ab initio method,https://www.youtube.com/watch?v=k5AMpAZlOcs,Module 7: Protein Structure Determination and Prediction,7,12th,English/Hindi
5411,Pharmacy,Principles of Drug Discovery,,27th Series Principles of Drug Protein Structure Prediction by NMR,https://www.youtube.com/watch?v=olICOMU0Ids,Module 8: Protein Structure Prediction,8,12th,English/Hindi
5412,Pharmacy,Principles of Drug Discovery,,Protein Structure Prediction by Protein Structure Prediction by XRD and Cryo Electron Microscopy,https://www.youtube.com/watch?v=VuFZ-2qJu7E,Module 8: Protein Structure Prediction,8,12th,English/Hindi
5413,Pharmacy,Principles of Drug Discovery,,29th Series - Rational Drug Design,https://www.youtube.com/watch?v=jRkJE2n1TFY,Module 8: Protein Structure Prediction,8,12th,English/Hindi
5414,Pharmacy,Principles of Drug Discovery,,30th Series - Structure Based Drug Design,https://www.youtube.com/watch?v=CD4b81VwrTw,Module 9: Rational Drug Design,9,12th,English/Hindi
5415,Pharmacy,Principles of Drug Discovery,,31st Series - Structure Based Drug Design,https://www.youtube.com/watch?v=Yl6dPG2KV7c,Module 9: Rational Drug Design,9,12th,English/Hindi
5416,Pharmacy,Principles of Drug Discovery,,32nd Series -  Drug likeness Screening,https://www.youtube.com/watch?v=wdjJJF_6hdc,Module 9: Rational Drug Design,9,12th,English/Hindi
5417,Pharmacy,Principles of Drug Discovery,,"33rd Series - Pharmacophore Mapping, Modelling, Screening, and Concepts involved",https://www.youtube.com/watch?v=hn2GufSiMv4,Module 10: Drug Design and Screening,10,12th,English/Hindi
5418,Pharmacy,Principles of Drug Discovery,,34th Series - Molecular docking & Virtual Screening,https://www.youtube.com/watch?v=8cIcuDVnxXU,Module 10: Drug Design and Screening,10,12th,English/Hindi
5419,Pharmacy,Principles of Drug Discovery,,35th Series - De novo drug design & Docking based Screening,https://www.youtube.com/watch?v=v_c8S365D38,Module 10: Drug Design and Screening,10,12th,English/Hindi
5420,Pharmacy,Principles of Drug Discovery,,36th series - Quantitative Structure Activity Relationship (QSAR) - Part A,https://www.youtube.com/watch?v=2c5S2ZBBYEU,Module 11: Quantitative Structure Activity Relationship (QSAR),11,12th,English/Hindi
5421,Pharmacy,Principles of Drug Discovery,,36th series - Quantitative Structure Activity Relationship (QSAR) - Part B,https://www.youtube.com/watch?v=XGDD5D8Vsv8,Module 11: Quantitative Structure Activity Relationship (QSAR),11,12th,English/Hindi
5422,Pharmacy,Principles of Drug Discovery,,37th Series - Prodrug design,https://www.youtube.com/watch?v=1V6YhXFT6qo,Module 12: Prodrug Design,12,12th,English/Hindi
