Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
9011,Political Science,COMPARATIVE POLITICS,0hrs 1535min,"COMPARATIVE POLITICS: Meaning, Nature, Scope",https://www.youtube.com/watch?v=4Z9dyL6mEz4,Module 1: Introduction to Comparative Politics,1,12th,English/Hindi
9012,Political Science,COMPARATIVE POLITICS,,COMPARATIVE POLITICS: EVOLUTION,https://www.youtube.com/watch?v=NkIpjrC05F0,Module 1: Introduction to Comparative Politics,1,12th,English/Hindi
9013,Political Science,COMPARATIVE POLITICS,,COMPARATIVE POLITICS: TRADITIONAL APPROACHES,https://www.youtube.com/watch?v=TWdwn5-L_XI,Module 1: Introduction to Comparative Politics,1,12th,English/Hindi
9014,Political Science,COMPARATIVE POLITICS,,COMPARATIVE POLITICS: MODERN APPROACHES,https://www.youtube.com/watch?v=ocf-_NQy_dM,Module 2: Approaches and Ideologies in Comparative Politics,2,12th,English/Hindi
9015,Political Science,COMPARATIVE POLITICS,,"CAPITALISM: MEANING, NATURE, DIMENSIONS",https://www.youtube.com/watch?v=5CCBw0SkrDg,Module 2: Approaches and Ideologies in Comparative Politics,2,12th,English/Hindi
9016,Political Science,COMPARATIVE POLITICS,,"CAPITALISM: Evolution, Globalization, Challenges",https://www.youtube.com/watch?v=7Gu7cpJDrYI,Module 2: Approaches and Ideologies in Comparative Politics,2,12th,English/Hindi
9017,Political Science,COMPARATIVE POLITICS,,Socialism: Meaning and Comparison,https://www.youtube.com/watch?v=MJ92jcDiI2k,"Module 3: State, Colonialism, and Development",3,12th,English/Hindi
9018,Political Science,COMPARATIVE POLITICS,,RISE AND FALL OF STATE SOCIALISM IN EUROPE,https://www.youtube.com/watch?v=7LndX4ynVTQ,"Module 3: State, Colonialism, and Development",3,12th,English/Hindi
9019,Political Science,COMPARATIVE POLITICS,,"EUROCENTRISM IN COMPARATIVE POLITICS: MEANING, FEATURES, IMPACTS",https://www.youtube.com/watch?v=USf1m9B3XR8,"Module 3: State, Colonialism, and Development",3,12th,English/Hindi
9020,Political Science,COMPARATIVE POLITICS,,"COLONIALISM: MEANING, FEATURES, IMPACTS",https://www.youtube.com/watch?v=yazyD_l2_sU,Module 4: Comparative Political Systems,4,12th,English/Hindi
9021,Political Science,COMPARATIVE POLITICS,,"DE-Colonization and Post Colonial States: Process, Form, Features",https://www.youtube.com/watch?v=bUYgy1Kgoq0,Module 4: Comparative Political Systems,4,12th,English/Hindi
9022,Political Science,COMPARATIVE POLITICS,,COMPARATIVE STUDY OF BRAZIL: CONSTITUTIONAL DEVELOPMENT AND POLITICAL ECONOMY,https://www.youtube.com/watch?v=MkmKGRoF2uU,Module 4: Comparative Political Systems,4,12th,English/Hindi
9023,Political Science,COMPARATIVE POLITICS,,COMPARATIVE POLITICS OF NIGERIA: CONSTITUTIONAL DEVELOPMENT AND POLITICAL ECONOMY,https://www.youtube.com/watch?v=GlICHXDugFs,Module 4: Comparative Political Systems,4,12th,English/Hindi
9024,Political Science,COMPARATIVE POLITICS,,COMPARATIVE POLITICS OF BRITAIN: CONSTITUTIONAL DEVELOPMENT AND POLITICAL SYSTEM,https://www.youtube.com/watch?v=ZW7ehiJjhD8,Module 5: Political Economy and Development,5,12th,English/Hindi
9025,Political Science,COMPARATIVE POLITICS,,POLITICAL ECONOMY OF BRITAIN,https://www.youtube.com/watch?v=ghd_amU0lxc,Module 5: Political Economy and Development,5,12th,English/Hindi
9026,Political Science,COMPARATIVE POLITICS,,CHINA: CONSTITUTIONAL DEVELOPMENT AND POLITICAL ECONOMY,https://www.youtube.com/watch?v=6buUGLnZnQI,Module 5: Political Economy and Development,5,12th,English/Hindi
9027,Political Science,COMPARATIVE POLITICS,,PAST YEAR'S PAPER ANALYSIS : COMPARATIVE POLITICS,https://www.youtube.com/watch?v=ymg2oog6cIE,Module 6: Political Institutions and Processes,6,12th,English/Hindi
9028,Political Science,COMPARATIVE POLITICS,,POLITICAL CULTURE APPROACH TO COMPARATIVE POLITICS,https://www.youtube.com/watch?v=Ue-axWGXCgI,Module 6: Political Institutions and Processes,6,12th,English/Hindi
9029,Political Science,COMPARATIVE POLITICS,,"NEW INSTITUTIONALISM: MEANING, TYPES, OLD VS NEW INSTITUTIONALISM",https://www.youtube.com/watch?v=xfeJ3TIBp-k,Module 6: Political Institutions and Processes,6,12th,English/Hindi
9030,Political Science,COMPARATIVE POLITICS,,"3 NEW INSTITUTIONALISMS: RATIONAL CHOICE, CULTURAL, STRUCTURAL",https://www.youtube.com/watch?v=IMFGJXBH5wQ,Module 7:  Democracy and Democratization,7,12th,English/Hindi
9031,Political Science,COMPARATIVE POLITICS,,"NATION-STATE : MEANING, PROCESSES, EVOLUTION, DEBATES",https://www.youtube.com/watch?v=wR5Hxft8X7U,Module 7:  Democracy and Democratization,7,12th,English/Hindi
9032,Political Science,COMPARATIVE POLITICS,,"FEDERALISM: MEANING, MODELS, CHALLENGES, DEBATES",https://www.youtube.com/watch?v=qShMa2DltEI,Module 7:  Democracy and Democratization,7,12th,English/Hindi
9033,Political Science,COMPARATIVE POLITICS,,"ELECTORAL SYSTEM,: MEANING, TYPES, PROS & CONS - FPTP Vs PR SYSTEM",https://www.youtube.com/watch?v=LuKUd3TDoYw,Module 8: Party Systems and Comparative Politics,8,12th,English/Hindi
9034,Political Science,COMPARATIVE POLITICS,,SINGLE TRANSFERABLE VOTING (STV) EXPLAINED,https://www.youtube.com/watch?v=AoVA8vdvEz4,Module 8: Party Systems and Comparative Politics,8,12th,English/Hindi
9035,Political Science,COMPARATIVE POLITICS,,"DEMOCRATIZATION : Meaning, Pattern, Factors",https://www.youtube.com/watch?v=H-AfDYI3opU,Module 8: Party Systems and Comparative Politics,8,12th,English/Hindi
9036,Political Science,COMPARATIVE POLITICS,,"DEMOCRATIZATION IN POST-COLONIAL, POST-COMMUNIST, AND POST-AUTHORITARIAN STATES",https://www.youtube.com/watch?v=UXmJwi8jySs,Module 9: Past Year's Paper Analysis,9,12th,English/Hindi
9037,Political Science,COMPARATIVE POLITICS,,"COMPARATIVE PARTY POLITICS: MEANING, FEATURES, EVOLUTION, DEBATE",https://www.youtube.com/watch?v=9rro3QekKjg,Module 9: Past Year's Paper Analysis,9,12th,English/Hindi
