Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
9391,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,0hrs 132min,Quilapayún  - Que La Tortilla Se Vuelva,https://www.youtube.com/watch?v=V64At1vx-2I,Module 1: Chilean Nueva Canción,1,12th,English/Hindi
9392,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Quilapayún - Canto a la Pampa,https://www.youtube.com/watch?v=iZz4ZPiLNLA,Module 1: Chilean Nueva Canción,1,12th,English/Hindi
9393,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Nuestro Cobre - Quilapayún,https://www.youtube.com/watch?v=YTkAVTOejD0,Module 1: Chilean Nueva Canción,1,12th,English/Hindi
9394,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Quilapayún ¿Dónde están?,https://www.youtube.com/watch?v=UyjORq4-JiU,Module 2: Songs of Struggle and Solidarity,2,12th,English/Hindi
9395,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Los Vasquez Basta,https://www.youtube.com/watch?v=I-IUYuw7pAk,Module 2: Songs of Struggle and Solidarity,2,12th,English/Hindi
9396,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Papakonstantinou & more - Comandante Che Guevara (greek version),https://www.youtube.com/watch?v=eQlFWidNFWw,Module 2: Songs of Struggle and Solidarity,2,12th,English/Hindi
9397,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,El derecho de vivir en Paz   Victor Jara,https://www.youtube.com/watch?v=vCQrf0SHix8,Module 3:  The Legacy of Che Guevara,3,12th,English/Hindi
9398,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,los pueblos americanos video violeta parra,https://www.youtube.com/watch?v=oNHceC8jra8,Module 3:  The Legacy of Che Guevara,3,12th,English/Hindi
9399,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Silvio Rodriguez - America te hablo de Ernesto,https://www.youtube.com/watch?v=YKk9ESjZSNQ,Module 4: Voices of Protest and Revolution,4,12th,English/Hindi
9400,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,"Rebel Diaz- ""Libertad"" (Official Music Video HD)",https://www.youtube.com/watch?v=CSNbzyivba4,Module 4: Voices of Protest and Revolution,4,12th,English/Hindi
9401,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Manu Chao - Clandestino (Official Video),https://www.youtube.com/watch?v=rSEUH4KRfN8,Module 5: Chilean Resistance and Remembrance,5,12th,English/Hindi
9402,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,"Quilapayún - General Prats, usted tenía razón",https://www.youtube.com/watch?v=1F5xt9tMURI,Module 5: Chilean Resistance and Remembrance,5,12th,English/Hindi
9403,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Luchar por ti,https://www.youtube.com/watch?v=EBJdtU1ItZ0,Module 6:  Songs of the Sandinista Revolution,6,12th,English/Hindi
9404,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Rebel Diaz - Work Like Chavez (OFFICIAL VIDEO),https://www.youtube.com/watch?v=rKkveMo-2NA,Module 6:  Songs of the Sandinista Revolution,6,12th,English/Hindi
9405,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Allá va el General by Luis Enrique Mejia Godoy,https://www.youtube.com/watch?v=ZG8QEJcwBPU,Module 6:  Songs of the Sandinista Revolution,6,12th,English/Hindi
9406,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,VAMOS HACIENDO LA HISTORIA - PANCASAN,https://www.youtube.com/watch?v=T7ofF0SX1No,Module 6:  Songs of the Sandinista Revolution,6,12th,English/Hindi
9407,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,APUNTES DEL TIO SAM - PANCASAN,https://www.youtube.com/watch?v=F6kahuS6AfQ,Module 7:  The Sandinista Struggle in Song,7,12th,English/Hindi
9408,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Grupo Pancasán - General de Hombres Libres,https://www.youtube.com/watch?v=iojjn1Hei9s,Module 7:  The Sandinista Struggle in Song,7,12th,English/Hindi
9409,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,"Grupo Pancasán - Pueblo, Ejército, Unidad",https://www.youtube.com/watch?v=eSDgirmpbjM,Module 7:  The Sandinista Struggle in Song,7,12th,English/Hindi
9410,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,La Consigna (FSLN) - Carlos Mejía Godoy,https://www.youtube.com/watch?v=YnLMfo3bdLY,Module 8: Tributes and Reflections,8,12th,English/Hindi
9411,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Martires del FSLN - Himno de la unidad sandinista,https://www.youtube.com/watch?v=HYkp_CHyhXY,Module 8: Tributes and Reflections,8,12th,English/Hindi
9412,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Carlos Mejía Godoy - El nacimiento,https://www.youtube.com/watch?v=DbbuMq8FhHg,Module 8: Tributes and Reflections,8,12th,English/Hindi
9413,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Silvio Rodriguez - Canción Urgente para Nicaragua,https://www.youtube.com/watch?v=Wnho2BQmhmk,Module 8: Tributes and Reflections,8,12th,English/Hindi
9414,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Con Farabundo y Romero,https://www.youtube.com/watch?v=hKdQXtdbMxc,Module 9:  Revolutionary Music of El Salvador,9,12th,English/Hindi
9415,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Los Torogoces de Morazán_musica revolucionaria del salvador,https://www.youtube.com/watch?v=PrqOVKZPXvQ,Module 9:  Revolutionary Music of El Salvador,9,12th,English/Hindi
9416,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,Lloviznando Cantos - Fidel Castro en su dia,https://www.youtube.com/watch?v=BRPPGIlUB5E,Module 9:  Revolutionary Music of El Salvador,9,12th,English/Hindi
9417,Political Science,Songs for the Revolution and from Revolutions Past - Latin America and Spanish playlist,,"A las barricadas (lyrics) , tribute to CNT",https://www.youtube.com/watch?v=wZAgWC9G8WY,Module 9:  Revolutionary Music of El Salvador,9,12th,English/Hindi
