Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
7717,Project Management,Business Ethics & Corporate Governance,49hrs 19min,Business Ethics,https://www.youtube.com/watch?v=PTp08MeQCoU,Module 1: Introduction to Business Ethics,1,12th,English/Hindi
7718,Project Management,Business Ethics & Corporate Governance,,Corporate Governance Models,https://www.youtube.com/watch?v=VZqgHcKBj90,Module 1: Corporate Governance Models,1,12th,English/Hindi
7719,Project Management,Business Ethics & Corporate Governance,,Board of Directors,https://www.youtube.com/watch?v=QxQYccE9PL0,Module 1: Board of Directors,1,12th,English/Hindi
7720,Project Management,Business Ethics & Corporate Governance,,Stewardship Theory,https://www.youtube.com/watch?v=dx28fuD_D4w,Module 1: Stewardship Theory,1,12th,English/Hindi
7721,Project Management,Business Ethics & Corporate Governance,,Carroll's CSR Pyramid,https://www.youtube.com/watch?v=9V9oOZZ8ApA,Module 2: Corporate Social Responsibility,2,12th,English/Hindi
7722,Project Management,Business Ethics & Corporate Governance,,Agency Theory,https://www.youtube.com/watch?v=4gAo7JnTmDc,Module 2: Carroll's CSR Pyramid,2,12th,English/Hindi
7723,Project Management,Business Ethics & Corporate Governance,,Ethical Dilemma,https://www.youtube.com/watch?v=9PMx0o4WIcY,Module 2: Ackerman's CSR Model,2,12th,English/Hindi
7724,Project Management,Business Ethics & Corporate Governance,,Trusteeship Theory,https://www.youtube.com/watch?v=ZuWG7TRDpyQ,Module 3: Ethical Decision Making,3,12th,English/Hindi
7725,Project Management,Business Ethics & Corporate Governance,,Ackerman's CSR Model,https://www.youtube.com/watch?v=gmEPOXi78VE,Module 3: Agency Theory,3,12th,English/Hindi
7726,Project Management,Business Ethics & Corporate Governance,,Kohlberg's & Giligan's Theory,https://www.youtube.com/watch?v=Ng0q6bvVhNE,Module 3: Ethical Dilemma,3,12th,English/Hindi
7727,Project Management,Business Ethics & Corporate Governance,,Whistle blower,https://www.youtube.com/watch?v=03cz6wYYEGU,Module 4: Corporate Governance in Practice,4,12th,English/Hindi
7728,Project Management,Business Ethics & Corporate Governance,,SOX Act - Sarbanes Oxley Act,https://www.youtube.com/watch?v=ByBe7v7A0Sw,Module 4: Whistleblower,4,12th,English/Hindi
7729,Project Management,Business Ethics & Corporate Governance,,Corporate Governance Committee,https://www.youtube.com/watch?v=stFe_jbXv2w,Module 4: SOX Act - Sarbanes Oxley Act,4,12th,English/Hindi
