Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
5647,Public Health,Community health nursing,19hrs 21min,Introduction of community health nursing,https://www.youtube.com/watch?v=VJtpNjJK8zA,Module 1: Introduction to Community Health Nursing,1,12th,English/Hindi
5648,Public Health,Community health nursing,,Demography: sources & cycle,https://www.youtube.com/watch?v=-okTFohWfx8,Module 1: Demography: Sources & Cycle,1,12th,English/Hindi
5649,Public Health,Community health nursing,,Dimensions of health,https://www.youtube.com/watch?v=Ma23i55r_Ws,Module 1: Dimensions of Health,1,12th,English/Hindi
5650,Public Health,Community health nursing,,Determinants of health: simple explanation,https://www.youtube.com/watch?v=jrmRFFhR5G8,Module 1: Determinants of Health: Simple Explanation,1,12th,English/Hindi
5651,Public Health,Community health nursing,,Health education: principles & objectives,https://www.youtube.com/watch?v=qaJpyz6i-z0,Module 2: Health Education: Principles & Objectives,2,12th,English/Hindi
5652,Public Health,Community health nursing,,Epidemiological methods (design),https://www.youtube.com/watch?v=6swwJ1Lg1LM,Module 2: Epidemiological Methods (Design),2,12th,English/Hindi
5653,Public Health,Community health nursing,,Principles And Steps Of Home Visit,https://www.youtube.com/watch?v=y-zVNoHXJ0E,Module 2: Principles and Steps of Home Visit,2,12th,English/Hindi
5654,Public Health,Community health nursing,,Epidemiological Triad : Simple Explanation,https://www.youtube.com/watch?v=KwlodqhsyYA,Module 3: Epidemiological Triad: Simple Explanation,3,12th,English/Hindi
5655,Public Health,Community health nursing,,Mode Of Disease Transmission,https://www.youtube.com/watch?v=0Y3nSbvG0wQ,Module 3: Mode of Disease Transmission,3,12th,English/Hindi
5656,Public Health,Community health nursing,,World health organization (WHO),https://www.youtube.com/watch?v=uRUjVv5MkDQ,Module 3: World Health Organization (WHO),3,12th,English/Hindi
5657,Public Health,Community health nursing,,UNICEF : Services/Functions,https://www.youtube.com/watch?v=VaVMar9LTrc,Module 4: UNICEF: Services/Functions,4,12th,English/Hindi
5658,Public Health,Community health nursing,,Concept of Health,https://www.youtube.com/watch?v=xZsODfAk7a0,Module 4: Concept of Health,4,12th,English/Hindi
5659,Public Health,Community health nursing,,Principles of community health nursing: simple explanation,https://www.youtube.com/watch?v=uuyDR_zlLNE,Module 5: Principles of Community Health Nursing,5,12th,English/Hindi
5660,Public Health,Community health nursing,,Roles of community health nurse,https://www.youtube.com/watch?v=OoYZIqHseso,Module 5: Roles of Community Health Nurse,5,12th,English/Hindi
5661,Public Health,Community health nursing,,Levels of prevention with simple examples/ English,https://www.youtube.com/watch?v=NaPJySskCeM,Module 6: Levels of Prevention with Examples,6,12th,English/Hindi
5662,Public Health,Community health nursing,,Scope of community health nursing/ English,https://www.youtube.com/watch?v=38Du4yx1Lfw,Module 6: Scope of Community Health Nursing,6,12th,English/Hindi
5663,Public Health,Community health nursing,,Functions of community health nurse/english,https://www.youtube.com/watch?v=hEDr6Lluins,Module 7: Functions of Community Health Nurse,7,12th,English/Hindi
5664,Public Health,Community health nursing,,Chickenpox / varicella : simple explanation,https://www.youtube.com/watch?v=r2eYj3OqV5s,Module 7: Chickenpox / Varicella: Simple Explanation,7,12th,English/Hindi
5665,Public Health,Community health nursing,,Measles (rubeola) simple explanation/english,https://www.youtube.com/watch?v=ifwiiTJyCF0,Module 8: Measles (Rubeola): Simple Explanation,8,12th,English/Hindi
5666,Public Health,Community health nursing,,Mumps simple explanation,https://www.youtube.com/watch?v=RSm7fAdH3Gc,Module 8: Mumps: Simple Explanation,8,12th,English/Hindi
5667,Public Health,Community health nursing,,German measles/rubella:simple explanation,https://www.youtube.com/watch?v=fi2-1GM3Rq8,Module 8: German Measles/Rubella: Simple Explanation,8,12th,English/Hindi
