Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
5825,Renewable Energy,Energy Management & Audit,37hrs 14min,Lecture 1: Introduction to Energy Management and audit (EMA),https://www.youtube.com/watch?v=agSEQaVMkDE,Module 1: Introduction to Energy Management & Audit,1,12th,English/Hindi
5826,Renewable Energy,Energy Management & Audit,,Lecture 2: Energy Management & Audit (EMA),https://www.youtube.com/watch?v=MfNmtHCYNKk,Module 1: Introduction to Energy Management & Audit,1,12th,English/Hindi
5827,Renewable Energy,Energy Management & Audit,,Lecture 3.Energy Management & Audit- Books & Syllabus,https://www.youtube.com/watch?v=SW5u23wMXjE,Module 1: Introduction to Energy Management & Audit,1,12th,English/Hindi
5828,Renewable Energy,Energy Management & Audit,,Lecture 4:Energy Management & Audit_Unit 1_Energy Management & Conservation_Energy,https://www.youtube.com/watch?v=7KhTPpL-5VE,Module 1: Introduction to Energy Management & Audit,1,12th,English/Hindi
5829,Renewable Energy,Energy Management & Audit,,Lecture 5:Energy Management & Audit_Unit 1_Energy Management & Conservation_Energy Scenario,https://www.youtube.com/watch?v=bHj4Y9o11_s,Module 2: Energy Management & Conservation,2,12th,English/Hindi
5830,Renewable Energy,Energy Management & Audit,,Lecture 6:Energy Management & Audit_Unit 1_Energy Management & Conservation_Environmental concerns,https://www.youtube.com/watch?v=c-BxtFGou5Q,Module 2: Energy Management & Conservation,2,12th,English/Hindi
5831,Renewable Energy,Energy Management & Audit,,Lecture 7:Energy Management & Audit_Unit 1_Energy Management & Conservation_Carbon trading,https://www.youtube.com/watch?v=qeV3atRLOcI,Module 2: Energy Management & Conservation,2,12th,English/Hindi
5832,Renewable Energy,Energy Management & Audit,,Lecture 8: Energy Management & Audit_Unit 1_Energy Conservation,https://www.youtube.com/watch?v=7gjCzaZPZLA,Module 2: Energy Management & Conservation,2,12th,English/Hindi
5833,Renewable Energy,Energy Management & Audit,,Lecture 9: Energy Management & Audit_Unit 1_Energy Conservation in lighting & HVAC System,https://www.youtube.com/watch?v=4QERHl1fckk,Module 3: Energy Audit,3,12th,English/Hindi
5834,Renewable Energy,Energy Management & Audit,,"Lecture 10: Energy Management & Audit_Unit 2_Energy Audit, Need & Process in hindi",https://www.youtube.com/watch?v=EAPinunNH1k,Module 3: Energy Audit,3,12th,English/Hindi
5835,Renewable Energy,Energy Management & Audit,,Lecture 11: Energy Management & Audit_Unit 2_Types of Energy Audit in hindi,https://www.youtube.com/watch?v=asggkvQyuNQ,Module 3: Energy Audit,3,12th,English/Hindi
5836,Renewable Energy,Energy Management & Audit,,Lecture 12: Energy Management & Audit_Unit 2_Understanding Energy Cost in hindi,https://www.youtube.com/watch?v=V2obVGD-F1E,Module 3: Energy Audit,3,12th,English/Hindi
5837,Renewable Energy,Energy Management & Audit,,Lecture 13: Energy Management & Audit_Unit 2_Benchmarking of Energy in Hindi,https://www.youtube.com/watch?v=o1k9FbdMR6s,Module 4: Energy Audit,4,12th,English/Hindi
5838,Renewable Energy,Energy Management & Audit,,Lecture 14: Energy Management & Audit_Unit 2_Plant Energy Performance,https://www.youtube.com/watch?v=jLMpH9BpZq4,Module 4: Energy Audit,4,12th,English/Hindi
5839,Renewable Energy,Energy Management & Audit,,Lecture 15: Energy Management & Audit_Unit 2_Energy Audit Instruments,https://www.youtube.com/watch?v=4bZzl7l33M8,Module 4: Energy Audit,4,12th,English/Hindi
5840,Renewable Energy,Energy Management & Audit,,Lecture 16: Energy Management & Audit_Unit 2_Energy Conservation Act 2001 with Animations,https://www.youtube.com/watch?v=cJ7hXbk1iA8,Module 4: Energy Audit,4,12th,English/Hindi
5841,Renewable Energy,Energy Management & Audit,,Lecture 17: Energy Management & Audit_Unit 2_Role of Energy Manager & Auditor,https://www.youtube.com/watch?v=bK0dD1olOu8,Module 5: Material & Energy Balance,5,12th,English/Hindi
5842,Renewable Energy,Energy Management & Audit,,Lecture 18: Energy Management & Audit_Unit 3_Material & Energy Balance Basics animated,https://www.youtube.com/watch?v=kA95t32MOXg,Module 5: Material & Energy Balance,5,12th,English/Hindi
5843,Renewable Energy,Energy Management & Audit,,Lecture 19: Energy Management & Audit_Unit 3_Basics of Material & Energy Balance,https://www.youtube.com/watch?v=W0bVPm0CmTk,Module 5: Material & Energy Balance,5,12th,English/Hindi
