Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
379,Robotics,Robotics,25hrs 13min,Spatial Descriptions and Transformation Matrices for Robotic Manipulators,https://www.youtube.com/watch?v=4Y1_y9DI_Hw,Module 1: Spatial Descriptions and Transformations,1,12th,English/Hindi
380,Robotics,Robotics,,Spacial Descriptions and Transformations - Worked Example,https://www.youtube.com/watch?v=r244ADkuexk,Module 1: Spatial Descriptions and Transformation Matrices for Robotic Manipulators,1,12th,English/Hindi
381,Robotics,Robotics,,Compound Transformation Matrices and Inverse Transformation Matrices - Robotic Basics,https://www.youtube.com/watch?v=sm7d1A2npWA,Module 1: Spacial Descriptions and Transformations - Worked Example,1,12th,English/Hindi
382,Robotics,Robotics,,Fixed and Euler Angle Representation for Rotation Matrices,https://www.youtube.com/watch?v=uG0P9RX65Ek,Module 1: Compound Transformation Matrices and Inverse Transformation Matrices - Robotic Basics,1,12th,English/Hindi
383,Robotics,Robotics,,Angles of Rotation for Euler Angle Representation (Worked Example)-Robotics Basics,https://www.youtube.com/watch?v=8FD1jgb3Df4,Module 2: Euler Angles and Rotation,2,12th,English/Hindi
384,Robotics,Robotics,,Frame Assignment For Robotic Manipulators - Direct Kinematics I,https://www.youtube.com/watch?v=fNIyNF87q9I,Module 2: Fixed and Euler Angle Representation for Rotation Matrices,2,12th,English/Hindi
385,Robotics,Robotics,,Denavit - Hartenberg (DH) Tables For Robotic Systems - Direct Kinematics II,https://www.youtube.com/watch?v=DPO9Se6ZqN0,Module 2: Angles of Rotation for Euler Angle Representation (Worked Example)-Robotics Basics,2,12th,English/Hindi
386,Robotics,Robotics,,Creating Transformation Matrices From DH Tables | Robotics (Direct Kinematics III),https://www.youtube.com/watch?v=yjLVBbK_rOU,Module 3: Direct Kinematics,3,12th,English/Hindi
387,Robotics,Robotics,,Worked Example - Frame Assignment | DH Tables | Transformation Matrices (Direct Kinematics IV),https://www.youtube.com/watch?v=KdKAJ6kLY6U,Module 3: Frame Assignment For Robotic Manipulators - Direct Kinematics I,3,12th,English/Hindi
388,Robotics,Robotics,,Jacobian Matrix and Singularities | Robotics | Introduction | Part 1,https://www.youtube.com/watch?v=h2YM0CDzDl4,Module 3: Denavit - Hartenberg (DH) Tables For Robotic Systems - Direct Kinematics II,3,12th,English/Hindi
389,Robotics,Robotics,,Jacobian Matrix - Partial Differentiation Method | Robotics | Part 2,https://www.youtube.com/watch?v=YS3kt_eqOPY,Module 3: Creating Transformation Matrices From DH Tables | Robotics (Direct Kinematics III),3,12th,English/Hindi
390,Robotics,Robotics,,Jacobian Matrix - Velocity Propagation Method | Robotics | Part 3,https://www.youtube.com/watch?v=YhEq_hUo3Ek,Module 4:  Jacobian Matrix and Singularities,4,12th,English/Hindi
391,Robotics,Robotics,,Jacobian Matrix - Torques and Forces on Joints | Robotics | Part 4,https://www.youtube.com/watch?v=DsWaju7vbk4,Module 4: Jacobian Matrix and Singularities | Robotics | Introduction | Part 1,4,12th,English/Hindi
392,Robotics,Robotics,,Lagrangian Mechanics (Torques and Forces) | Robotics | Part 5,https://www.youtube.com/watch?v=zO5o-tAwOPc,Module 4: Jacobian Matrix - Partial Differentiation Method | Robotics | Part 2,4,12th,English/Hindi
393,Robotics,Robotics,,Trajectory Planning and Generation | Cubic Polynomials | Parabolic Blends | Robotics,https://www.youtube.com/watch?v=TXHM9xsRUkA,Module 4: Jacobian Matrix - Velocity Propagation Method | Robotics | Part 3,4,12th,English/Hindi
