Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
232,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,21hrs 21min,DOUT Command | Pulse Input| In / Out | Advanced command | New Welding Program |Yaskawa Motoman Robot,https://www.youtube.com/watch?v=AcF00Tltqek,Module 1: Introduction to Yaskawa Motoman Robots,1,12th,English/Hindi
233,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,Yaskawa Robot || Edit || Top Line || End Line || Search || Motoman Robot|| Robotic Welding|| Robot,https://www.youtube.com/watch?v=TmXqoaELIhU,Module 1: DOUT Command and Pulse Input,1,12th,English/Hindi
234,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,how to make welding Angle ||Arc Information || Torch Angle || Yaskawa Robot || Motoman Robot,https://www.youtube.com/watch?v=vCLuvDg4UDQ,Module 1: Advanced Commands in Yaskawa Motoman Programming,1,12th,English/Hindi
235,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,Current Position || Command Position | Second Home Position | Home Position | Yaskawa Robot,https://www.youtube.com/watch?v=1Gx8-LZ2XdQ,Module 1: Creating a New Welding Program,1,12th,English/Hindi
236,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,Timer Command | Yaskawa Motoman Robot | Wait Command | Pulse Wait |Timer Welding New Program,https://www.youtube.com/watch?v=SAD4xEkGNtE,Module 2: Navigating the Yaskawa Robot Interface,2,12th,English/Hindi
237,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,Nozzle Cleaner Programing in Hindi || Yaskawa Robot Programing || Motoman || New Program|| Robot,https://www.youtube.com/watch?v=7u6LospCzOk,Module 2: Editing Programs in Yaskawa Motoman,2,12th,English/Hindi
238,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,Auto TCP Programing in Hindi|| Yaskawa Robot Programing| Motoman Robot| New Program| Welding Program,https://www.youtube.com/watch?v=caiqBNRM-ls,Module 2: Understanding Top Line and End Line,2,12th,English/Hindi
239,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,weld end condition || Arc End Condition || Crater Arc Condition || Yaskawa Robot || Motoman Robot,https://www.youtube.com/watch?v=65hvj0f1xtE,Module 2: Search Functionality in Yaskawa Motoman,2,12th,English/Hindi
240,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,Master Program  केसे call करे || How to call Master Program|| How to call a Program in Master,https://www.youtube.com/watch?v=J_QuS3LeQB4,Module 3: Welding Angles and Arc Information,3,12th,English/Hindi
241,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,How to create Welding File || Welding File कैसे बनाए|| Yaskawa Robot Welding File|| New Program,https://www.youtube.com/watch?v=jIVTV8vJJmo,Module 3: Setting Torch Angle in Yaskawa Motoman,3,12th,English/Hindi
242,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,How to Change Interpolation || New Program || Welding Program || Motoman Robot Program,https://www.youtube.com/watch?v=8USRc4m39qo,Module 4: Robot Positioning in Yaskawa Motoman,4,12th,English/Hindi
243,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,Anti-sticking| Power Source Condition |wire stickout |Arc Failure Stop |Yaskawa Robot |Motoman Robot,https://www.youtube.com/watch?v=mNnfAxQ4-Dk,Module 4: Current Position vs. Command Position,4,12th,English/Hindi
244,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,What Is Weaving Program | How Does It work | Yaskawa Robot Program| Motoman Robot Welding Program,https://www.youtube.com/watch?v=hAl1Q0CH6E0,Module 4: Home Position and Second Home Position,4,12th,English/Hindi
245,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,How to Delete Robot Program | Copy | Rename | Rename Job | Copy Job | Yaskawa Robot| Motoman Robot,https://www.youtube.com/watch?v=WqaR7trUVbQ,Module 5: Timer Commands in Yaskawa Motoman Robot Programming,5,12th,English/Hindi
246,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,Parallel Shift Command || Reteaching Program | New Program | Yaskawa Motoman Program | Robot Program,https://www.youtube.com/watch?v=f-QeNLr5hpk,Module 5: Implementing Wait Commands and Pulse Wait,5,12th,English/Hindi
247,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,SetUp Special Run Function | DryRun Check | Check Run | Speed Limit |Machine Lock |Yaskawa Robot,https://www.youtube.com/watch?v=gCJWKB8-v8w,Module 6: Nozzle Cleaner Programing in Yaskawa Motoman,6,12th,English/Hindi
248,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,What is Auxiliary Arc Condition|| Welding Condition|| Retract Time|| Retry Command|| Yaskawa Robot,https://www.youtube.com/watch?v=-XycH8msvTQ,Module 7: Auto TCP Programming in Yaskawa Motoman,7,12th,English/Hindi
249,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,Yaskawa Robot Display Brightness Adjust || Display Light|| Motoman Robot|| Adjust Brightness,https://www.youtube.com/watch?v=3qmkXOJ5C3Y,Module 8: Weld End Conditions in Yaskawa Motoman,8,12th,English/Hindi
250,Robotics,Yaskawa Robot Programming Playlist || Robot Programming Playlist || Robot Tutorial Playlist || Production Counter,,What is Position Level||Curve Welding||Three Point Welding || Yaskawa Robot|| Motoman Robot|| Robot,https://www.youtube.com/watch?v=4dHVyVLXKAk,Module 8: Arc End and Crater Arc Conditions,8,12th,English/Hindi
