Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
6608,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,0hrs 3192min,Rapid Revision | MSOE 003 | IGNOU MA Sociology | Important Topics,https://www.youtube.com/watch?v=yodgywJVABA,Module 1: Introduction to Sociology of Religion,1. Rapid Revision | MSOE 003 | IGNOU MA Sociology | Important Topics,12th,English/Hindi
6609,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,MSOE 003 | Important Questions | June 2024 | IGNOU MA Sociology,https://www.youtube.com/watch?v=S8Ytf_vy85Q,Module 1: Introduction to Sociology of Religion,2. MSOE 003 | Important Questions | June 2024 | IGNOU MA Sociology,12th,English/Hindi
6610,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Society and Religion | Sociology of Religion | IGNOU MSOE 03,https://www.youtube.com/watch?v=129LXOk_rJ0,Module 1: Introduction to Sociology of Religion,3. Sociological Perspective on Religion | IGNOU MSOE 003 | Sociology of Religion,12th,English/Hindi
6611,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Economy and Religion | Sociology of Religion | IGNOU MSOE 03,https://www.youtube.com/watch?v=6FJEML55cy0,Module 1: Introduction to Sociology of Religion,4. Society and Religion | Sociology of Religion | IGNOU MSOE 03,12th,English/Hindi
6612,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Origin Theories of Religion  | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=vjviyqTTeIs,Module 2: Classical Theories of Religion,5. Origin Theories of Religion  | Sociology of Religion | IGNOU MSOE 003,12th,English/Hindi
6613,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Clifford Geertz | Religion as a Cultural System | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=miumi07X10A,Module 2: Classical Theories of Religion,6.  Clifford Geertz | Religion as a Cultural System | Sociology of Religion | IGNOU MSOE 003,12th,English/Hindi
6614,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Sigmund Freud | Religion: Psychological Approach | Freud's Reformulation | IGNOU MSOE 003,https://www.youtube.com/watch?v=AyZZWT3vJHg,Module 2: Classical Theories of Religion,7. Sigmund Freud | Religion: Psychological Approach | Freud's Reformulation | IGNOU MSOE 003,12th,English/Hindi
6615,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Karl Marx and Religion | Opium of the People | Instrument of Oppression | IGNOU MSOE 003,https://www.youtube.com/watch?v=Y2kx7GLBUXY,Module 2: Classical Theories of Religion,8. Karl Marx and Religion | Opium of the People | Instrument of Oppression | IGNOU MSOE 003,12th,English/Hindi
6616,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Emile Durkheim | Theory of Religion | Sacred and Profane | IGNOU MSOE 003,https://www.youtube.com/watch?v=spfpcA9DFiM,Module 3: Modern Perspectives on Religion,9. Emile Durkheim | Theory of Religion | Sacred and Profane | IGNOU MSOE 003,12th,English/Hindi
6617,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Max Weber | Protestant Ethic and the Spirit of Capitalism | Hinduism & Capitalism | IGNOU MSOE 003,https://www.youtube.com/watch?v=7ZAx7WsNogs,Module 3: Modern Perspectives on Religion,10. Max Weber | Protestant Ethic and the Spirit of Capitalism | Hinduism & Capitalism | IGNOU MSOE 003,12th,English/Hindi
6618,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,M. N. Srinivas | The Coorgs | Major Concepts of M. N. Srinivas| IGNOU MSOE 003,https://www.youtube.com/watch?v=RJyiBbXzayg,Module 3: Modern Perspectives on Religion,11. M. N. Srinivas | The Coorgs | Major Concepts of M. N. Srinivas| IGNOU MSOE 003,12th,English/Hindi
6619,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Evans Pritchard | The Nuer | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=QDi5WdFz6XE,Module 3: Modern Perspectives on Religion,12. Evans Pritchard | The Nuer | Sociology of Religion | IGNOU MSOE 003,12th,English/Hindi
6620,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,T. N. Madan | Non-Renunciation | Kashmiri Pandit's Life Cycle | IGNOU MSOE 003,https://www.youtube.com/watch?v=QaD3PPrpVR8,Module 4: Religion and Society in India,13. T. N. Madan | Non-Renunciation | Kashmiri Pandit's Life Cycle | IGNOU MSOE 003,12th,English/Hindi
6621,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Peter Berger | Phenomenology of Religion | Future of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=_VXlmf2Y5OQ,Module 4: Religion and Society in India,14. Peter Berger | Phenomenology of Religion | Future of Religion | IGNOU MSOE 003,12th,English/Hindi
6622,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Levi Strauss | Totemism | Reality of Totemism | IGNOU MSOE 003,https://www.youtube.com/watch?v=JfxA_LCpwTw,Module 4: Religion and Society in India,15. Levi Strauss | Totemism | Reality of Totemism | IGNOU MSOE 003,12th,English/Hindi
6623,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Sikhism | Sikh Gurus | Five K's of Sikhism | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=S53_MROcYjQ,Module 4: Religion and Society in India,16. Sikhism | Sikh Gurus | Five K's of Sikhism | Sociology of Religion | IGNOU MSOE 003,12th,English/Hindi
6624,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Jainism | Wheel of Time | Process of Liberation | Sociology of Religion | IGNOU MSOE 003,https://www.youtube.com/watch?v=H68jiH0-2vU,Module 5: Contemporary Religious Issues,17. Jainism | Wheel of Time | Process of Liberation | Sociology of Religion | IGNOU MSOE 003,12th,English/Hindi
6625,Sociology,MA Sociology | IGNOU MSOE 003 | Sociology of Religion,,Buddhism | Four Noble Truths | Noble Eightfold Path | Development of Buddhism | IGNOU MSOE 003,https://www.youtube.com/watch?v=9w_3dHf5BoY,Module 5: Contemporary Religious Issues,18. Buddhism | Four Noble Truths | Noble Eightfold Path | Development of Buddhism | IGNOU MSOE 003,12th,English/Hindi
