Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
10302,Special Education,Special Needs Video Case Studies,23hrs 11min,5 Signs You DO NOT Have Autism,https://www.youtube.com/watch?v=FrsDDZycjfY,Module 1: Understanding Autism,1,12th,English/Hindi
10303,Special Education,Special Needs Video Case Studies,,Say This To Get Your Baby or Toddler To Listen & Behave (Without Yelling),https://www.youtube.com/watch?v=btaKA97saSo,Module 1: Understanding Autism,1,12th,English/Hindi
10304,Special Education,Special Needs Video Case Studies,,5 tips to get your child to listen without yelling,https://www.youtube.com/watch?v=ENse4hWamRE,Module 1: Understanding Autism,1,12th,English/Hindi
10305,Special Education,Special Needs Video Case Studies,,Wellness 101 Show - How to Deal with Stubborn Children,https://www.youtube.com/watch?v=Uo9i4RI9PjY,Module 1: Understanding Autism,1,12th,English/Hindi
10306,Special Education,Special Needs Video Case Studies,,13 year old with Keratoconus Gets Life Changing News,https://www.youtube.com/watch?v=h3iiaJYzwnk,Module 2: Keratoconus: A Vision Threat,2,12th,English/Hindi
10307,Special Education,Special Needs Video Case Studies,,Can Boy’s Vision Be Saved from Progressive Eye Disease Keratoconus?,https://www.youtube.com/watch?v=8wW-VPbDUvU,Module 2: Keratoconus: A Vision Threat,2,12th,English/Hindi
10308,Special Education,Special Needs Video Case Studies,,What is Keratoconus? (Keratoconus Eye Disease Explained),https://www.youtube.com/watch?v=kPanFRVV4uM,Module 2: Keratoconus: A Vision Threat,2,12th,English/Hindi
10309,Special Education,Special Needs Video Case Studies,,ADHD: Out of Control Kids (Medical/Parenting Documentary) | Real Stories,https://www.youtube.com/watch?v=yRYl9Bf0yhs,Module 3: ADHD and Disruptive Behaviors,3,12th,English/Hindi
10310,Special Education,Special Needs Video Case Studies,,Types of Disruptive Behavior Disorders,https://www.youtube.com/watch?v=qTHy6yu1ffY,Module 3: ADHD and Disruptive Behaviors,3,12th,English/Hindi
10311,Special Education,Special Needs Video Case Studies,,A Collaborative Approach to Serving Children with Emotional/Behavioral Disorders,https://www.youtube.com/watch?v=g9wixszWxbk,Module 3: ADHD and Disruptive Behaviors,3,12th,English/Hindi
10312,Special Education,Special Needs Video Case Studies,,Stolen Childhood (2019),https://www.youtube.com/watch?v=Cprp-zhkDCM,Module 4: PANDAS/PANS and Childhood Impact,4,12th,English/Hindi
10313,Special Education,Special Needs Video Case Studies,,Looking at the Brain of PANDAS and PANS Children,https://www.youtube.com/watch?v=WzA1Pw1xwqM,Module 4: PANDAS/PANS and Childhood Impact,4,12th,English/Hindi
10314,Special Education,Special Needs Video Case Studies,,Supporting Children and Adolescents with Autism,https://www.youtube.com/watch?v=-kbo8EozmWE,Module 5: Supporting Neurodiversity,5,12th,English/Hindi
10315,Special Education,Special Needs Video Case Studies,,Supporting Children and Adolescents with Emotional and Behavioral Disorders,https://www.youtube.com/watch?v=gOmCH35FdiY,Module 5: Supporting Neurodiversity,5,12th,English/Hindi
10316,Special Education,Special Needs Video Case Studies,,Identifying behavioral disorders in children,https://www.youtube.com/watch?v=zPeZhQrBXwY,Module 5: Supporting Neurodiversity,5,12th,English/Hindi
10317,Special Education,Special Needs Video Case Studies,,“Concerned About Your Child’s Development?” in ASL,https://www.youtube.com/watch?v=uD68lmY9TWI,Module 6: Sensory Experiences and Autism,6,12th,English/Hindi
10318,Special Education,Special Needs Video Case Studies,,Santa Helps A 6-Year-Old Who Is Blind And Has Autism Feel The Spirit Of Christmas | NBC Nightly News,https://www.youtube.com/watch?v=GfeT7MfHxLQ,Module 6: Sensory Experiences and Autism,6,12th,English/Hindi
10319,Special Education,Special Needs Video Case Studies,,Santa Comes Through For North Texas Family With Blind Child With Autism,https://www.youtube.com/watch?v=MMOdsg3wL6s,Module 6: Sensory Experiences and Autism,6,12th,English/Hindi
10320,Special Education,Special Needs Video Case Studies,,Sierra Day trial day 3 - Mother on trial for abuse & murder of daughter,https://www.youtube.com/watch?v=xxlo4pls8bg,Module 7: Justice for Anaya,7,12th,English/Hindi
10321,Special Education,Special Needs Video Case Studies,,"Deputy M.E. says Aniya died slowly, withered away",https://www.youtube.com/watch?v=zEzGBiWMDcU,Module 7: Justice for Anaya,7,12th,English/Hindi
10322,Special Education,Special Needs Video Case Studies,,Evil Mother Realizes She's Going To Jail Forever,https://www.youtube.com/watch?v=ASXBrzKSjTk,Module 7: Justice for Anaya,7,12th,English/Hindi
10323,Special Education,Special Needs Video Case Studies,,Rallying for Anaya Rucker - Extreme Makeover: Home Edition - Reality TV,https://www.youtube.com/watch?v=dVhuRXicdjc,Module 8: Community Support and Childcare,8,12th,English/Hindi
10324,Special Education,Special Needs Video Case Studies,,Making childcare availability a priority in SC,https://www.youtube.com/watch?v=C1fLZylsm48,Module 8: Community Support and Childcare,8,12th,English/Hindi
10325,Special Education,Special Needs Video Case Studies,,"US suffering from lack of affordable, quality child care",https://www.youtube.com/watch?v=UyfwjTZsHA0,Module 8: Community Support and Childcare,8,12th,English/Hindi
10326,Special Education,Special Needs Video Case Studies,,Supporting South Carolina's Child Care Providers,https://www.youtube.com/watch?v=ezgEXfQkf1w,Module 8: Community Support and Childcare,8,12th,English/Hindi
10327,Special Education,Special Needs Video Case Studies,,South Carolina Professor Carries Baby for Student Who Couldn't Find Child Care,https://www.youtube.com/watch?v=aal1uyY5-8w,Module 9: Accessibility in Education,9,12th,English/Hindi
10328,Special Education,Special Needs Video Case Studies,,Trident Technical College TV ad 1,https://www.youtube.com/watch?v=0bVwthsHV1o,Module 9: Accessibility in Education,9,12th,English/Hindi
