Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
5013,Supply Chain Management,Supply Chain Analytics,76hrs 13min,Introduction to Supply Chain Management,https://www.youtube.com/watch?v=raqi4gjMLm8,Module 1: Introduction and Evolution of Supply Chain Management,1,12th,English/Hindi
5014,Supply Chain Management,Supply Chain Analytics,,Evolution of Supply Chain Management,https://www.youtube.com/watch?v=abBvHqf26H8,Module 1: Introduction and Evolution of Supply Chain Management,1,12th,English/Hindi
5015,Supply Chain Management,Supply Chain Analytics,,Analytics in Supply Chain Management,https://www.youtube.com/watch?v=9FDKcxea3h8,Module 1: Introduction and Evolution of Supply Chain Management,1,12th,English/Hindi
5016,Supply Chain Management,Supply Chain Analytics,,Supply Chain Planning,https://www.youtube.com/watch?v=l9mebE3CGBQ,Module 1: Introduction and Evolution of Supply Chain Management,1,12th,English/Hindi
5017,Supply Chain Management,Supply Chain Analytics,,Different views of Supply Chain,https://www.youtube.com/watch?v=7pxWGK3WDR0,Module 2: Analytics and Planning in Supply Chain Management,2,12th,English/Hindi
5018,Supply Chain Management,Supply Chain Analytics,,Supply Chain Strategy,https://www.youtube.com/watch?v=YOFr3m1IO4c,Module 2: Analytics and Planning in Supply Chain Management,2,12th,English/Hindi
5019,Supply Chain Management,Supply Chain Analytics,,Supply Chain Drivers,https://www.youtube.com/watch?v=ZiUCB6HDc-8,Module 2: Analytics and Planning in Supply Chain Management,2,12th,English/Hindi
5020,Supply Chain Management,Supply Chain Analytics,,Developing Supply Chain Strategy,https://www.youtube.com/watch?v=53frk1WtMpg,Module 3: Supply Chain Views and Strategies,3,12th,English/Hindi
5021,Supply Chain Management,Supply Chain Analytics,,Strategic Fit in Supply Chain,https://www.youtube.com/watch?v=CBLbXTypInA,Module 3: Supply Chain Views and Strategies,3,12th,English/Hindi
5022,Supply Chain Management,Supply Chain Analytics,,Demand Forecasting in Supply Chain,https://www.youtube.com/watch?v=tCnFx6VfPUA,Module 3: Supply Chain Views and Strategies,3,12th,English/Hindi
5023,Supply Chain Management,Supply Chain Analytics,,Lecture 11,https://www.youtube.com/watch?v=-x3HAIzL1SQ,Module 4: Supply Chain Drivers and Strategic Fit,4,12th,English/Hindi
5024,Supply Chain Management,Supply Chain Analytics,,Lecture 12,https://www.youtube.com/watch?v=qpqLPEjMONE,Module 4: Supply Chain Drivers and Strategic Fit,4,12th,English/Hindi
5025,Supply Chain Management,Supply Chain Analytics,,Measures of Forecasting Errors,https://www.youtube.com/watch?v=33FsjodyvFg,Module 4: Supply Chain Drivers and Strategic Fit,4,12th,English/Hindi
5026,Supply Chain Management,Supply Chain Analytics,,Tracking Signal and Seasonality Models,https://www.youtube.com/watch?v=E8D1h_CbI7o,Module 5: Demand Forecasting in Supply Chain,5,12th,English/Hindi
