Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
3637,Accounting,Auditing,50hrs 8min,1. Auditing Subject - Introduction Class,https://www.youtube.com/watch?v=6noTz7sA9xk,Module 1: Introduction to Auditing,1
3638,Accounting,Auditing,,"2. ""Objects Of An Audit"" from Auditing Subject - Important Topic",https://www.youtube.com/watch?v=iIlbFAdbwOI,Module 1: Introduction to Auditing,1
3639,Accounting,Auditing,,"3. ""Auditor is a Watch Dog - But not Blood Hound"" Explain? Important Concept From Auditing Subject",https://www.youtube.com/watch?v=p7m9h5JnoTc,Module 1: Introduction to Auditing,1
3640,Accounting,Auditing,,4. Qualities Of An Auditor from Auditing Subject,https://www.youtube.com/watch?v=3fki55k3Hms,Module 1: Introduction to Auditing,1
3641,Accounting,Auditing,,"5. ""Basic Principles Governing An Audit"" from Auditing Subject",https://www.youtube.com/watch?v=JGjc-zUS5XM,Module 2: Objectives and Principles of Auditing,2
3642,Accounting,Auditing,,6. Advantages of an Audit from Auditing Subject,https://www.youtube.com/watch?v=-IV28nF3hzw,Module 2: Objectives and Principles of Auditing,2
3643,Accounting,Auditing,,"7. "" Limitations Of An Audit"" from Auditing Subject",https://www.youtube.com/watch?v=PaL4D61SJs0,Module 2: Objectives and Principles of Auditing,2
3644,Accounting,Auditing,,"8. ""Types Of Audit - 100% Expected Question"" from Auditing Subject",https://www.youtube.com/watch?v=lidCD2nWcTM,Module 3: Auditor's Role and Responsibilities,3
3645,Accounting,Auditing,,"9. ""Appointment Of An Auditor"" - Most Expected Question from Auditing Subject",https://www.youtube.com/watch?v=K7NPq8erz1g,Module 3: Auditor's Role and Responsibilities,3
3646,Accounting,Auditing,,"10. ""Removal & Resignation Of an Auditor"" - Most Expected Question from Auditing",https://www.youtube.com/watch?v=1saVkZIaGio,Module 3: Auditor's Role and Responsibilities,3
3647,Accounting,Auditing,,"11. "" Rights  Of The Company Auditor"" - Most Expected Question from Auditing Subject",https://www.youtube.com/watch?v=o-NMiSdEzwY,Module 4: Types and Appointment of Auditors,4
3648,Accounting,Auditing,,"12. ""Duties Of The Company Auditor"" - Most Expected Question From Auditing Subject",https://www.youtube.com/watch?v=odHySxKDPrU,Module 4: Types and Appointment of Auditors,4
3649,Accounting,Auditing,,"13. ""Civil & Criminal Liabilities Of An  Auditor"" - Most Important Question from Auditing Subject",https://www.youtube.com/watch?v=1BXy2nGsHqM,Module 4: Types and Appointment of Auditors,4
3650,Accounting,Auditing,,"14. Qualification, Disqualification & Remuneration Of An Auditor from Auditing Subject",https://www.youtube.com/watch?v=bl9TCdmKxfU,"Module 5: Rights, Duties, and Liabilities of Auditors",5
