Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
11408,Adult Education,Classroom Activities for Adult ESL Learners,14hrs 3min,Adult ESL Activities: Concentration (short version),https://www.youtube.com/watch?v=BZ0HSsPGikw,Module 1: Icebreakers,1
11409,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities: Walking Dictation (full version),https://www.youtube.com/watch?v=Bu1LSIv60wM,Module 1: Icebreakers,1
11410,Adult Education,Classroom Activities for Adult ESL Learners,,"Adult ESL Activities: Walk, Talk, Trade (short version)",https://www.youtube.com/watch?v=U3wVnw2xZNc,Module 1: Icebreakers,1
11411,Adult Education,Classroom Activities for Adult ESL Learners,,"Adult ESL Activities: Walk, Talk, Trade (full version)",https://www.youtube.com/watch?v=wc6nCyBrRjU,Module 1: Icebreakers,1
11412,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities Total Physical Response (TPR) (short version),https://www.youtube.com/watch?v=Tzx7T2WFvKs,Module 2: Active Listening & Speaking,2
11413,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities: Total Physical Response (TPR) (full version),https://www.youtube.com/watch?v=3LdIYEIRuoc,Module 2: Active Listening & Speaking,2
11414,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities: Post-It Chart (full version),https://www.youtube.com/watch?v=XGfeM2gPBeQ,Module 2: Active Listening & Speaking,2
11415,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities: Jigsaw Reading (full version),https://www.youtube.com/watch?v=b_NI4GlOi_k,Module 2: Active Listening & Speaking,2
11416,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities: Exit Ticket (full version),https://www.youtube.com/watch?v=AI5JCcJVJZs,Module 3: Vocabulary Building,3
11417,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities: Concentric Circles (full version),https://www.youtube.com/watch?v=HrRpm9qacBg,Module 3: Vocabulary Building,3
11418,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities: Conversation Queue (full version),https://www.youtube.com/watch?v=qXeXYVGS6sE,Module 3: Vocabulary Building,3
11419,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities: Ball Toss (full version),https://www.youtube.com/watch?v=rlViTMRLNMA,Module 4: Reading and Comprehension,4
11420,Adult Education,Classroom Activities for Adult ESL Learners,,Adult ESL Activities: Substitution Drill (full version),https://www.youtube.com/watch?v=iu4EsXz0oZw,Module 4: Reading and Comprehension,4
