Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7067,Anthropology,Ethnography Playlist,0hrs 314min,Rage Against The Machine - Killing In the Name (Official HD Video),https://www.youtube.com/watch?v=bWXazVhlyxQ,Module 1: Anger and Rebellion,1.1 Rage Against The Machine - Killing In the Name
7068,Anthropology,Ethnography Playlist,,Metallica: One (Official Music Video),https://www.youtube.com/watch?v=WM8bTdBs-cw,Module 1: Anger and Rebellion,1.2 Metallica: One
7069,Anthropology,Ethnography Playlist,,Foo Fighters - My Hero (Official HD Video),https://www.youtube.com/watch?v=EqWRaAF6_WY,Module 1: Anger and Rebellion,1.3 Foo Fighters - My Hero
7070,Anthropology,Ethnography Playlist,,Slayer ~ Angel of Death (Lyrics),https://www.youtube.com/watch?v=K6_zsJ8KPP0,Module 1: Anger and Rebellion,1.4 Slayer ~ Angel of Death (Lyrics)
7071,Anthropology,Ethnography Playlist,,"Bach, Toccata and Fugue in D minor, organ",https://www.youtube.com/watch?v=ipzR9bhei_o,Module 2: Darkness and Transcendence,"2.1 Bach, Toccata and Fugue in D minor, organ"
7072,Anthropology,Ethnography Playlist,,Slayer - Seasons In The Abyss,https://www.youtube.com/watch?v=rvuO2EvCTAE,Module 2: Darkness and Transcendence,2.2 Slayer - Seasons In The Abyss
7073,Anthropology,Ethnography Playlist,,stairway  to heaven backwards,https://www.youtube.com/watch?v=jbNqeDr5mlQ,Module 2: Darkness and Transcendence,2.3 Stairway to Heaven Backwards
7074,Anthropology,Ethnography Playlist,,Cannibal Corpse - Meat Hook Sodomy,https://www.youtube.com/watch?v=d-4ogXo7UU4,Module 2: Darkness and Transcendence,2.4 Cannibal Corpse - Meat Hook Sodomy
7075,Anthropology,Ethnography Playlist,,Slayer - Disciple,https://www.youtube.com/watch?v=tS0mQ25ezq4,Module 3: Brutality and Disillusionment,3.1 Slayer - Disciple
7076,Anthropology,Ethnography Playlist,,Opeth - The Devil's Orchard [OFFICIAL VIDEO],https://www.youtube.com/watch?v=FxvN_GxgpF8,Module 3: Brutality and Disillusionment,3.2 Opeth - The Devil's Orchard
7077,Anthropology,Ethnography Playlist,,Testament - Into The Pit,https://www.youtube.com/watch?v=ePEFBxDGRw8,Module 3: Brutality and Disillusionment,3.3 Testament - Into The Pit
