Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7679,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,106hrs 15min,Module 01 - Lecture 01,https://www.youtube.com/watch?v=_k3yR0JqcTQ,Module 1: Module 01 - Lecture 01,1
7680,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 01 - Lecture 02,https://www.youtube.com/watch?v=n2TA1zANbTA,Module 1: Module 01 - Lecture 02,1
7681,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 01 - Lecture 03,https://www.youtube.com/watch?v=m1m5XKq7wNs,Module 1: Module 01 - Lecture 03,1
7682,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 01 - Lecture 04,https://www.youtube.com/watch?v=R0JR3yEe2jU,Module 1: Module 01 - Lecture 04,1
7683,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 02 - Lecture 01 Building internal electrical distribution system,https://www.youtube.com/watch?v=1hXv_Cjp1sY,Module 2: Module 02 - Lecture 01 Building internal electrical distribution system,2
7684,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,"Module 2 - Lecture 02 UPS, Server Power requirements, Wiring Systems",https://www.youtube.com/watch?v=gwwzAjswjxo,"Module 2: Module 2 - Lecture 02 UPS, Server Power requirements, Wiring Systems",2
7685,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 02 - Lecture 03,https://www.youtube.com/watch?v=SdP4SicIo80,Module 2: Module 02 - Lecture 03,2
7686,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 02 - Lecture 04,https://www.youtube.com/watch?v=3JyGFNn0QUk,Module 2: Module 02 - Lecture 04,2
7687,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 03 Session 01 Electrical Services & Illumination,https://www.youtube.com/watch?v=hfQoBpQdQ1o,Module 3: Module 03 Session 01 Electrical Services & Illumination,3
7688,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 03 Session 02 Electrical services & Illumination,https://www.youtube.com/watch?v=EVhKzyNRY_g,Module 3: Module 03 Session 02 Electrical services & Illumination,3
7689,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 04 - Session 01 - Illumination Fundamentals 1,https://www.youtube.com/watch?v=paR22gUSZbg,Module 4: Module 04 - Session 01 - Illumination Fundamentals 1,4
7690,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 04 Session 02 -  Illumination Fundamentals  2,https://www.youtube.com/watch?v=TP9YUvdLzZA,Module 4: Module 04 Session 02 -  Illumination Fundamentals  2,4
7691,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 4 Session 03 Illumination lighting methods  1,https://www.youtube.com/watch?v=ymQD3xjHupc,Module 4: Module 4 Session 03 Illumination lighting methods  1,4
7692,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 04 Session 04 Preparation of lighting layout,https://www.youtube.com/watch?v=KBCnIPvnd3o,Module 4: Module 04 Session 04 Preparation of lighting layout,4
7693,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 05 - Lecture 01 Extra Low Voltage Systems  1,https://www.youtube.com/watch?v=LoAPwu6CLCs,Module 5: Module 05 - Lecture 01 Extra Low Voltage Systems  1,5
7694,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 05 Lecture 02 Extra Low Voltage Systems 2 Illumination,https://www.youtube.com/watch?v=GLCn6zbbLxI,Module 5: Module 05 Lecture 02 Extra Low Voltage Systems 2 Illumination,5
7695,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 05 Lecture 03  Electrical Layout Design,https://www.youtube.com/watch?v=NqRslys7__k,Module 5: Module 05 Lecture 03  Electrical Layout Design,5
7696,Architecture,18ARC53 - Building Services-II: Electrical and Illuminations,,Module 05 Lecture 04 Load estimation,https://www.youtube.com/watch?v=Gvxc9Dp8sEc,Module 5: Module 05 Lecture 04 Load estimation,5
