Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7594,Architecture,Interior Design Course,6hrs 18min,Interior Design Course in Hindi with English subtitles,https://www.youtube.com/watch?v=8GzNcg1pi9Y,Module 1: Introduction to Interior Design,1
7595,Architecture,Interior Design Course,,Elements of Design (Line) in Hindi,https://www.youtube.com/watch?v=qW7KxKZsCRk,Module 1: Introduction to Interior Design,1
7596,Architecture,Interior Design Course,,Elements of design (Light) in Hindi,https://www.youtube.com/watch?v=ijn12M_pUDg,Module 1: Introduction to Interior Design,1
7597,Architecture,Interior Design Course,,Elements of Design (Shape & Form) in Hindi,https://www.youtube.com/watch?v=ITloewXMT1w,Module 1: Introduction to Interior Design,1
7598,Architecture,Interior Design Course,,Elements of design (Color) Interior design course Online,https://www.youtube.com/watch?v=D5QZAxRW-JE,Module 2: Elements of Design - Line & Light,2
7599,Architecture,Interior Design Course,,Elements of Design (Pattern) in Hindi Pattern beauty review,https://www.youtube.com/watch?v=Vsb8hAIqy0o,Module 2: Elements of Design - Line & Light,2
7600,Architecture,Interior Design Course,,Elements of Design (Texture) in Hindi,https://www.youtube.com/watch?v=uFO7TbtkshM,Module 2: Elements of Design - Line & Light,2
7601,Architecture,Interior Design Course,,Elements of Design (Space) in Hindi,https://www.youtube.com/watch?v=pkBTzGnhNbU,"Module 3: Elements of Design - Shape, Form & Color",3
7602,Architecture,Interior Design Course,,Principles of Design (Balance) in Interiors (Hindi),https://www.youtube.com/watch?v=3smW5xGJJD4,"Module 3: Elements of Design - Shape, Form & Color",3
7603,Architecture,Interior Design Course,,Principles of Design (Rhythm & Repetition) in Interiors (Hindi),https://www.youtube.com/watch?v=n7XTPwp0k5o,"Module 3: Elements of Design - Shape, Form & Color",3
7604,Architecture,Interior Design Course,,Principles of Design (Focus) in Interiors (Hindi),https://www.youtube.com/watch?v=QGk-fCOf0Pc,Module 4: Elements of Design - Pattern & Texture,4
7605,Architecture,Interior Design Course,,Principles of Design (Scale & Proportion) in Interiors (Hindi),https://www.youtube.com/watch?v=p3B3Bdl2TSM,Module 4: Elements of Design - Pattern & Texture,4
7606,Architecture,Interior Design Course,,Principles of Design (Contrast) in Interiors (Hindi),https://www.youtube.com/watch?v=A2rrVB_Cv8I,Module 4: Elements of Design - Pattern & Texture,4
7607,Architecture,Interior Design Course,,Interior Design Styles (Costal Chic) In Hindi,https://www.youtube.com/watch?v=xj6wVnw8n8s,Module 5: Elements of Design - Space,5
7608,Architecture,Interior Design Course,,Interior Design Styles (Scandinavian) In Hindi,https://www.youtube.com/watch?v=xVV-DjyJqKE,Module 5: Elements of Design - Space,5
7609,Architecture,Interior Design Course,,Interior Design Styles (Traditional) In Hindi,https://www.youtube.com/watch?v=oHKmbyCcFnw,Module 5: Elements of Design - Space,5
7610,Architecture,Interior Design Course,,Interior Design Styles (Contemporary) In Hindi,https://www.youtube.com/watch?v=htPO2_sTzBc,Module 6: Principles of Design - Balance & Rhythm,6
7611,Architecture,Interior Design Course,,Interior Design Styles (Industrial) In Hindi,https://www.youtube.com/watch?v=JIeiiL-DTEo,Module 6: Principles of Design - Balance & Rhythm,6
7612,Architecture,Interior Design Course,,Interior Design Styles (Zen) In Hindi,https://www.youtube.com/watch?v=tbasZfUNq4c,Module 6: Principles of Design - Balance & Rhythm,6
7613,Architecture,Interior Design Course,,Interior Design Styles (Modern) In Hindi,https://www.youtube.com/watch?v=QiHJVP6oFpw,Module 7: Principles of Design - Focus & Scale,7
