Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
11763,Artificial Intelligence,Cognitive Computing,17hrs 19min,1. Cognitive Computing - Foundations,https://www.youtube.com/watch?v=DnucVjA10fM,Module 1: Introduction to Cognitive Computing,1
11764,Artificial Intelligence,Cognitive Computing,,"Session 2 - Cognitive Computing - Applications, What makes a system cognitive, Attributes",https://www.youtube.com/watch?v=8sYC20D_Vfs,Module 1: Foundations of Cognitive Computing,1
11765,Artificial Intelligence,Cognitive Computing,,"Session 3 - Gaining Insights from Data, Why is it important, How to gain insights?",https://www.youtube.com/watch?v=CZtFOVIOhRo,Module 1: Applications of Cognitive Computing,1
11766,Artificial Intelligence,Cognitive Computing,,Session:4 - AI as a foundation for Cognitive Computing,https://www.youtube.com/watch?v=nwe9Cr8QXIc,Module 1: What Makes a System Cognitive?,1
11767,Artificial Intelligence,Cognitive Computing,,Session 5  - Understanding Cognition,https://www.youtube.com/watch?v=ipkyUxCCSS0,Module 2: Data and Insights,2
11768,Artificial Intelligence,Cognitive Computing,,Session 6  - Two Systems of Judgment and Choice - Cognitive Computing,https://www.youtube.com/watch?v=Sg3nsHgjyGw,Module 2: Gaining Insights from Data,2
11769,Artificial Intelligence,Cognitive Computing,,Session 7  - Understanding Complex Relationships Between Systems,https://www.youtube.com/watch?v=oL6RTMflHXA,Module 2: AI as a Foundation for Cognitive Computing,2
11770,Artificial Intelligence,Cognitive Computing,,Session 8 - The Elements of a Cognitive System,https://www.youtube.com/watch?v=EKyiW3Uyz3w,Module 3: Understanding Cognition and Judgment,3
11771,Artificial Intelligence,Cognitive Computing,,Session 9 - Design Principles for Cognitive Systems,https://www.youtube.com/watch?v=m5BVG6ENvkw,Module 3: Understanding Cognition,3
11772,Artificial Intelligence,Cognitive Computing,,"Session 10 - Building the corpus - Guidelines, Must know points",https://www.youtube.com/watch?v=OrFlxQxJCzg,Module 3: Two Systems of Judgment and Choice,3
11773,Artificial Intelligence,Cognitive Computing,,Session 11 - Bringing Data into the Cognitive System,https://www.youtube.com/watch?v=FI9VvYgnPks,Module 4: Cognitive Systems,4
11774,Artificial Intelligence,Cognitive Computing,,Session 12 -  Machine Learning for cognitive computing,https://www.youtube.com/watch?v=JGQM6CjxX_M,Module 4: Understanding Complex Relationships Between Systems,4
11775,Artificial Intelligence,Cognitive Computing,,Session 13 - Hypotheses and Scoring,https://www.youtube.com/watch?v=I8l9gyJa_Os,Module 4: The Elements of a Cognitive System,4
11776,Artificial Intelligence,Cognitive Computing,,14. Relationship between Big Data and Cognitive Computing,https://www.youtube.com/watch?v=yHo-nGRvf3I,Module 4: Design Principles for Cognitive Systems,4
11777,Artificial Intelligence,Cognitive Computing,,15. Analytical Data Warehouses / Hadoop,https://www.youtube.com/watch?v=qUz5UDuT64U,Module 5: Building a Cognitive System,5
11778,Artificial Intelligence,Cognitive Computing,,16. Representing Knowledge In Taxonomies And Ontologies,https://www.youtube.com/watch?v=oUNlNPa1WYc,Module 5: Building the Corpus,5
11779,Artificial Intelligence,Cognitive Computing,,17. Advanced Analytics for the Cognitive Computing,https://www.youtube.com/watch?v=U3NUDcWVRlM,Module 5: Bringing Data into the Cognitive System,5
11780,Artificial Intelligence,Cognitive Computing,,19. Role of Cloud Computing in the Cognitive Computing,https://www.youtube.com/watch?v=w-1dQAPEW5E,Module 6: Machine Learning and Analytics,6
11781,Artificial Intelligence,Cognitive Computing,,20. Business implications of Cognitive Computing,https://www.youtube.com/watch?v=cdihWsY7bDY,Module 6: Machine Learning for Cognitive Computing,6
11782,Artificial Intelligence,Cognitive Computing,,21. Making Cognitive Computing a Reality,https://www.youtube.com/watch?v=SkS5mXAgVSs,Module 6: Hypotheses and Scoring,6
11783,Artificial Intelligence,Cognitive Computing,,22. Building A Cognitive Healthcare Application,https://www.youtube.com/watch?v=x4vxgweMOZc,Module 7: Advanced Analytics for Cognitive Computing,7
11784,Artificial Intelligence,Cognitive Computing,,23. Learning from Patterns in Healthcare Data,https://www.youtube.com/watch?v=Fp3JugEMoc8,Module 7: Role of Cloud Computing in Cognitive Computing,7
11785,Artificial Intelligence,Cognitive Computing,,24. Building on a Foundation of Big Data Analytics – for healthcare,https://www.youtube.com/watch?v=YXXORb44Ed8,Module 8: Business Implications and Real-World Applications,8
