Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
11480,Artificial Intelligence,Machine Learning,21hrs 0min,Lec-1: Introduction to Data Science & ML | Roadmap to Learn Data Science & ML,https://www.youtube.com/watch?v=kz184QIO4ZQ,Module 1: Introduction to Data Science & ML,1
11481,Artificial Intelligence,Machine Learning,,Lec-2: Supervised Learning Algorithms | Machine Learning,https://www.youtube.com/watch?v=LKlOH8OLLcw,Module 1: Supervised Learning Algorithms,1
11482,Artificial Intelligence,Machine Learning,,Lec-3: Introduction to Regression with Real Life Examples,https://www.youtube.com/watch?v=cHT-qLnRm0E,Module 1: Introduction to Regression,1
11483,Artificial Intelligence,Machine Learning,,Lec-4: Linear Regression📈 with Real life examples & Calculations | Easiest Explanation,https://www.youtube.com/watch?v=zUQr6HAAKp4,Module 1: Linear Regression,1
11484,Artificial Intelligence,Machine Learning,,Lec-5: Logistic Regression with Simplest & Easiest Example | Machine Learning,https://www.youtube.com/watch?v=r8OjlgWpAI0,Module 2: Logistic Regression,2
11485,Artificial Intelligence,Machine Learning,,Lec-6: Linear Regression Vs. Logistic Regression | Supervised Learning | Machine Learning,https://www.youtube.com/watch?v=BVP1EDKb6_g,Module 2: Linear Regression Vs. Logistic Regression,2
11486,Artificial Intelligence,Machine Learning,,Lec-7: kNN Classification with Real Life Example | Movie Imdb Example | Supervised Learning,https://www.youtube.com/watch?v=O1nWXTXcCwI,Module 2: kNN Classification,2
11487,Artificial Intelligence,Machine Learning,,Lec-8: Naive Bayes Classification Full Explanation with examples | Supervised Learning,https://www.youtube.com/watch?v=GBMMtXRiQX0,Module 2: Naive Bayes Classification,2
11488,Artificial Intelligence,Machine Learning,,Lec-9: Introduction to Decision Tree 🌲 with Real life examples,https://www.youtube.com/watch?v=mvveVcbHynE,Module 3: Introduction to Decision Tree,3
11489,Artificial Intelligence,Machine Learning,,Lec-10: Decision Tree 🌲 ID3 Algorithm with Example & Calculations 🧮,https://www.youtube.com/watch?v=CWzpomtLqqs,Module 3: Decision Tree ID3 Algorithm,3
11490,Artificial Intelligence,Machine Learning,,Conditional Probability with Easiest Explanation & Example,https://www.youtube.com/watch?v=dQ6RL8qe320,Module 3: Conditional Probability,3
11491,Artificial Intelligence,Machine Learning,,Introduction to Ensemble Learning with Real Life Examples | Machine⚙️ Learning,https://www.youtube.com/watch?v=qQjOWmf8I_I,Module 3: Introduction to Ensemble Learning,3
11492,Artificial Intelligence,Machine Learning,,K-mean Clustering with Numerical Example | Unsupervised Learning | Machine🖥️ Learning 🙇‍♂️🙇,https://www.youtube.com/watch?v=5FpsGnkbEpM,Module 4: K-mean Clustering,4
11493,Artificial Intelligence,Machine Learning,,Hierarchical Clustering | Agglomerative vs Divisive with examples,https://www.youtube.com/watch?v=zxQF8Rmpk1M,Module 4: Hierarchical Clustering,4
11494,Artificial Intelligence,Machine Learning,,Single Linkage Clustering | Agglomerative Clustering | Hierarchical Clustering,https://www.youtube.com/watch?v=pbTQQCA9Xs0,Module 4: Single Linkage Clustering,4
11495,Artificial Intelligence,Machine Learning,,Complete Linkage⛓️ Clustering with Example | Clustering in Unsupervised Learning | ML,https://www.youtube.com/watch?v=Ufzq9oLhzX0,Module 4: Complete Linkage Clustering,4
11496,Artificial Intelligence,Machine Learning,,K-medoids Clustering with Numerical Example | Machine Learning,https://www.youtube.com/watch?v=FosEwkYIGmU,Module 5: K-medoids Clustering,5
11497,Artificial Intelligence,Machine Learning,,Random Forest 🌳 in Machine Learning 🧑‍💻👩‍💻,https://www.youtube.com/watch?v=DXqxXe3rep0,Module 5: Random Forest in Machine Learning,5
11498,Artificial Intelligence,Machine Learning,,kNN for Classified & Regression with Easiest Explanation | Machine Learning 🤖🙇,https://www.youtube.com/watch?v=zqQ_pi6j2jE,Module 5: kNN for Classified & Regression,5
11499,Artificial Intelligence,Machine Learning,,"Mean, Median, Mode with Real Life examples | Machine Learning",https://www.youtube.com/watch?v=keLk7odKCsE,"Module 5: Mean, Median, Mode",5
11500,Artificial Intelligence,Machine Learning,,Standard Deviation & Variance with Examples,https://www.youtube.com/watch?v=D9xfxOzOwrQ,Module 6: Standard Deviation & Variance,6
11501,Artificial Intelligence,Machine Learning,,Bagging/Bootstrap Aggregating in Machine Learning with examples,https://www.youtube.com/watch?v=Oq27arfMwA0,Module 6: Bagging/Bootstrap Aggregating,6
11502,Artificial Intelligence,Machine Learning,,Supervised vs Unsupervised learning with real life example,https://www.youtube.com/watch?v=fM8XdC1EweU,Module 6: Supervised vs Unsupervised learning,6
11503,Artificial Intelligence,Machine Learning,,"Python code for Mean, Median, Mode, SD, Variance and Range",https://www.youtube.com/watch?v=oYKuCCxlWbk,"Module 6: Python code for Mean, Median, Mode, SD",6
11504,Artificial Intelligence,Machine Learning,,How Weights are Increased in Boosting | Ensemble Learning,https://www.youtube.com/watch?v=nr7gNJ95geI,Module 7: How Weights are Increased in Boosting,7
11505,Artificial Intelligence,Machine Learning,,BAGGING vs. BOOSTING vs STACKING in Ensemble Learning | Machine Learning,https://www.youtube.com/watch?v=j9jGLwPa6_E,Module 7: BAGGING vs. BOOSTING vs STACKING,7
11506,Artificial Intelligence,Machine Learning,,Bayes Theorem & Total Probability with Examples,https://www.youtube.com/watch?v=SktJqrYereQ,Module 7: Bayes Theorem & Total Probability,7
11507,Artificial Intelligence,Machine Learning,,Cross Validation in Machine Learning with Examples,https://www.youtube.com/watch?v=v6DtYYafrWQ,Module 7: Cross Validation in Machine Learning,7
11508,Artificial Intelligence,Machine Learning,,Pearson's Correlation Coefficient | Supervised Learning | Data Science & Machine Learning,https://www.youtube.com/watch?v=9Zzqb82lkcU,Module 8: Pearson's Correlation Coefficient,8
11509,Artificial Intelligence,Machine Learning,,kNN(k Nearest Neighbour) Numerical Example | Supervised Learning | Machine Learning,https://www.youtube.com/watch?v=mjoAoX--2fg,Module 8: kNN(k Nearest Neighbour) Numerical Example,8
11510,Artificial Intelligence,Machine Learning,,"Decision Tree 🌳 Example | Calculate Entropy, Information ℹ️ Gain | Supervised Learning",https://www.youtube.com/watch?v=DnhVLfjlGXE,Module 8: Decision Tree Example,8
11511,Artificial Intelligence,Machine Learning,,Single Linkage Clustering Example | Unsupervised Learning | Machine Learning,https://www.youtube.com/watch?v=CcPzgFFE_pY,Module 8: Single Linkage Clustering Example,8
11512,Artificial Intelligence,Machine Learning,,Token & Parameters in LLama3 META Models | 8B & 70B Parameters Model | GPT model,https://www.youtube.com/watch?v=UcFhiOtNHsQ,Module 9: Token & Parameters in LLama3 META Models,9
11513,Artificial Intelligence,Machine Learning,,What is Data Preprocessing & Data Cleaning | Various Techniques with Example,https://www.youtube.com/watch?v=tDu_KIlXaB0,Module 9: What is Data Preprocessing & Data Cleaning,9
11514,Artificial Intelligence,Machine Learning,,How to Deal with Missing Values in DataSet | Data Preprocessing & Data Cleaning 🧹 Imputation Methods,https://www.youtube.com/watch?v=KfC7VfDfn8I,Module 9: How to Deal with Missing Values in DataSet,9
11515,Artificial Intelligence,Machine Learning,,kNN Imputation with Examples | Data Preprocessing and Data Cleaning 🧹,https://www.youtube.com/watch?v=bRWNJjzrZ-w,Module 9: kNN Imputation with Examples,9
11516,Artificial Intelligence,Machine Learning,,Fit() & Transform() Method | Data Preprocessing | Machine Learning,https://www.youtube.com/watch?v=f3n-SZzPu7U,Module 10: Fit() & Transform() Method,10
11517,Artificial Intelligence,Machine Learning,,Feature Extraction in Data preprocessing | Machine Learning,https://www.youtube.com/watch?v=lzWcVVCXMfo,Module 10: Feature Extraction in Data preprocessing,10
