Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
6152,Biotechnology,BioInformatics: Algorithms and Applications,54hrs 12min,Concepts and importance of Bioinformatics,https://www.youtube.com/watch?v=sREv4rfpbCY,Module 1: Introduction to Bioinformatics,1
6153,Biotechnology,BioInformatics: Algorithms and Applications,,Complexities in biological systems,https://www.youtube.com/watch?v=YSh6vm68EoM,Module 1: Introduction to Bioinformatics,1
6154,Biotechnology,BioInformatics: Algorithms and Applications,,DNA sequence analysis,https://www.youtube.com/watch?v=IaBQBiOID1c,Module 1: Introduction to Bioinformatics,1
6155,Biotechnology,BioInformatics: Algorithms and Applications,,Sequence based parameters,https://www.youtube.com/watch?v=PETpnhcm3-Y,Module 1: Introduction to Bioinformatics,1
6156,Biotechnology,BioInformatics: Algorithms and Applications,,Database,https://www.youtube.com/watch?v=58gXNydw4KI,Module 2: DNA Analysis,2
6157,Biotechnology,BioInformatics: Algorithms and Applications,,Database categories,https://www.youtube.com/watch?v=gh4tJfJCKFo,Module 2: DNA Analysis,2
6158,Biotechnology,BioInformatics: Algorithms and Applications,,Protein structure and function,https://www.youtube.com/watch?v=lO6NvkC0GjU,Module 2: DNA Analysis,2
6159,Biotechnology,BioInformatics: Algorithms and Applications,,Protein structure and function II,https://www.youtube.com/watch?v=fuHoKwAlS20,Module 3: Protein Structure and Function,3
6160,Biotechnology,BioInformatics: Algorithms and Applications,,Protein sequence databases,https://www.youtube.com/watch?v=RkuvqFfNAis,Module 3: Protein Structure and Function,3
6161,Biotechnology,BioInformatics: Algorithms and Applications,,Protein sequence databases II,https://www.youtube.com/watch?v=EyAjMVyCjWw,Module 3: Protein Structure and Function,3
6162,Biotechnology,BioInformatics: Algorithms and Applications,,Pairwise alignment,https://www.youtube.com/watch?v=yAjo_x9ylhs,Module 4: Protein Sequence Databases,4
6163,Biotechnology,BioInformatics: Algorithms and Applications,,Pairwise alignment II,https://www.youtube.com/watch?v=e1mDeK61hv0,Module 4: Protein Sequence Databases,4
