Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
6062,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,209hrs 8min,Molecular Biology | Features of DNA CSIR NET June 2024 | Emotion 3.0 | IFAS L-1,https://www.youtube.com/watch?v=hR9IpioKkGE,Module 1: Introduction to DNA Replication,1
6063,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,Eukaryotic Replication | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS L-4,https://www.youtube.com/watch?v=DBgJJ1NOq1M,Module 1: Introduction to DNA Replication,1
6064,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,DNA Replication In Prokaryotic | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS L-3,https://www.youtube.com/watch?v=HtfXIB2wZzQ,Module 1: Introduction to DNA Replication,1
6065,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,Extra Chromosome | DNA Replication | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS L-5,https://www.youtube.com/watch?v=e_fYnoB3IAk,Module 1: Introduction to DNA Replication,1
6066,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,DNA Damage | DNA Mitochondrial Replication | Molecular Biology | CSIR NET June 2024 | IFAS | L-6,https://www.youtube.com/watch?v=g9AiNJ_CPPQ,Module 2: DNA Replication in Prokaryotes,2
6067,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,DNA replication | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS L-2,https://www.youtube.com/watch?v=hMHO6A0fin8,Module 2: DNA Replication in Prokaryotes,2
6068,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,Molecular Biology | Features of DNA CSIR NET June 2024 | Emotion 3.0 | IFAS L-1,https://www.youtube.com/watch?v=hR9IpioKkGE,Module 2: DNA Replication in Prokaryotes,2
6069,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,Genetic Code | Molecular Biology CSIR NET June 2024 | Emotion 3.0 | IFAS Lec 12,https://www.youtube.com/watch?v=0XFblahJWBk,Module 3: DNA Damage and Repair,3
6070,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,Prokaryotic Transcription | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS Lec 9,https://www.youtube.com/watch?v=KJ7tYRAXLWU,Module 3: DNA Damage and Repair,3
6071,Biotechnology,Complete Molecular Biology | CSIR NET Life Science June 2024 | Emotion 3.0,,DNA Repair Part-2 | Molecular Biology | CSIR NET June 2024 | Emotion 3.0 | IFAS Lec 8,https://www.youtube.com/watch?v=LtMTr73I5Yk,Module 3: DNA Damage and Repair,3
