Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
1445,Business Administration,Accounts For Beginners,53hrs 11min,1. Accounts Introduction Class For Beginners,https://www.youtube.com/watch?v=8gvsTN10_tA,Module 1: Introduction to Accounts,1
1446,Business Administration,Accounts For Beginners,,2. Book Keeping  Vs Accounting - Importance of Accounting,https://www.youtube.com/watch?v=WGaKqd9cSP4,Module 1: Introduction to Accounts,1
1447,Business Administration,Accounts For Beginners,,3. Accounting Equation In Financial Accounting,https://www.youtube.com/watch?v=wSQLHaYELvY,Module 1: Introduction to Accounts,1
1448,Business Administration,Accounts For Beginners,,4. Accounting Concepts & Conventions - Must Learn This Topic,https://www.youtube.com/watch?v=fNRXVAmkjDE,Module 1: Introduction to Accounts,1
1449,Business Administration,Accounts For Beginners,,5. Classification of Accounts  In Financial Accounting - Don't Miss This Important Class,https://www.youtube.com/watch?v=XIZ6qjotpJ4,Module 2: Bookkeeping and Accounting Equation,2
1450,Business Administration,Accounts For Beginners,,6. Learn to write Journal Entries  In Double Entry System,https://www.youtube.com/watch?v=7dCdBCATk9E,Module 2: Bookkeeping and Accounting Equation,2
1451,Business Administration,Accounts For Beginners,,7. Journal Entries - Problem Number : 1,https://www.youtube.com/watch?v=I3VYr8FRZs8,Module 2: Bookkeeping and Accounting Equation,2
1452,Business Administration,Accounts For Beginners,,8. Journal Entries : Problem Number -2,https://www.youtube.com/watch?v=H-bvNLk1ZdM,Module 3: Accounting Concepts and Classifications,3
1453,Business Administration,Accounts For Beginners,,"9. Learn To Prepare ""Ledger Accounts"" In 20 Minutes",https://www.youtube.com/watch?v=FlndzsBGI6M,Module 3: Accounting Concepts and Classifications,3
1454,Business Administration,Accounts For Beginners,,10. Accounting Process/ Accounting Cycle,https://www.youtube.com/watch?v=QkFUqB5gt5E,Module 3: Accounting Concepts and Classifications,3
1455,Business Administration,Accounts For Beginners,,11. Entire Concept Of Subsidiary Books in 12 Minutes,https://www.youtube.com/watch?v=dWHD1-3tVOY,Module 4: Journal Entries and Ledger Accounts,4
1456,Business Administration,Accounts For Beginners,,12. Single Column Cash Book - Problem No: 1,https://www.youtube.com/watch?v=_mdwUNsyx28,Module 4: Journal Entries and Ledger Accounts,4
1457,Business Administration,Accounts For Beginners,,13. Single Column  Cash Book Problem Number : 2,https://www.youtube.com/watch?v=TrH_1BaFQn8,Module 4: Journal Entries and Ledger Accounts,4
1458,Business Administration,Accounts For Beginners,,14. Double / Two Column  Cash Book - Problem Number: 1,https://www.youtube.com/watch?v=fhW5-Yk40Nc,Module 4: Journal Entries and Ledger Accounts,4
1459,Business Administration,Accounts For Beginners,,15. Double/ Two Column  Cash Book - Problem Number : 2,https://www.youtube.com/watch?v=L9tFfvhQHCo,Module 5: Introduction to Subsidiary Books,5
1460,Business Administration,Accounts For Beginners,,"16. Must Know ""Contra Entry Or Double Entry"" Before Preparing Triple Column Cash Book",https://www.youtube.com/watch?v=c8QOKAen4s4,Module 5: Introduction to Subsidiary Books,5
1461,Business Administration,Accounts For Beginners,,17. Triple  Column Cash Book - Problem Number : 1,https://www.youtube.com/watch?v=oNSjIQjTOqg,Module 5: Introduction to Subsidiary Books,5
1462,Business Administration,Accounts For Beginners,,"18. ""Triple Column Cash Book"" - Problem Number : 2",https://www.youtube.com/watch?v=V63zjHOGgw8,Module 6: Single Column Cash Book,6
1463,Business Administration,Accounts For Beginners,,"19. ""Purchases Book"" - Introduction & Problem",https://www.youtube.com/watch?v=ZSl4HUv_Nso,Module 6: Single Column Cash Book,6
1464,Business Administration,Accounts For Beginners,,"20. ""Four Subsidiary Books in One Problem"" - Purchase, Sales, Purchase Returns & Sales Returns Book",https://www.youtube.com/watch?v=XvxsVUNaoUc,Module 6: Single Column Cash Book,6
1465,Business Administration,Accounts For Beginners,,"21. Introduction of ""Trial Balance""",https://www.youtube.com/watch?v=EkfbWZzOQpA,Module 7: Double Column Cash Book,7
1466,Business Administration,Accounts For Beginners,,22. Trail Balance  Problem With Solution,https://www.youtube.com/watch?v=RzKszbqA5Vc,Module 7: Double Column Cash Book,7
1467,Business Administration,Accounts For Beginners,,"23.A Complete Introduction on "" Final Accounts"" (Financial Statements)",https://www.youtube.com/watch?v=4N0Dmzhi3Tw,Module 7: Double Column Cash Book,7
1468,Business Administration,Accounts For Beginners,,"24. ""Trading account"" - Entire Concept With Proforma & Problem With Solution",https://www.youtube.com/watch?v=k3S1N8u-Qtc,Module 8: Triple Column Cash Book,8
1469,Business Administration,Accounts For Beginners,,"25. ""Profit & Loss Account"" - Proforma & Problem With Solution",https://www.youtube.com/watch?v=NGneMwPacMs,Module 8: Triple Column Cash Book,8
1470,Business Administration,Accounts For Beginners,,26. Trading& P& L Account problem,https://www.youtube.com/watch?v=QFsToWXkqV4,Module 8: Triple Column Cash Book,8
1471,Business Administration,Accounts For Beginners,,"27. ""Balance Sheet""  - Introduction & Proforma In Final Accounts",https://www.youtube.com/watch?v=nOHlGSmU980,Module 9: Subsidiary Books - Purchases & Sales,9
1472,Business Administration,Accounts For Beginners,,"28. Simple Problem To Workout  ""Balance Sheet  "" In Final Accounts",https://www.youtube.com/watch?v=Dsj0Xgd88G4,Module 9: Subsidiary Books - Purchases & Sales,9
1473,Business Administration,Accounts For Beginners,,"29. Final  Accounts  ""Short Problems""   Part -1",https://www.youtube.com/watch?v=GzccF_OJyEA,Module 9: Subsidiary Books - Purchases & Sales,9
1474,Business Administration,Accounts For Beginners,,"30. Final  Accounts   ""Short Problems""   Part -2",https://www.youtube.com/watch?v=s1hxoMvo5XE,Module 10: Introduction to Trial Balance,10
1475,Business Administration,Accounts For Beginners,,"31. "" Final  Accounts Problem -1""      Without Adjustments",https://www.youtube.com/watch?v=Yn70n37sLxE,Module 10: Introduction to Trial Balance,10
1476,Business Administration,Accounts For Beginners,,"32. "" Final  Accounts Problem -2""      Without Adjustments",https://www.youtube.com/watch?v=pkC9unkIXxM,Module 10: Introduction to Trial Balance,10
1477,Business Administration,Accounts For Beginners,,33.Ten Important  Adjustments  In Final Accounts - Don't Miss This Talk,https://www.youtube.com/watch?v=wNMHu7lyViM,Module 11: Introduction to Final Accounts,11
1478,Business Administration,Accounts For Beginners,,34. Seven Typical Adjustments In Final Accounts,https://www.youtube.com/watch?v=aWwCNDSxIPo,Module 11: Introduction to Final Accounts,11
1479,Business Administration,Accounts For Beginners,,"35. ""Final Accounts Problem -1"" With Adjustments",https://www.youtube.com/watch?v=umttvGKOi8g,Module 12: Trading Account,12
1480,Business Administration,Accounts For Beginners,,"36. ""Final Accounts Problem - 2"" - With Adjustments",https://www.youtube.com/watch?v=TqEFvIk0uSQ,Module 12: Trading Account,12
1481,Business Administration,Accounts For Beginners,,"37. ""Final Accounts Problem - 3"" - With Adjustments",https://www.youtube.com/watch?v=BLKW8z1yNEk,Module 12: Trading Account,12
