Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
6170,Business Administration,Business analyst playlist,1110hrs 16min,Business Analyst Training | Business Analyst Full Course | Business Analyst | Intellipaat,https://www.youtube.com/watch?v=ABAL1nmORgk,Module 1: Introduction to Business Analysis,1
6171,Business Administration,Business analyst playlist,,Agile Methodology Tutorial for Beginners | Jira Tutorial | Agile Methodology Explained,https://www.youtube.com/watch?v=KNBHQ0pyaG8,Module 1: Introduction to Business Analysis,1
6172,Business Administration,Business analyst playlist,,Agile Management | Google Project Management Certificate,https://www.youtube.com/watch?v=km7n3DI5IWk,Module 1: Introduction to Business Analysis,1
6173,Business Administration,Business analyst playlist,,SQL Full Course | SQL For Beginners | Mysql Full Course | SQL Training | Simplilearn,https://www.youtube.com/watch?v=AA7i2GcTGwU,Module 1: Introduction to Business Analysis,1
6174,Business Administration,Business analyst playlist,,Data Analyst | Data Analyst Course | Data Analytics | Data Analytics Full Course 2022 | Simplilearn,https://www.youtube.com/watch?v=A1JN_UN3mYE,Module 2: Agile Methodologies,2
6175,Business Administration,Business analyst playlist,,Agile Scrum Full Course In 4 Hours | Agile Scrum Master Training | Agile Training Video |Simplilearn,https://www.youtube.com/watch?v=VFQtSqChlsk,Module 2: Agile Methodologies,2
6176,Business Administration,Business analyst playlist,,Project Management Full Course In 8 Hours | Project Management Training | Simplilearn,https://www.youtube.com/watch?v=uWPIsaYpY7U,Module 2: Agile Methodologies,2
6177,Business Administration,Business analyst playlist,,User Acceptance Testing (UAT) | Business Analyst Training,https://www.youtube.com/watch?v=J1E2M0e6Ti4,Module 3: SQL for Business Analysts,3
6178,Business Administration,Business analyst playlist,,How to plan your UAT - User Acceptance Test Plans that work! - Business Analyst Training,https://www.youtube.com/watch?v=AU8SV7091-s,Module 3: SQL for Business Analysts,3
6179,Business Administration,Business analyst playlist,,Getting the Basics - Software Architecture Introduction (part 1),https://www.youtube.com/watch?v=8UlLgOf20Ho,Module 3: SQL for Business Analysts,3
6180,Business Administration,Business analyst playlist,,Full Ethical Hacking Course - Network Penetration Testing for Beginners (2019),https://www.youtube.com/watch?v=3Kq1MIfTWCE,Module 4: Data Analysis Techniques,4
6181,Business Administration,Business analyst playlist,,"Excel for Business Analysts Crash Course (XLOOKUP, IF, Forecast Sheets & More!)",https://www.youtube.com/watch?v=egmzpMBmH70,Module 4: Data Analysis Techniques,4
6182,Business Administration,Business analyst playlist,,think like a business analyst in tech (3 core skills + solving case study),https://www.youtube.com/watch?v=9CGYmmHZq9Q,Module 4: Data Analysis Techniques,4
6183,Business Administration,Business analyst playlist,,Use Case Diagrams Tutorial for Business Analysts | Commonly Used Business Analyst Use Cases,https://www.youtube.com/watch?v=0TJ4GoSFbhs,Module 5: Agile Scrum Fundamentals,5
6184,Business Administration,Business analyst playlist,,How To Get The Most Out of A Book - Analytical Reading 101,https://www.youtube.com/watch?v=Ls2ynrMv10A,Module 5: Agile Scrum Fundamentals,5
6185,Business Administration,Business analyst playlist,,Microsoft Visio Tutorial | Business Analytics Tutorial | Unified Modeling Language | Intellipaat,https://www.youtube.com/watch?v=YBNvk-ZcJ-I,Module 5: Agile Scrum Fundamentals,5
6186,Business Administration,Business analyst playlist,,How to Get Your First Business Analyst Job!,https://www.youtube.com/watch?v=wEmJubwuOE8,Module 6: Project Management Essentials,6
