Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
1661,Business Administration,International Business,38hrs 8min,International Business/Bcom hons/6th semester/DU/IB/Domestic business/Introduction/Chapter -1,https://www.youtube.com/watch?v=ZaC0R3IOGeY,Module 1: Introduction to International Business & Domestic Business Environment,1
1662,Business Administration,International Business,,Modes of Entry / International Business / Bcom hons / 6th semester/Du/ Exports / Licensing / Turnkey,https://www.youtube.com/watch?v=KS4EnnClRto,Module 1: Introduction to International Business & Domestic Business Environment,1
1663,Business Administration,International Business,,International Business/ Syllabus / BCom Hons /6th Sem /DU Latest 2023/ IB/ BCom / Globalization,https://www.youtube.com/watch?v=EsWjxv5IP2Q,Module 2: Modes of Entry & International Trade Policies,2
1664,Business Administration,International Business,,BCom Hons /6th Sem /DU Latest 2023/ IB/ BCom / Business Environment/ PESTEL,https://www.youtube.com/watch?v=X_5LYFj8MXU,Module 2: Modes of Entry & International Trade Policies,2
1665,Business Administration,International Business,,BCom Hons /6th Sem /DU Latest 2023/ IB/ BCom / Protection Against trade/ Free trade/ Strategies,https://www.youtube.com/watch?v=_4j1msSPQ5E,Module 2: Modes of Entry & International Trade Policies,2
1666,Business Administration,International Business,,BCom Hons /6th Sem /DU Latest 2023/ IB/ Theories/ Absolute Advantage/ Cost advantage/ Porter Diamond,https://www.youtube.com/watch?v=s5f6GVZKmBA,Module 3: Theories of International Trade & Commercial Policy,3
1667,Business Administration,International Business,,BCom Hons /6th Sem /DU Latest 2023/ IB/ BCom / Commercial Policy/ Tariff and Non- Tariff Barriers,https://www.youtube.com/watch?v=AiofSHN-Fhg,Module 3: Theories of International Trade & Commercial Policy,3
1668,Business Administration,International Business,,BCom Hons /6th Sem /DU Latest 2023/ IB/ BCom/Balance of Payment/ Components/Meaning/BOT/ Equilibrium,https://www.youtube.com/watch?v=xtyfQuMjXyQ,Module 4: Balance of Payment & Globalization,4
1669,Business Administration,International Business,,WTO / World Trade Organisation/ Meaning/ Functions / Principles/ Benefits - Learn in 5 Minutes,https://www.youtube.com/watch?v=zwXMEXX_gyA,Module 4: Balance of Payment & Globalization,4
1670,Business Administration,International Business,,World Bank/ IBRD/ Meaning/ Functions / Principles/ Benefits - Learn in 5 Minutes,https://www.youtube.com/watch?v=eKIg6o360R8,Module 5: International Organizations & Institutions,5
1671,Business Administration,International Business,,IMF/ International Monetary Funds / Meaning/ Functions / Principles/ Benefits - Learn in 5 Minutes,https://www.youtube.com/watch?v=U-mb1X1umDU,Module 5: International Organizations & Institutions,5
1672,Business Administration,International Business,,BCom Hons /6th Sem /DU Latest 2023/ IB/ Foreign Exchange Market/ Chapter 11 / SPOT/ Futures /Forward,https://www.youtube.com/watch?v=16dVqkPOYbQ,Module 5: International Organizations & Institutions,5
1673,Business Administration,International Business,,BCom Hons /6th Sem /DU Latest 2023/ IB/ Foreign Exchange Market/ Chapter 11 / Hedging/ Types of Risk,https://www.youtube.com/watch?v=MKMdW1G21rg,Module 6: Foreign Exchange Market & Risk Management,6
1674,Business Administration,International Business,,BCom Hons /6th Sem /DU Latest 2023/ IB/ BCom/ Foreign Direct Investment/ Advantages/ TYPES / FORMS,https://www.youtube.com/watch?v=q-4YgsxCp7U,Module 6: Foreign Exchange Market & Risk Management,6
1675,Business Administration,International Business,,Regional Economic Cooperation/ Chapter - 9 / International Business/ Bcom Hons / 2023,https://www.youtube.com/watch?v=Zb7IeTdKNec,Module 7: Foreign Direct Investment & Regional Economic Cooperation,7
1676,Business Administration,International Business,,Fixed Exchange rate system Chapter - 10 / International Business/ Bcom Hons / 2023,https://www.youtube.com/watch?v=YoVx3ipjvwY,Module 8: Fixed Exchange Rate System,8
