Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
2759,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,157hrs 4min,Mod-01 Lec-01 Lec 1,https://www.youtube.com/watch?v=lbKrINF46dg,Module 1: Introduction to Heterogeneous Catalysis,1
2760,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-01 Lec-02 Lec 2,https://www.youtube.com/watch?v=I8ZiRDV_Vfw,Module 1: Introduction to Heterogeneous Catalysis,1
2761,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-01 Lec-03 Lec 3,https://www.youtube.com/watch?v=pHhu2wyZ3cw,Module 1: Introduction to Heterogeneous Catalysis,1
2762,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-02 Lec-04 Lec 4,https://www.youtube.com/watch?v=g6z8hTwEdSY,Module 1: Introduction to Heterogeneous Catalysis,1
2763,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-02 Lec-05 Lec 5,https://www.youtube.com/watch?v=GsohDEbjMvE,Module 2: Characterization Techniques,2
2764,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-02 Lec-06 Lec 6,https://www.youtube.com/watch?v=i1RvthCCvvo,Module 2: Characterization Techniques,2
2765,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-03 Lec-07 Lec 7,https://www.youtube.com/watch?v=89LqXLEr5gY,Module 2: Characterization Techniques,2
2766,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-03 Lec-08 Lec 8,https://www.youtube.com/watch?v=uMD0dU6BSYk,Module 3: Adsorption and Surface Reactions,3
2767,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-03 Lec-09 Lec 9,https://www.youtube.com/watch?v=lnrysAj7OkU,Module 3: Adsorption and Surface Reactions,3
2768,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-03 Lec-10 Lec 10,https://www.youtube.com/watch?v=gV-TBWcUBdg,Module 3: Adsorption and Surface Reactions,3
2769,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-04 Lec-11 Lec 11,https://www.youtube.com/watch?v=xRvStQ6notw,Module 4: Kinetics of Catalytic Reactions,4
2770,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-04 Lec-12 Lec 12,https://www.youtube.com/watch?v=BDgqFYecwco,Module 4: Kinetics of Catalytic Reactions,4
2771,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-04 Lec-13 Lec 13,https://www.youtube.com/watch?v=-EgDPiANZgs,Module 4: Kinetics of Catalytic Reactions,4
2772,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-04 Lec-14 Lec 14,https://www.youtube.com/watch?v=_p1oqEk0m24,Module 5: Catalyst Deactivation and Regeneration,5
2773,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-05 Lec-15 Lec 15,https://www.youtube.com/watch?v=6uVr-nBZ7F0,Module 5: Catalyst Deactivation and Regeneration,5
2774,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-05 Lec-16 Lec 16,https://www.youtube.com/watch?v=mQYovqpVPpw,Module 6: Catalyst Preparation and Design,6
2775,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-06 Lec-17 lec 17,https://www.youtube.com/watch?v=m79g4DOdNi4,Module 6: Catalyst Preparation and Design,6
2776,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-06 Lec-18 lec 18,https://www.youtube.com/watch?v=TFO7Qg8mnWY,Module 7: Heterogeneous Catalysis in Industry,7
2777,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-07 Lec-19 lec 19,https://www.youtube.com/watch?v=B-gM5RCvDZg,Module 7: Heterogeneous Catalysis in Industry,7
2778,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-07 Lec-20 lec 20,https://www.youtube.com/watch?v=7svrYwO9rFo,Module 7: Heterogeneous Catalysis in Industry,7
2779,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-07 Lec-21 lec 21,https://www.youtube.com/watch?v=Wi2NdHRvSC4,Module 8: Environmental Catalysis,8
2780,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-08 Lec-22 lec 22,https://www.youtube.com/watch?v=6K6YbcVGxbE,Module 8: Environmental Catalysis,8
2781,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-08 Lec-23 lec 23,https://www.youtube.com/watch?v=-Nv9ElZ0RBk,Module 8: Environmental Catalysis,8
2782,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-08 Lec-24 lec 24,https://www.youtube.com/watch?v=0nNZRwxQKXY,Module 9: Photocatalysis,9
2783,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-09 Lec-25 lec 25,https://www.youtube.com/watch?v=85LBPZvVyv8,Module 9: Photocatalysis,9
2784,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-09 Lec-26 lec 26,https://www.youtube.com/watch?v=Xk9eZc0leJs,Module 9: Photocatalysis,9
2785,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-09 Lec-27 lec 27,https://www.youtube.com/watch?v=L5GsmGxvs8g,Module 10: Electrocatalysis,10
2786,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-09 Lec-28 lec 28,https://www.youtube.com/watch?v=qpNCormdsPw,Module 10: Electrocatalysis,10
2787,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-09 Lec-29 lec 29,https://www.youtube.com/watch?v=47H6J0Zf76M,Module 10: Electrocatalysis,10
2788,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-09 Lec-30 lec 30,https://www.youtube.com/watch?v=cDr0K5gBTD8,Module 11: Biocatalysis,11
2789,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-09 Lec-31 lec31,https://www.youtube.com/watch?v=8bn8Xu4VQGg,Module 11: Biocatalysis,11
2790,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-10 Lec-32 lec 32,https://www.youtube.com/watch?v=JCXKsXgu44U,Module 11: Biocatalysis,11
2791,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-10 Lec-33 lec 33,https://www.youtube.com/watch?v=qNymjyMuuVg,Module 12: Catalyst Characterization,12
2792,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-11 Lec-34 lec 34,https://www.youtube.com/watch?v=kH9hjf8B1vs,Module 12: Catalyst Characterization,12
2793,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-11 Lec-35 lec 35,https://www.youtube.com/watch?v=9XnHYkMhaoE,Module 12: Catalyst Characterization,12
2794,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-11 Lec-36 lec 36,https://www.youtube.com/watch?v=pSUp0GlXqoo,Module 13: Reaction Engineering,13
2795,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-11 Lec-37 lec 37,https://www.youtube.com/watch?v=TDtEZHPY0-g,Module 13: Reaction Engineering,13
2796,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-11 Lec-38 lec 38,https://www.youtube.com/watch?v=gwTAWtG35JA,Module 13: Reaction Engineering,13
2797,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-11 Lec-39 lec 39,https://www.youtube.com/watch?v=6TgqgqwsiKI,Module 14: Case Studies,14
2798,Chemical Engineering,Chemical - Heterogeneous Catalysis and Catalytic Processes,,Mod-12 Lec-40 lec 40,https://www.youtube.com/watch?v=MNDlgPQS2tk,Module 14: Case Studies,14
