Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7254,Chemistry,Chemistry - Polymer Chemistry,143hrs 20min,Mod-01 Lec-01 Introduction to Polymers,https://www.youtube.com/watch?v=jSNlmOwpxYg,Module 1: Introduction to Polymers,1
7255,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-02 Introduction to Polymers (Contd.),https://www.youtube.com/watch?v=Gbltx4IXLzQ,Module 1: Introduction to Polymers,1
7256,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-03 Introduction to Polymers (Contd.),https://www.youtube.com/watch?v=d8GMePE18SA,Module 1: Introduction to Polymers,1
7257,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-04 Step - growth Polymerization,https://www.youtube.com/watch?v=sx1pO40c4CU,Module 1: Step-growth Polymerization,1
7258,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-05 Step - growth Polymerization (Contd.),https://www.youtube.com/watch?v=XZt0r5tgxLg,Module 1: Step-growth Polymerization,1
7259,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-06 Step - growth Polymerization (Contd. ),https://www.youtube.com/watch?v=uIM9d-1YXwA,Module 1: Step-growth Polymerization,1
7260,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-07 Step - growth Polymerization ( Contd. ),https://www.youtube.com/watch?v=2KDPGQ4Gg_0,Module 1: Step-growth Polymerization,1
7261,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-08 Step - growth Polymerization (Contd. ),https://www.youtube.com/watch?v=sbslAHs3TS4,Module 1: Step-growth Polymerization,1
7262,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-09 Radical Chain Polymerization,https://www.youtube.com/watch?v=RwmXApb_KXk,Module 2: Radical Chain Polymerization,2
7263,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-10 Radical Chain Polymerization (Contd.),https://www.youtube.com/watch?v=Cqd_XbmUt9s,Module 2: Radical Chain Polymerization,2
7264,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-11 Radical Chain Polymerization (Contd. ),https://www.youtube.com/watch?v=4fWQbDxmHeM,Module 2: Radical Chain Polymerization,2
7265,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-12 Radical Chain Polymerization (Contd. ),https://www.youtube.com/watch?v=rGl215gEVg4,Module 2: Radical Chain Polymerization,2
7266,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-13 Radical Chain Polymerization (Contd.),https://www.youtube.com/watch?v=nSewsNL8ldo,Module 2: Radical Chain Polymerization,2
7267,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-14 Radical Chain Polymerization (Contd.),https://www.youtube.com/watch?v=59QKt5E04hs,Module 2: Radical Chain Polymerization,2
7268,Chemistry,Chemistry - Polymer Chemistry,,Mod-01 Lec-15 Radical Chain Polymerization (Contd.),https://www.youtube.com/watch?v=GUI6d6npS94,Module 2: Radical Chain Polymerization,2
