Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7423,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,111hrs 8min,Quantum Chemistry Basics|Gamma Function|Integration|Basic introduction for CSIR-NET GATE and IIT-JAM,https://www.youtube.com/watch?v=R63K_2NHCSk,Module 1: Introduction to Quantum Chemistry for Competitive Exams,1
7424,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Operators in quantum|Linear Momentum|Hamiltonian|Angular momentum for CSIR-NET GATE IIT-JAM in hindi,https://www.youtube.com/watch?v=nnenqcKkwRc,Module 1: Mathematical Tools for Quantum Chemistry: Gamma Function and Integration,1
7425,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Commutation of operators|Expression of operators|Quantum Chemistry CSIR-NET GATE IIT-JAM in Hindi,https://www.youtube.com/watch?v=H0HhyRFWUUU,Module 1: Operators in Quantum Mechanics I: Linear and Angular Momentum,1
7426,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Position and momentum commutator|Operators in quantum mechanics|CSIR-NET GATE IIT-JAM in Hindi,https://www.youtube.com/watch?v=zc4-AM2GosU,Module 1: Operators in Quantum Mechanics II: Commutation Relations and Expressions,1
7427,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Normalisation concept|Normalisation constant of wave functions Quantum mechanics|CSIR-NET GATE JAM,https://www.youtube.com/watch?v=2b6LfOxxbJc,Module 2: Wavefunctions and Normalization in Quantum Mechanics,2
7428,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Eigen Value|Eigen function|Eigen operator|Questions and solutions|Quantum mechanics in Hindi,https://www.youtube.com/watch?v=PV-tTiZljxY,"Module 2: Eigenvalues, Eigenfunctions, and Operators",2
7429,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Schrodinger equation|Particle in 1D box|Wave function plots|Probability plots|CSIR-NET GATE IIT-JAM,https://www.youtube.com/watch?v=Htf7crlCeSw,Module 2: The Schrodinger Equation and Particle in a Box (1D),2
7430,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Particle in a 1D symmetric box|Wave function plots|Particle in 2D 3D box|Wave functions|Energy,https://www.youtube.com/watch?v=nANgrfDGd9w,"Module 3: Particle in a Box: 2D, 3D, and Degeneracy",3
7431,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Degeneracy in 1D 2D 3D box|zero point energy|Quantum mechanics CSIR-NET GATE IIT-JAM,https://www.youtube.com/watch?v=TAEfk22RAZo,Module 3: Simple Harmonic Oscillator (SHO) and Energy Degeneracy,3
7432,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,SHO|simple harmonic oscillator|energy degeneracy|quantum mechanics CSIR-NET GATE in Hindi,https://www.youtube.com/watch?v=X4Mf5yAY0DY,Module 3: Hermite Polynomials and SHO Wavefunctions,3
7433,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Hermite Polynomial|SHO wave functions|Normalisation Constant|Quantum mechanics CSIR-NET GATE hindi,https://www.youtube.com/watch?v=K7K8ILCOc4E,"Module 4: SHO Wavefunction Plots, Probability, and Average Values",4
7434,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Wave Function Plots|Probability plots|SHO quantum mechanics CSIR-NET GATE in hindi,https://www.youtube.com/watch?v=Q528Nn1JKSE,Module 4: Expectation Values and Probability in Quantum Mechanics,4
7435,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Average value|Expectation value quantum mechanics|Probability|Quantum mechanics in hindi,https://www.youtube.com/watch?v=QR3kY1ixoZE,Module 4: Introduction to Huckel Theory and Molecular Orbitals,4
7436,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Huckel theory|Secular Determinant|Coulomb integral|Overlap integral|Resonance integral|quantum,https://www.youtube.com/watch?v=zf-lJ7nuHso,Module 5: Huckel Theory: Applications and Energy Calculations,5
7437,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Huckel theory of conjugated systems|Energy calculations|Benzene|ethene|allylic system|tricks,https://www.youtube.com/watch?v=SR6SOp6AeKg,Module 5: Perturbation Theory in Quantum Mechanics,5
7438,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Perturbation theory quantum mechanics|First order perturbation|derivation|solved questions examples,https://www.youtube.com/watch?v=16366LcHsMQ,Module 5: The Variation Principle in Quantum Chemistry,5
7439,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Variation Principle quantum mechanics|Variation principle in quantum chemistry|Questions|problems,https://www.youtube.com/watch?v=9BfldSOOH4g,Module 6: Hermitian Operators and Their Properties,6
7440,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Hermitian operator in quantum mechanics|Properties|Anti hermitian matrix|Skew hermitian matrix,https://www.youtube.com/watch?v=uCz79iBfbvk,Module 6: The Hydrogen Atom: Wavefunctions and Quantum Numbers,6
7441,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Hydrogen atom quantum mechanics|Wave function|How to find n l m quantum numbers|Spherical harmonics,https://www.youtube.com/watch?v=ovuNVBpDUQc,Module 6: Radial Wavefunctions and Nodes in the Hydrogen Atom,6
7442,Chemistry,Quantum Chemistry for CSIR-NET GATE and IIT-JAM,,Radial wave function plots|Average value of radius hydrogen atom|Radial nodes |Angular nodes|Quantum,https://www.youtube.com/watch?v=CoK-_sqY2DU,Module 6: Advanced Topics in Quantum Chemistry for Competitive Exams,6
