Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
12434,Cybersecurity,Cyber Threat Intelligence,15hrs 2min,The Beauty and the Beast: Cyber Threat Intelligence Done Right...and Wrong  - SANS DFIR SUMMIT,https://www.youtube.com/watch?v=YGYGgMT1IWk,Module 1: Introduction to Cyber Threat Intelligence,1
12435,Cybersecurity,Cyber Threat Intelligence,,SANS DFIR Webcast - State of Cyber Threat Intelligence Address,https://www.youtube.com/watch?v=el1gXbrTL-8,Module 1: The Beauty and the Beast: Cyber Threat Intelligence Done Right...and Wrong  - SANS DFIR SUMMIT,1
12436,Cybersecurity,Cyber Threat Intelligence,,SANS DFIR Webcast - Cyber Threat Intelligence Summit 2014,https://www.youtube.com/watch?v=tYsB8rscTKQ,Module 1: SANS DFIR Webcast - State of Cyber Threat Intelligence Address,1
12437,Cybersecurity,Cyber Threat Intelligence,,SANS DFIR Webcast - APT Investigations -- How To The Forensic Side,https://www.youtube.com/watch?v=CaBEfCZ8Zws,Module 1: SANS DFIR Webcast - Cyber Threat Intelligence Summit 2014,1
12438,Cybersecurity,Cyber Threat Intelligence,,Reconciling Objective Data with Analytical Uncertainty - SANS CTI Summit 2014,https://www.youtube.com/watch?v=U9zOe57FYlc,Module 2: Applying Cyber Threat Intelligence,2
12439,Cybersecurity,Cyber Threat Intelligence,,Leveraging Cyber Threat Intelligence,https://www.youtube.com/watch?v=y9NeNl7SCTQ,Module 2: SANS DFIR Webcast - APT Investigations -- How To The Forensic Side,2
12440,Cybersecurity,Cyber Threat Intelligence,,Cyber Threat Intel Solutions For Real    PANEL,https://www.youtube.com/watch?v=Bgie5GHwsHg,Module 2: Reconciling Objective Data with Analytical Uncertainty - SANS CTI Summit 2014,2
12441,Cybersecurity,Cyber Threat Intelligence,,State of the Cyber Threat Intelligence Address - SANS CTI Summit,https://www.youtube.com/watch?v=qz5rJPH1z54,Module 2: Leveraging Cyber Threat Intelligence,2
12442,Cybersecurity,Cyber Threat Intelligence,,The Revolution in Private Sector Intelligence | CTI Summit 2016,https://www.youtube.com/watch?v=yWux6P-pSlY,Module 3: Cyber Threat Intelligence Platforms and Tools,3
12443,Cybersecurity,Cyber Threat Intelligence,,SIFT Workstation and REMnux Wonder Twin Powers Activate!,https://www.youtube.com/watch?v=Jf3Wz9oG_vg,Module 3: Cyber Threat Intel Solutions For Real    PANEL,3
12444,Cybersecurity,Cyber Threat Intelligence,,APT HUNTER - Threat Hunting Summit 2016,https://www.youtube.com/watch?v=2apa4AgwxC4,Module 3: State of the Cyber Threat Intelligence Address - SANS CTI Summit,3
12445,Cybersecurity,Cyber Threat Intelligence,,Next Level in Cyber Threat Intelligence Training: New FOR578 course updates,https://www.youtube.com/watch?v=_S9IYUyOPZo,Module 3: The Revolution in Private Sector Intelligence | CTI Summit 2016,3
12446,Cybersecurity,Cyber Threat Intelligence,,DFIR Summit 2016: Leveraging Cyber Threat Intelligence in an Active Cyber Defense,https://www.youtube.com/watch?v=ea50SyPBDBo,Module 4: Threat Hunting and Incident Response,4
12447,Cybersecurity,Cyber Threat Intelligence,,DFIR Summit 2016:  Potential for False Flag Operations in the DNC Hack,https://www.youtube.com/watch?v=jcngw0Y9t_8,Module 4: SIFT Workstation and REMnux Wonder Twin Powers Activate!,4
12448,Cybersecurity,Cyber Threat Intelligence,,Proactive APT Hunting Style: Threat Hunting Summit 2016,https://www.youtube.com/watch?v=JczGpPfufbg,Module 4: APT HUNTER - Threat Hunting Summit 2016,4
12449,Cybersecurity,Cyber Threat Intelligence,,SANS DFIR Cyber Threat Intelligence Summit,https://www.youtube.com/watch?v=5PeH1tgNKio,Module 4: Next Level in Cyber Threat Intelligence Training: New FOR578 course updates,4
12450,Cybersecurity,Cyber Threat Intelligence,,(Am)Cache rules everything around me,https://www.youtube.com/watch?v=iTchBtRr6TA,Module 5: Leveraging CTI in Active Cyber Defense,5
12451,Cybersecurity,Cyber Threat Intelligence,,"FOR572 Course Update from the Future:  Where We’re Going, We Don’t Need Roads",https://www.youtube.com/watch?v=8X_m8BIAnoU,Module 5: DFIR Summit 2016: Leveraging Cyber Threat Intelligence in an Active Cyber Defense,5
