Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
7962,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,13hrs 2min,Introduction to Natural Language Processing in Hindi ( NLP ) 🔥,https://www.youtube.com/watch?v=boQTFk1BqbY,Module 1: Introduction to Natural Language Processing
7963,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Steps in Natural Language Processing [ NLP ],https://www.youtube.com/watch?v=53Kf618dwdw,Module 1: Introduction to Natural Language Processing
7964,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Levels of Natural Language Processing,https://www.youtube.com/watch?v=fHteXkmWN8E,Module 1: Introduction to Natural Language Processing
7965,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Ambiguity in Natural Language Processing in Hindi,https://www.youtube.com/watch?v=-vBxzjx9AYA,Module 1: Introduction to Natural Language Processing
7966,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Applications of Natural Language Processing in Hindi,https://www.youtube.com/watch?v=2c5yEybIaK4,Module 2: Morphology and its Applications
7967,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Morphology Parsing 🔥🔥,https://www.youtube.com/watch?v=lGZBFOat_u8,Module 2: Morphology and its Applications
7968,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Morphology Analysis 🔥🔥,https://www.youtube.com/watch?v=S7Xka5Em07M,Module 2: Morphology and its Applications
7969,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Inflectional and Derivational Morphology 🔥🔥,https://www.youtube.com/watch?v=ejqzMfyP6OI,Module 3: Regular Expressions and Automata in NLP
7970,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Inflectional vs Derivational Morphology,https://www.youtube.com/watch?v=b5_u52GoPpE,Module 3: Regular Expressions and Automata in NLP
7971,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Regular Expression in Natural Language Processing,https://www.youtube.com/watch?v=UuNX6EagNgc,Module 3: Regular Expressions and Automata in NLP
7972,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Finite State Automata Natural Language Processing,https://www.youtube.com/watch?v=5ZAQ6gz5sxw,Module 4: Language Models and N-gram Models
7973,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Language Model in nlp 🔥🔥,https://www.youtube.com/watch?v=ggQCWPIdNjY,Module 4: Language Models and N-gram Models
7974,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,n gram model 🔥🔥,https://www.youtube.com/watch?v=5263Xqr1YCc,Module 4: Language Models and N-gram Models
7975,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,n gram Numerical | Predict the probability of the sentence | natural Language Processing,https://www.youtube.com/watch?v=FTBOUMgfXuU,Module 5: Syntax Analysis and POS Tagging
7976,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,N gram Numerical | Predict the next word | Natural Language Processing,https://www.youtube.com/watch?v=f0xlSjpIS80,Module 5: Syntax Analysis and POS Tagging
7977,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Syntax Analysis in Natural Language Processing,https://www.youtube.com/watch?v=c2Orgl_BkHo,Module 5: Syntax Analysis and POS Tagging
7978,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Part Of Speech Tagging | Tag set in english | POS Tagging,https://www.youtube.com/watch?v=Dd7iwWpZ6Ec,Module 5: Syntax Analysis and POS Tagging
7979,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Rulebased POS Tegger in Natural Language Processing in hindi,https://www.youtube.com/watch?v=VZmlMvuRFTA,Module 6: Context-Free Grammar and Parsing
7980,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Stochastic POS Tagger 🔥🔥,https://www.youtube.com/watch?v=QKCtTiws5_k,Module 6: Context-Free Grammar and Parsing
7981,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,"Multiple Tags & Words, Unknown words",https://www.youtube.com/watch?v=CI1D_fwLhYo,Module 6: Context-Free Grammar and Parsing
7982,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Introduction to Context Free Grammar 🔥,https://www.youtube.com/watch?v=FYcIWHutOo0,Module 7: Semantic Analysis
7983,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Construct a parse tree for the sentence using CFG rules | Natural Language Processing in Hindi,https://www.youtube.com/watch?v=ovenwMD4U9Y,Module 7: Semantic Analysis
7984,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,top down and bottom up parsing numerical in Natural Language Processing,https://www.youtube.com/watch?v=BjHV1jv5MvM,Module 7: Semantic Analysis
7985,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,DIFFERENCE BETWEEN TOP DOWN & BOTTOM UP PARSING | NATURAL LANGUAGE PROCESSING IN HINDI,https://www.youtube.com/watch?v=FhDy5SnQR8Y,Module 7: Semantic Analysis
7986,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Semantic Analysis 🔥🔥,https://www.youtube.com/watch?v=X4aOAUC-ztM,Module 8: Word Relationships and Disambiguation
7987,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Applications of Semantic Analysis 🔥,https://www.youtube.com/watch?v=MW1tFP3jg5g,Module 8: Word Relationships and Disambiguation
7988,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Why Semantic Analysis is Difficult ?,https://www.youtube.com/watch?v=WX0WndyrfFM,Module 8: Word Relationships and Disambiguation
7989,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Why Semantic Analysis is Important ? 🔥,https://www.youtube.com/watch?v=s4Aswbf70_s,Module 9: Pragmatics and Discourse Analysis
7990,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Homonymy | Hyponymy & Hypernymy | Meronymy | Synonymy | Antonymy | Polysemy,https://www.youtube.com/watch?v=K94_huuu0eM,Module 9: Pragmatics and Discourse Analysis
7991,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,What is Wordnet in Natural Language Processing in Hindi,https://www.youtube.com/watch?v=5wpm4Yvbop8,Module 10: Applications of Natural Language Processing
7992,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Word Sense Disambiguation 🔥,https://www.youtube.com/watch?v=yMIT-RmfHTU,Module 10: Applications of Natural Language Processing
7993,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,What is Pragmatics ? 🔥🔥,https://www.youtube.com/watch?v=tAGmggqmRqQ,Module 10: Applications of Natural Language Processing
7994,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Discourse Analysis 🔥🔥,https://www.youtube.com/watch?v=PE3tdiRJRWs,Module 10: Applications of Natural Language Processing
7995,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Information Retrieval System 🔥,https://www.youtube.com/watch?v=8YBtmUNjBTY,Module 10: Applications of Natural Language Processing
7996,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Machine Translation 🔥🔥,https://www.youtube.com/watch?v=1yesjwnrTSY,Module 10: Applications of Natural Language Processing
7997,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Question Answer System 🔥🔥,https://www.youtube.com/watch?v=dV0VLxXWp24,Module 10: Applications of Natural Language Processing
7998,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Text Categorization System | Text Classification System,https://www.youtube.com/watch?v=E3MAVkitm28,Module 10: Applications of Natural Language Processing
7999,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Sentiment Analysis 🔥🔥,https://www.youtube.com/watch?v=yLDRHyNJSXA,Module 10: Applications of Natural Language Processing
8000,Data Science,Playlist to Natural Language Processing [ Hindi ]🔥🔥,,Summarization in Natural Language Processing,https://www.youtube.com/watch?v=pcijsTUh8-8,Module 10: Applications of Natural Language Processing
