Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
10780,Early Childhood Education,Technology in early childhood education,33hrs 3min,"How the iPad affects young children, and what we can do about it: Lisa Guernsey at TEDxMidAtlantic",https://www.youtube.com/watch?v=P41_nyYY3Zg,Module 1: Impact of Technology on Young Children,1
10781,Early Childhood Education,Technology in early childhood education,,Technology in Early Childhood Family Education Classrooms,https://www.youtube.com/watch?v=wOhb4n4ADbM,Module 1: Impact of Technology on Young Children,1
10782,Early Childhood Education,Technology in early childhood education,,Technology in Early Childhood,https://www.youtube.com/watch?v=X3gfXCHiSoA,Module 1: Impact of Technology on Young Children,1
10783,Early Childhood Education,Technology in early childhood education,,Alayna Jackson- Use of Digital Technology in Early Childhood Education,https://www.youtube.com/watch?v=kC9VLUVk-W0,Module 1: Impact of Technology on Young Children,1
10784,Early Childhood Education,Technology in early childhood education,,TECHNOLOGY FOR EARLY CHILDHOOD EDUCATION- MENGENAL BUNYI HAIWAN,https://www.youtube.com/watch?v=Cf9lWH-wcRw,Module 2: Technology Integration in Early Childhood Classrooms,2
10785,Early Childhood Education,Technology in early childhood education,,Technology for Early Childhood Education- MUSIC (percussion),https://www.youtube.com/watch?v=POEuEO4Hsas,Module 2: Technology Integration in Early Childhood Classrooms,2
10786,Early Childhood Education,Technology in early childhood education,,Finding the Balance Between Tech and No Tech in Early Childhood,https://www.youtube.com/watch?v=EVdHq60RTDY,Module 2: Technology Integration in Early Childhood Classrooms,2
10787,Early Childhood Education,Technology in early childhood education,,Early Childhood Education Technology,https://www.youtube.com/watch?v=pF24VzHWYLw,Module 3: Exploring Educational Technology Tools,3
10788,Early Childhood Education,Technology in early childhood education,,Inquiry Based Learning and Technology in Early Childhood Education,https://www.youtube.com/watch?v=vv2q30cX3Fg,Module 3: Exploring Educational Technology Tools,3
10789,Early Childhood Education,Technology in early childhood education,,Technology For Early Childhood Education.wmv,https://www.youtube.com/watch?v=fg2Flpujdbw,Module 3: Exploring Educational Technology Tools,3
