Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
9288,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,142hrs 21min,Introduction,https://www.youtube.com/watch?v=vDr1PiNhYz8,Module 1: Introduction and System Optimization
9289,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Definitions and types of systems,https://www.youtube.com/watch?v=FTISxgQOHh0,Module 1: Introduction and System Optimization
9290,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Optimization: Functions of a single variable,https://www.youtube.com/watch?v=ShP9ZgDqY-g,Module 1: Introduction and System Optimization
9291,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Optimization: Functions of multiple variables,https://www.youtube.com/watch?v=eP2orOENNRs,Module 1: Introduction and System Optimization
9292,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Constrained optimization (1),https://www.youtube.com/watch?v=tJfizPGPo34,Module 2: Constrained Optimization and Linear Programming
9293,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Constrained optimization (2),https://www.youtube.com/watch?v=wdS_0Q1PRJY,Module 2: Constrained Optimization and Linear Programming
9294,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Kuhn-Tucker conditions and Introduction to Linear Programming,https://www.youtube.com/watch?v=FjGpAAauJOw,Module 2: Constrained Optimization and Linear Programming
9295,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Linear Programming: Graphical method,https://www.youtube.com/watch?v=5rq90pPou1g,Module 2: Constrained Optimization and Linear Programming
9296,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Linear Programming: Simplex method (1),https://www.youtube.com/watch?v=9exG_AemuLM,Module 3: Linear Programming Applications and Challenges
9297,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Linear Programming: Simplex method (2),https://www.youtube.com/watch?v=iMG5llD-FoU,Module 3: Linear Programming Applications and Challenges
9298,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Linear Programming: Multiple solutions,https://www.youtube.com/watch?v=_uRKG9tkrew,Module 3: Linear Programming Applications and Challenges
9299,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Linear Programming: Unbounded and infeasible problems,https://www.youtube.com/watch?v=7w30ueP5ayI,Module 3: Linear Programming Applications and Challenges
9300,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Linear Programming: Dual problem,https://www.youtube.com/watch?v=zdomtSkdUII,Module 4: Introduction to Dynamic Programming
9301,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Introduction to Dynamic Programming,https://www.youtube.com/watch?v=amEVCdn8Pmo,Module 4: Introduction to Dynamic Programming
9302,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Dynamic Programming: Water allocation problem,https://www.youtube.com/watch?v=lr3uAL7u2-E,Module 4: Introduction to Dynamic Programming
9303,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Dynamic Programming: Reservoir operation problem,https://www.youtube.com/watch?v=PPXidz-wiDc,Module 4: Introduction to Dynamic Programming
9304,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Dynamic Programming: Capacity expansion and shortest route problems,https://www.youtube.com/watch?v=d6-oLzjUjMQ,Module 5: Dynamic Programming Applications
9305,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Simulation: Introduction to Multi-objective planning,https://www.youtube.com/watch?v=NXfosWlR95g,Module 5: Dynamic Programming Applications
9306,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Multi-objective planning,https://www.youtube.com/watch?v=yaavYp3y7vo,Module 5: Dynamic Programming Applications
9307,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Reservoir sizing,https://www.youtube.com/watch?v=ZlY3ODoQrx4,Module 6: Multi-objective Planning and Reservoir Management
9308,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Reservoir capacity using Linear Programming (1),https://www.youtube.com/watch?v=ay_WLPyR2jM,Module 6: Multi-objective Planning and Reservoir Management
9309,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Reservoir capacity using Linear Programming (2),https://www.youtube.com/watch?v=yf29dyFMViM,Module 6: Multi-objective Planning and Reservoir Management
9310,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Reservoir operation,https://www.youtube.com/watch?v=etSJsu-4yUI,Module 6: Multi-objective Planning and Reservoir Management
9311,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Multi-reservoir systems,https://www.youtube.com/watch?v=7t21_HnMk_U,Module 7: Stochastic and Fuzzy Optimization
9312,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Stationary policy using Dynamic Programming,https://www.youtube.com/watch?v=Aw819cpQkic,Module 7: Stochastic and Fuzzy Optimization
9313,Environmental Science,Civil-Water Resources Systems:Modeling Techniques & Analysis,,Hydropower generation,https://www.youtube.com/watch?v=7_GMVNPfm6A,Module 7: Stochastic and Fuzzy Optimization
